episode_id,term_type,time_sec,steps,collisions,sum_reward
1,success,13.952000000000002,3,1,6.424052898120681
2,success,15.997,4,1,7.022751281339945
3,success,12.700000000000003,3,1,-1.1077272604923198
4,success,16.259,4,1,4.9639305592793335
5,collision,28.064000000000007,6,4,-3.4693316763860302
6,success,15.102999999999994,4,0,10.113781183990898
7,success,13.960000000000008,3,2,0.3764619561601359
8,success,15.424999999999983,4,0,10.532139775514832
9,collision,20.76599999999999,5,3,-0.06045055124856091
10,collision,17.83699999999999,4,3,-2.172000673448058
11,collision,16.770999999999987,4,3,-0.1254523621219752
12,collision,13.425000000000011,3,4,-3.889203854300412
13,success,15.843999999999966,4,0,9.821549273827408
14,collision,32.19,7,6,-9.13606072804248
15,success,18.835000000000036,4,1,6.34400540625734
16,success,15.959000000000003,4,1,7.136045610314845
17,success,11.617000000000019,3,1,3.6561177441897
18,collision,31.829000000000008,7,9,-19.10977127065972
19,success,16.644000000000005,4,0,8.419443841487201
20,success,13.137,3,1,3.9299671152099283
21,success,13.77600000000001,3,0,10.041981766603865
22,collision,33.58100000000002,8,4,-2.788547084704488
23,success,12.485000000000014,3,1,2.0321618466812597
24,success,19.85300000000001,5,1,5.715186769209785
25,success,11.348000000000013,3,0,5.224580774887251
26,collision,26.201999999999998,6,4,-3.6913284524206142
27,success,15.54600000000005,4,1,3.8224013099346985
28,success,13.350000000000023,3,1,4.2928263369446995
29,success,14.254999999999995,4,0,9.918123490681525
30,success,12.305000000000064,3,2,-0.40087357093302955
31,collision,29.198999999999955,7,3,1.2398422794050052
32,success,11.978000000000065,3,1,1.5363554682630154
33,success,12.404999999999973,3,0,7.190795435898706
34,success,17.536000000000058,4,2,2.324880822294067
35,success,27.625999999999976,6,2,2.6944541443283834
36,success,13.960000000000036,3,1,6.7393248108725885
37,success,14.249000000000024,4,0,10.135172114311402
38,success,14.483000000000061,4,2,-1.2363737202578697
39,success,12.000999999999976,3,1,2.630196538161938
40,success,20.627000000000066,5,1,6.030827794470394
41,collision,16.811000000000035,4,3,-2.760482365271983
42,success,11.484000000000037,3,0,7.403354349252991
43,collision,16.811000000000035,4,7,-13.93424843177014
44,success,16.633000000000038,4,2,2.3337806887513697
45,success,14.077999999999975,3,2,2.5001314152459715
46,success,17.995000000000005,4,1,1.672172385937606
47,success,13.305999999999926,3,0,9.758674979668282
48,success,14.261999999999944,4,1,7.107769634638515
49,success,14.08299999999997,4,1,1.8835637763789759
50,collision,17.976,4,4,-2.8116658692100156
51,success,13.951999999999998,4,0,9.617378225493182
52,collision,21.535999999999945,5,4,-12.505003930844115
53,success,15.832000000000107,4,1,4.933381465098874
54,collision,27.621000000000095,6,3,-0.8118201193407026
55,success,14.04600000000005,3,1,7.4005938045537105
56,collision,30.564000000000078,7,10,-20.323971060976334
57,success,11.685000000000173,3,1,3.9454308871643757
58,success,25.113000000000056,6,2,2.782960586483087
59,success,17.315000000000055,4,1,3.2886069463462793
60,success,15.38799999999992,4,1,5.4808134285024375
61,success,13.3900000000001,3,0,6.654376246782406
62,success,32.121000000000095,7,2,3.1652209207780455
63,success,14.236000000000104,3,1,6.3302661120434705
64,success,17.498000000000047,4,2,-2.3369049284113306
65,success,14.312000000000126,4,1,6.3488268612608625
66,collision,12.47199999999998,3,3,-4.1240623966472665
67,success,21.126999999999953,5,2,2.986832556721998
68,success,13.097999999999956,3,1,4.719774586059605
69,success,14.021999999999935,3,1,6.4840607477503625
70,collision,16.337999999999965,4,3,1.3640930982663502
71,success,11.857999999999947,3,2,1.5261729598053302
72,collision,23.71699999999987,5,5,-6.44210359340722
73,success,23.894000000000005,6,0,10.163906424575085
74,success,14.371000000000095,4,1,3.3859990721369257
75,success,10.242999999999938,3,1,2.206742810803009
76,success,23.184999999999945,5,2,2.4035925218831675
77,collision,25.7170000000001,6,3,1.9514307684965164
78,success,11.91599999999994,3,1,4.556595481612394
79,collision,16.452999999999975,4,4,-4.117283255564054
80,collision,50.519000000000005,11,14,-35.355433649714094
81,success,13.95900000000006,4,1,6.54934229281222
82,success,11.694999999999936,3,1,0.8790885008491571
83,success,28.57899999999995,6,1,5.295337441702564
84,success,19.240999999999985,4,1,7.349325060334016
85,success,16.99000000000001,4,2,4.321343615129268
86,success,14.642000000000053,4,1,4.973706895070883
87,collision,19.05300000000011,5,13,-35.510602499860056
88,success,10.798999999999978,3,2,-0.8876512091510422
89,collision,13.213999999999942,3,3,-2.9442495248382263
90,success,16.333000000000084,4,0,8.899111785872355
91,collision,14.7650000000001,4,3,-1.8166615199883802
92,collision,24.001999999999953,6,9,-19.46949267569825
93,success,12.314000000000078,3,2,-1.5591470742923663
94,collision,18.524000000000115,4,3,-0.9432314509168638
95,collision,20.532000000000153,5,3,0.5824874808359874
96,collision,12.471000000000004,3,3,-1.6652298833112562
97,success,17.24499999999989,4,0,8.827734961163646
98,success,15.976000000000113,4,2,1.4575370727461348
99,success,12.729000000000042,3,1,3.8958202911906
100,success,18.230000000000018,4,1,5.669532325925206
