run_id,episode_id,step_id,config_seq,t_observation,t_decision,t_request,t_ack,t_active,t_window_end,planner_cycle_count,valid_feedback_duration,state_valid,invalid_reason,goal_distance_start,goal_distance_end,path_error_mean,path_heading_error_mean,d_obs_min,obstacle_density_mean,ttc_min,linear_velocity_mean,angular_velocity_mean,eta_before_json,action_raw_json,eta_after_json,theta_previous_json,theta_candidate_json,theta_projected_json,theta_safe_json,theta_applied_json,projection_modified,projection_reason,safety_modified,safety_mode,safety_reason,fallback_active,fallback_reason,reward_total,reward_progress,reward_time,reward_near_obstacle,reward_path_error,reward_smoothness,reward_planner_failure,reward_parameter_adjustment,reward_terminal,cost_collision,cost_near_collision,cost_parameter_violation,cost_planner_failure,cost_emergency_or_fallback,inference_latency,parameter_write_latency,parameter_activation_latency,transition_stored,transition_drop_reason
t11_boundary_stress_acceptance,t11_boundary_stress_acceptance-episode-000001,0,1,3.178,2.634,2.636,2.67,2.676,3.176,0,0.4500000000000002,true,,2.4320690484075023,2.039811484947094,0.007816084125835919,0.009148663133025545,30.0,0.0,26.22833200340416,1.1438012907609343,-0.12391649592665363,"[0.0,0.0,0.0,0.0,0.0]","[-0.6800177097320557,0.17188704013824463,0.6476736068725586,-0.4054795503616333,0.36979901790618896]","[-0.6800177097320557,0.17188704013824463,0.6476736068725586,-0.4054795503616333,0.36979901790618896]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.1752121192184082,""min_obstacle_dist"":0.2713953586134651,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1752121192184082,""min_obstacle_dist"":0.2713953586134651,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1752121192184082,""min_obstacle_dist"":0.2713953586134651,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1752121192184082,""min_obstacle_dist"":0.2713953586134651,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,1.7548298780333775,1.961287817302042,-0.04500000000000002,-0.0,-3.3475467721385054e-05,-0.1446036934283599,-0.0,-0.016820770372583293,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.99999999999981,40.000000000000036,true,
t11_boundary_stress_acceptance,t11_boundary_stress_acceptance-episode-000001,1,2,3.824,3.174,3.18,3.216,3.274,3.774,0,0.5,true,,1.8571188872508266,1.3066087001659499,0.028082134310475782,0.06028948832647601,30.0,0.0,26.130240719800966,1.148095049016009,0.014355440878410114,"[-0.6800177097320557,0.17188704013824463,0.6476736068725586,-0.4054795503616333,0.36979901790618896]","[-0.07223165035247803,0.78271484375,0.12974655628204346,0.9863839149475098,-0.5149568915367126]","[-0.7522493600845337,0.9546018838882446,0.777420163154602,0.5809043645858765,-0.14515787363052368]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1752121192184082,""min_obstacle_dist"":0.2713953586134651,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.78840837621975,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1809012925183757,""min_obstacle_dist"":0.2929630315317576,""weight_obstacle"":52.78059877189902,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.78840837621975,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1809012925183757,""min_obstacle_dist"":0.2929630315317576,""weight_obstacle"":52.78059877189902,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.78840837621975,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1809012925183757,""min_obstacle_dist"":0.2929630315317576,""weight_obstacle"":52.78059877189902,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.78840837621975,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1809012925183757,""min_obstacle_dist"":0.2929630315317576,""weight_obstacle"":52.78059877189902,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,2.684238313572419,2.7525509354243836,-0.05,-0.0,-0.0002592747399855049,-1.8978905807101747e-05,-0.0,-0.018034368206172154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000003,93.99999999999986,true,
t11_boundary_stress_acceptance,t11_boundary_stress_acceptance-episode-000001,2,3,4.374,3.814,3.824,3.862,3.872,4.372,0,0.44999999999999973,true,,1.1688599258170256,0.699988695447823,0.011097790664131529,0.05876230254484967,30.0,0.0,30.968140759328705,0.9687375239329773,-0.001299138078678941,"[-0.7522493600845337,0.9546018838882446,0.777420163154602,0.5809043645858765,-0.14515787363052368]","[-0.7814074754714966,-0.3089001178741455,0.5584290027618408,0.07930505275726318,0.8485109806060791]","[-1.0,0.6457017660140991,1.0,0.6602094173431396,0.7033531069755554]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.78840837621975,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1809012925183757,""min_obstacle_dist"":0.2929630315317576,""weight_obstacle"":52.78059877189902,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7698406509954568,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1151515573950257,""min_obstacle_dist"":0.3008534591697769,""weight_obstacle"":50.0,""weight_optimaltime"":0.9691099882125854,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7698406509954568,""inflation_dist"":0.55,""max_vel_theta"":0.9292929644958547,""max_vel_x"":1.1151515573950257,""min_obstacle_dist"":0.3008534591697769,""weight_obstacle"":50.0,""weight_optimaltime"":0.9691099882125854,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7698406509954568,""inflation_dist"":0.55,""max_vel_theta"":0.9292929644958547,""max_vel_x"":1.1151515573950257,""min_obstacle_dist"":0.3008534591697769,""weight_obstacle"":50.0,""weight_optimaltime"":0.9691099882125854,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7698406509954568,""inflation_dist"":0.55,""max_vel_theta"":0.9292929644958547,""max_vel_x"":1.1151515573950257,""min_obstacle_dist"":0.3008534591697769,""weight_obstacle"":50.0,""weight_optimaltime"":0.9691099882125854,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,2.2499023099763438,2.3443561518460125,-0.04499999999999998,-0.0,-7.854394363502354e-05,-0.00886961283901667,-0.0,-0.0405056850870174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.000000000000256,48.00000000000004,true,
t11_boundary_stress_acceptance,t11_boundary_stress_acceptance-episode-000001,3,4,5.874,4.374,4.376,4.428,4.4719999999999995,4.9719999999999995,0,0.4500000000000002,true,,0.5517156780967706,0.2319047705066835,0.00558156685465104,0.0013548320589399524,30.0,0.0,600.0,0.0,0.0,"[-1.0,0.6457017660140991,1.0,0.6602094173431396,0.7033531069755554]","[0.9887311458587646,0.8444890975952148,-0.6753808259963989,0.18014216423034668,0.45128607749938965]","[-0.011268854141235352,1.0,0.3246191740036011,0.8403515815734863,1.0]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7698406509954568,""inflation_dist"":0.55,""max_vel_theta"":0.9292929644958547,""max_vel_x"":1.1151515573950257,""min_obstacle_dist"":0.3008534591697769,""weight_obstacle"":50.0,""weight_optimaltime"":0.9691099882125854,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7492177349472013,""acc_lim_x"":0.7976867211200827,""inflation_dist"":0.5562528462207332,""max_vel_theta"":0.9292929644958547,""max_vel_x"":1.1032208150993887,""min_obstacle_dist"":0.3021859126915806,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7492177349472013,""acc_lim_x"":0.7976867211200827,""inflation_dist"":0.5562528462207332,""max_vel_theta"":0.9193506792494907,""max_vel_x"":1.1032208150993887,""min_obstacle_dist"":0.3021859126915806,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7492177349472013,""acc_lim_x"":0.7976867211200827,""inflation_dist"":0.5562528462207332,""max_vel_theta"":0.9193506792494907,""max_vel_x"":1.1032208150993887,""min_obstacle_dist"":0.3021859126915806,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7492177349472013,""acc_lim_x"":0.7976867211200827,""inflation_dist"":0.5562528462207332,""max_vel_theta"":0.9193506792494907,""max_vel_x"":1.1032208150993887,""min_obstacle_dist"":0.3021859126915806,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,11.501565120558727,1.5990545379504353,-0.04500000000000002,-0.0,-0.00025635674595760093,-0.020101551495006555,-0.0,-0.03213150915074423,10.0,0.0,0.0,1.0,0.0,0.0,0.0,51.9999999999996,95.9999999999992,true,
t11_boundary_stress_acceptance,t11_boundary_stress_acceptance-episode-000002,0,1,7.404,6.854,6.856,6.894,6.902,7.402,0,0.4500000000000002,true,,2.541838391092283,2.1064130941784245,0.011748749806572173,0.02357103664388316,30.0,0.0,25.768513695622403,1.1642115006849016,0.062147150832334755,"[0.0,0.0,0.0,0.0,0.0]","[0.8379325866699219,-0.7071791887283325,0.22523045539855957,-0.8917896151542664,0.4862254858016968]","[0.8379325866699219,-0.7071791887283325,0.22523045539855957,-0.8917896151542664,0.4862254858016968]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7266104625587485,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9292820811271667,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7266104625587485,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9292820811271667,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7266104625587485,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9292820811271667,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7266104625587485,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9292820811271667,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,1.8918299813258987,2.1771264845692917,-0.04500000000000002,-0.0,-3.221354421794964e-05,-0.2077733215642956,-0.0,-0.03249096813487955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.000000000000256,46.00000000000026,true,
t11_boundary_stress_acceptance,t11_boundary_stress_acceptance-episode-000002,1,2,8.002,7.402,7.406,7.436,7.502,8.001999999999999,0,0.4500000000000002,true,,1.92035945132835,1.4089995917071654,0.0523092971381593,0.029886144146072484,30.0,0.0,25.808118270531047,1.1624249271306015,-0.01889490345233359,"[0.8379325866699219,-0.7071791887283325,0.22523045539855957,-0.8917896151542664,0.4862254858016968]","[0.14591896533966064,-0.746764063835144,-0.7726444005966187,0.04893958568572998,-0.011978566646575928]","[0.9838515520095825,-1.0,-0.5474139451980591,-0.8428500294685364,0.47424691915512085]","{""acc_lim_theta"":0.7266104625587485,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9292820811271667,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7223251470952243,""acc_lim_x"":0.7663699490554436,""inflation_dist"":0.5571533369534347,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.06468034170236,""weight_optimaltime"":0.8546056747436523,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7223251470952243,""acc_lim_x"":0.7663699490554436,""inflation_dist"":0.5571533369534347,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.06468034170236,""weight_optimaltime"":0.8546056747436523,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7223251470952243,""acc_lim_x"":0.7663699490554436,""inflation_dist"":0.5571533369534347,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.06468034170236,""weight_optimaltime"":0.8546056747436523,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7223251470952243,""acc_lim_x"":0.7663699490554436,""inflation_dist"":0.5571533369534347,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.06468034170236,""weight_optimaltime"":0.8546056747436523,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,2.4848819505015145,2.556799298105923,-0.04500000000000002,-0.0,-0.0003267832613958003,-3.2702227604061345e-06,-0.0,-0.026587294120251938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.00000000000025,96.00000000000009,true,
t11_boundary_stress_acceptance,t11_boundary_stress_acceptance-episode-000002,2,3,8.604,7.994,8.004,8.03,8.102,8.602,0,0.45000000000000107,true,,1.2230139204036312,0.7302475108680826,0.07263621335840682,0.03134743467786599,30.0,0.0,30.22761513875088,0.9924699604085178,0.015852026115026677,"[0.9838515520095825,-1.0,-0.5474139451980591,-0.8428500294685364,0.47424691915512085]","[0.07669723033905029,0.9541690349578857,0.9572756290435791,-0.40869706869125366,-0.8503319025039673]","[1.0,-0.04583096504211426,0.40986168384552,-1.0,-0.37608498334884644]","{""acc_lim_theta"":0.7223251470952243,""acc_lim_x"":0.7663699490554436,""inflation_dist"":0.5571533369534347,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.06468034170236,""weight_optimaltime"":0.8546056747436523,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7371876864365499,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.29779203445954544,""weight_obstacle"":54.65619447165848,""weight_optimaltime"":0.9500225782394409,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7371876864365499,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.29779203445954544,""weight_obstacle"":54.65619447165848,""weight_optimaltime"":0.9500225782394409,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7371876864365499,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.29779203445954544,""weight_obstacle"":54.65619447165848,""weight_optimaltime"":0.9500225782394409,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7371876864365499,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.29779203445954544,""weight_obstacle"":54.65619447165848,""weight_optimaltime"":0.9500225782394409,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,2.3468793440880678,2.463832047677743,-0.04500000000000011,-0.0,-0.0018156850671463445,-0.008586837650046444,-0.0,-0.06155018087248281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9999999999998,98.00000000000075,true,
t11_boundary_stress_acceptance,t11_boundary_stress_acceptance-episode-000002,3,4,10.102,8.602,8.604,8.638,8.7,9.2,0,0.4499999999999993,true,,0.5786818231082403,0.2541293377537591,0.0029233486741738145,0.0010756802332678517,30.0,0.0,600.0,0.0,0.0,"[1.0,-0.04583096504211426,0.40986168384552,-1.0,-0.37608498334884644]","[-0.4161975383758545,0.627010703086853,-0.47231805324554443,-0.7154607772827148,0.2078077793121338]","[0.5838024616241455,0.5811797380447388,-0.062456369400024414,-1.0,-0.16827720403671265]","{""acc_lim_theta"":0.7371876864365499,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.29779203445954544,""weight_obstacle"":54.65619447165848,""weight_optimaltime"":0.9500225782394409,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7287725778667931,""acc_lim_x"":0.8,""inflation_dist"":0.5543728397972557,""max_vel_theta"":1.0,""max_vel_x"":1.1967476554942804,""min_obstacle_dist"":0.2995652009858182,""weight_obstacle"":53.534100437297575,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7287725778667931,""acc_lim_x"":0.8,""inflation_dist"":0.5543728397972557,""max_vel_theta"":0.9972897129119004,""max_vel_x"":1.1967476554942804,""min_obstacle_dist"":0.2995652009858182,""weight_obstacle"":53.534100437297575,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7287725778667931,""acc_lim_x"":0.8,""inflation_dist"":0.5543728397972557,""max_vel_theta"":0.9972897129119004,""max_vel_x"":1.1967476554942804,""min_obstacle_dist"":0.2995652009858182,""weight_obstacle"":53.534100437297575,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7287725778667931,""acc_lim_x"":0.8,""inflation_dist"":0.5543728397972557,""max_vel_theta"":0.9972897129119004,""max_vel_x"":1.1967476554942804,""min_obstacle_dist"":0.2995652009858182,""weight_obstacle"":53.534100437297575,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,11.538908144833599,1.6227624267724061,-0.04499999999999993,-0.0,-0.0008109370860008007,-0.020657131044568712,-0.0,-0.01738621380823768,10.0,0.0,0.0,1.0,0.0,0.0,0.0,34.000000000000696,96.00000000000009,true,
t11_boundary_stress_acceptance,t11_boundary_stress_acceptance-episode-000003,0,1,11.632,11.074,11.078,11.104,11.13,11.63,0,0.4499999999999993,true,,2.4670778849376527,2.057993382395273,0.039493899414259265,0.14971373194663185,30.0,0.0,30.531775285833817,0.9825828900921936,-0.2428013082420302,"[0.0,0.0,0.0,0.0,0.0]","[0.3816293478012085,-0.6522708535194397,-0.8838756680488586,-0.6724159717559814,-0.5273141264915466]","[0.3816293478012085,-0.6522708535194397,-0.8838756680488586,-0.6724159717559814,-0.5273141264915466]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7848235065018069,""acc_lim_x"":0.7990197866375268,""inflation_dist"":0.5581831441134025,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":52.847323798603576,""weight_optimaltime"":0.934772914648056,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7848235065018069,""acc_lim_x"":0.7990197866375268,""inflation_dist"":0.5581831441134025,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":52.847323798603576,""weight_optimaltime"":0.934772914648056,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7848235065018069,""acc_lim_x"":0.7990197866375268,""inflation_dist"":0.5581831441134025,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":52.847323798603576,""weight_optimaltime"":0.934772914648056,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7848235065018069,""acc_lim_x"":0.7990197866375268,""inflation_dist"":0.5581831441134025,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":52.847323798603576,""weight_optimaltime"":0.934772914648056,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,1.7642018183656656,2.0454225127118986,-0.04499999999999993,-0.0,-0.00010744095213032097,-0.21099597083608237,-0.0,-0.025117282558020405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9999999999998,52.00000000000138,true,
t11_boundary_stress_acceptance,t11_boundary_stress_acceptance-episode-000003,1,2,12.232,11.628,11.634,11.666,11.73,12.23,0,0.45000000000000107,true,,1.9419319553202496,1.4412031788203299,0.026883739252865756,0.04160371870385959,30.0,0.0,25.994683990798805,1.154082119660271,0.5558921043556703,"[0.3816293478012085,-0.6522708535194397,-0.8838756680488586,-0.6724159717559814,-0.5273141264915466]","[-0.2773677110671997,0.12493264675140381,0.8265422582626343,-0.3015044927597046,0.2683529853820801]","[0.10426163673400879,-0.5273382067680359,-0.057333409786224365,-0.973920464515686,-0.25896114110946655]","{""acc_lim_theta"":0.7848235065018069,""acc_lim_x"":0.7990197866375268,""inflation_dist"":0.5581831441134025,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":52.847323798603576,""weight_optimaltime"":0.934772914648056,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7793728520481362,""acc_lim_x"":0.8,""inflation_dist"":0.5505308071844869,""max_vel_theta"":1.0,""max_vel_x"":1.186218407710661,""min_obstacle_dist"":0.275123393263844,""weight_obstacle"":51.39830545580186,""weight_optimaltime"":0.9472661793231965,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7793728520481362,""acc_lim_x"":0.8,""inflation_dist"":0.5505308071844869,""max_vel_theta"":0.9885153397588842,""max_vel_x"":1.186218407710661,""min_obstacle_dist"":0.275123393263844,""weight_obstacle"":51.39830545580186,""weight_optimaltime"":0.9472661793231965,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7793728520481362,""acc_lim_x"":0.8,""inflation_dist"":0.5505308071844869,""max_vel_theta"":0.9885153397588842,""max_vel_x"":1.186218407710661,""min_obstacle_dist"":0.275123393263844,""weight_obstacle"":51.39830545580186,""weight_optimaltime"":0.9472661793231965,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7793728520481362,""acc_lim_x"":0.8,""inflation_dist"":0.5505308071844869,""max_vel_theta"":0.9885153397588842,""max_vel_x"":1.186218407710661,""min_obstacle_dist"":0.275123393263844,""weight_obstacle"":51.39830545580186,""weight_optimaltime"":0.9472661793231965,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,2.3580012357081466,2.503643882499599,-0.04500000000000011,-0.0,-0.0016865084619837821,-0.07512212837312714,-0.0,-0.023834009956341603,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.00000000000003,96.00000000000009,true,
