run_id,episode_id,step_id,config_seq,t_observation,t_decision,t_request,t_ack,t_active,t_window_end,planner_cycle_count,valid_feedback_duration,state_valid,invalid_reason,goal_distance_start,goal_distance_end,path_error_mean,path_heading_error_mean,d_obs_min,obstacle_density_mean,ttc_min,linear_velocity_mean,angular_velocity_mean,eta_before_json,action_raw_json,eta_after_json,theta_previous_json,theta_candidate_json,theta_projected_json,theta_safe_json,theta_applied_json,projection_modified,projection_reason,safety_modified,safety_mode,safety_reason,fallback_active,fallback_reason,reward_total,reward_progress,reward_time,reward_near_obstacle,reward_path_error,reward_smoothness,reward_planner_failure,reward_parameter_adjustment,reward_terminal,cost_collision,cost_near_collision,cost_parameter_violation,cost_planner_failure,cost_emergency_or_fallback,inference_latency,parameter_write_latency,parameter_activation_latency,transition_stored,transition_drop_reason
t11_reset_retry_acceptance,t11_reset_retry_acceptance-episode-000001,0,1,3.168,2.618,2.622,2.658,2.666,3.166,0,0.44999999999999973,true,,2.4320690484075023,2.104671372040019,0.00700631220765493,0.01679293923630946,30.0,0.0,45.48208169093461,0.6596004159145498,0.009316972803508536,"[0.0,0.0,0.0,0.0,0.0]","[-0.6800177097320557,0.17188704013824463,0.6476736068725586,-0.4054795503616333,0.36979901790618896]","[-0.6800177097320557,0.17188704013824463,0.6476736068725586,-0.4054795503616333,0.36979901790618896]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.1752121192184082,""min_obstacle_dist"":0.2713953586134651,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1752121192184082,""min_obstacle_dist"":0.2713953586134651,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1752121192184082,""min_obstacle_dist"":0.2713953586134651,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1752121192184082,""min_obstacle_dist"":0.2713953586134651,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,1.38441309604026,1.6369883818374165,-0.04499999999999998,-0.0,-3.4364673649556254e-05,-0.1907201507509236,-0.0,-0.016820770372583293,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.00000000000003,44.00000000000004,true,
t11_reset_retry_acceptance,t11_reset_retry_acceptance-episode-000001,1,2,3.816,3.166,3.168,3.204,3.266,3.766,0,0.5,true,,1.9844949599222859,1.4121301756179967,0.01031405010344719,0.06222614278019049,30.0,0.0,26.155427968635202,1.1469894522840571,-0.04146941138969843,"[-0.6800177097320557,0.17188704013824463,0.6476736068725586,-0.4054795503616333,0.36979901790618896]","[-0.07223165035247803,0.78271484375,0.12974655628204346,0.9863839149475098,-0.5149568915367126]","[-0.7522493600845337,0.9546018838882446,0.777420163154602,0.5809043645858765,-0.14515787363052368]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1752121192184082,""min_obstacle_dist"":0.2713953586134651,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.78840837621975,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1809012925183757,""min_obstacle_dist"":0.2929630315317576,""weight_obstacle"":52.78059877189902,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.78840837621975,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1809012925183757,""min_obstacle_dist"":0.2929630315317576,""weight_obstacle"":52.78059877189902,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.78840837621975,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1809012925183757,""min_obstacle_dist"":0.2929630315317576,""weight_obstacle"":52.78059877189902,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.78840837621975,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1809012925183757,""min_obstacle_dist"":0.2929630315317576,""weight_obstacle"":52.78059877189902,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,2.7427971181843525,2.861823921521446,-0.05,-0.0,-5.350836032862794e-05,-0.05093892677059256,-0.0,-0.018034368206172154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00000000000003,97.99999999999986,true,
t11_reset_retry_acceptance,t11_reset_retry_acceptance-episode-000001,2,3,4.414,3.798,3.818,3.854,3.864,4.364,0,0.5,true,,1.2974314660393669,0.7608895809780627,0.03479530628446434,0.06539753148577054,30.0,0.0,30.236853297340378,0.9921667345801088,0.01138355193037237,"[-0.7522493600845337,0.9546018838882446,0.777420163154602,0.5809043645858765,-0.14515787363052368]","[-0.7814074754714966,-0.3089001178741455,0.5584290027618408,0.07930505275726318,0.8485109806060791]","[-1.0,0.6457017660140991,1.0,0.6602094173431396,0.7033531069755554]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.78840837621975,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1809012925183757,""min_obstacle_dist"":0.2929630315317576,""weight_obstacle"":52.78059877189902,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7698406509954568,""inflation_dist"":0.55,""max_vel_theta"":0.9793434326820069,""max_vel_x"":1.1151515573950257,""min_obstacle_dist"":0.3008534591697769,""weight_obstacle"":50.0,""weight_optimaltime"":0.9691099882125854,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7698406509954568,""inflation_dist"":0.55,""max_vel_theta"":0.9292929644958547,""max_vel_x"":1.1151515573950257,""min_obstacle_dist"":0.3008534591697769,""weight_obstacle"":50.0,""weight_optimaltime"":0.9691099882125854,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7698406509954568,""inflation_dist"":0.55,""max_vel_theta"":0.9292929644958547,""max_vel_x"":1.1151515573950257,""min_obstacle_dist"":0.3008534591697769,""weight_obstacle"":50.0,""weight_optimaltime"":0.9691099882125854,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7698406509954568,""inflation_dist"":0.55,""max_vel_theta"":0.9292929644958547,""max_vel_x"":1.1151515573950257,""min_obstacle_dist"":0.3008534591697769,""weight_obstacle"":50.0,""weight_optimaltime"":0.9691099882125854,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,2.585718586982265,2.6827094253065207,-0.05,-0.0,-0.00031813318298146777,-0.006167020054257078,-0.0,-0.0405056850870174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.00000000000003,45.999999999999815,true,
t11_reset_retry_acceptance,t11_reset_retry_acceptance-episode-000001,3,4,5.872,4.398,4.414,4.448,4.462,4.962,0,0.5,true,,0.6616732326746816,0.2721127838197787,0.004285030788425763,0.002889672972947585,30.0,0.0,600.0,0.0,0.0,"[-1.0,0.6457017660140991,1.0,0.6602094173431396,0.7033531069755554]","[0.9887311458587646,0.8444890975952148,-0.6753808259963989,0.18014216423034668,0.45128607749938965]","[-0.011268854141235352,1.0,0.3246191740036011,0.8403515815734863,1.0]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7698406509954568,""inflation_dist"":0.55,""max_vel_theta"":0.9292929644958547,""max_vel_x"":1.1151515573950257,""min_obstacle_dist"":0.3008534591697769,""weight_obstacle"":50.0,""weight_optimaltime"":0.9691099882125854,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7492177349472013,""acc_lim_x"":0.7976867211200827,""inflation_dist"":0.5562528462207332,""max_vel_theta"":0.9292929644958547,""max_vel_x"":1.1032208150993887,""min_obstacle_dist"":0.3021859126915806,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7492177349472013,""acc_lim_x"":0.7976867211200827,""inflation_dist"":0.5562528462207332,""max_vel_theta"":0.9193506792494907,""max_vel_x"":1.1032208150993887,""min_obstacle_dist"":0.3021859126915806,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7492177349472013,""acc_lim_x"":0.7976867211200827,""inflation_dist"":0.5562528462207332,""max_vel_theta"":0.9193506792494907,""max_vel_x"":1.1032208150993887,""min_obstacle_dist"":0.3021859126915806,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7492177349472013,""acc_lim_x"":0.7976867211200827,""inflation_dist"":0.5562528462207332,""max_vel_theta"":0.9193506792494907,""max_vel_x"":1.1032208150993887,""min_obstacle_dist"":0.3021859126915806,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,11.841077716141259,1.9478022442745144,-0.05,-0.0,-0.000526669728741865,-0.024066349253770013,-0.0,-0.03213150915074423,10.0,0.0,0.0,1.0,0.0,0.0,0.0,34.000000000000696,48.00000000000004,true,
t11_reset_retry_acceptance,t11_reset_retry_acceptance-episode-000002,0,1,7.394,6.798,6.802,6.844,6.846,7.346,0,0.4500000000000002,true,,2.5168653196461475,2.0366488876104687,0.01479403516801174,0.01520651689539175,30.0,0.0,25.77499743262057,1.1639186416380516,0.2091129937122852,"[0.0,0.0,0.0,0.0,0.0]","[0.8379325866699219,-0.7071791887283325,0.22523045539855957,-0.8917896151542664,0.4862254858016968]","[0.8379325866699219,-0.7071791887283325,0.22523045539855957,-0.8917896151542664,0.4862254858016968]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7266104625587485,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9292820811271667,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7266104625587485,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9292820811271667,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7266104625587485,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9292820811271667,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7266104625587485,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9292820811271667,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,2.1471022809289866,2.401082160178394,-0.04500000000000002,-0.0,-3.473614871378449e-05,-0.17645417496581414,-0.0,-0.03249096813487955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0000000000007,44.00000000000048,true,
t11_reset_retry_acceptance,t11_reset_retry_acceptance-episode-000002,1,2,7.996,7.382,7.396,7.428,7.446,7.946,0,0.5,true,,1.92035945132835,1.3392541059352054,0.05407245355618423,0.03064308543356333,30.0,0.0,25.808624022813472,1.1624021479595956,0.018923532187271247,"[0.8379325866699219,-0.7071791887283325,0.22523045539855957,-0.8917896151542664,0.4862254858016968]","[0.14591896533966064,-0.746764063835144,-0.7726444005966187,0.04893958568572998,-0.011978566646575928]","[0.9838515520095825,-1.0,-0.5474139451980591,-0.8428500294685364,0.47424691915512085]","{""acc_lim_theta"":0.7266104625587485,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9292820811271667,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7223251470952243,""acc_lim_x"":0.7663699490554436,""inflation_dist"":0.5571533369534347,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.06468034170236,""weight_optimaltime"":0.8546056747436523,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7223251470952243,""acc_lim_x"":0.7663699490554436,""inflation_dist"":0.5571533369534347,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.06468034170236,""weight_optimaltime"":0.8546056747436523,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7223251470952243,""acc_lim_x"":0.7663699490554436,""inflation_dist"":0.5571533369534347,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.06468034170236,""weight_optimaltime"":0.8546056747436523,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7223251470952243,""acc_lim_x"":0.7663699490554436,""inflation_dist"":0.5571533369534347,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.06468034170236,""weight_optimaltime"":0.8546056747436523,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,2.828383512943026,2.9055267269657223,-0.05,-0.0,-0.0005526358117564325,-3.284090688449151e-06,-0.0,-0.026587294120251938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.00000000000003,49.99999999999982,true,
t11_reset_retry_acceptance,t11_reset_retry_acceptance-episode-000002,2,3,8.594,7.994,7.996,8.038,8.044,8.544,0,0.5,true,,1.2230139204036312,0.6706993656090262,0.07343379542689737,0.02988529121187527,30.0,0.0,32.602456317965355,0.9201760661042189,-0.0365535866497683,"[0.9838515520095825,-1.0,-0.5474139451980591,-0.8428500294685364,0.47424691915512085]","[0.07669723033905029,0.9541690349578857,0.9572756290435791,-0.40869706869125366,-0.8503319025039673]","[1.0,-0.04583096504211426,0.40986168384552,-1.0,-0.37608498334884644]","{""acc_lim_theta"":0.7223251470952243,""acc_lim_x"":0.7663699490554436,""inflation_dist"":0.5571533369534347,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.06468034170236,""weight_optimaltime"":0.8546056747436523,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7371876864365499,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.29779203445954544,""weight_obstacle"":54.65619447165848,""weight_optimaltime"":0.9500225782394409,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7371876864365499,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.29779203445954544,""weight_obstacle"":54.65619447165848,""weight_optimaltime"":0.9500225782394409,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7371876864365499,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.29779203445954544,""weight_obstacle"":54.65619447165848,""weight_optimaltime"":0.9500225782394409,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7371876864365499,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.29779203445954544,""weight_obstacle"":54.65619447165848,""weight_optimaltime"":0.9500225782394409,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,2.636757301737442,2.761572773973025,-0.05,-0.0,-0.0020656275107840735,-0.011199663852316397,-0.0,-0.06155018087248281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.999999999999815,48.00000000000004,true,
t11_reset_retry_acceptance,t11_reset_retry_acceptance-episode-000002,3,4,10.052,8.578,8.594,8.64,8.642,9.142,0,0.5,true,,0.5786818231082403,0.21885460667662918,0.0029233486741738145,0.0010756802332678517,30.0,0.0,600.0,0.0,0.0,"[1.0,-0.04583096504211426,0.40986168384552,-1.0,-0.37608498334884644]","[-0.4161975383758545,0.627010703086853,-0.47231805324554443,-0.7154607772827148,0.2078077793121338]","[0.5838024616241455,0.5811797380447388,-0.062456369400024414,-1.0,-0.16827720403671265]","{""acc_lim_theta"":0.7371876864365499,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.29779203445954544,""weight_obstacle"":54.65619447165848,""weight_optimaltime"":0.9500225782394409,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7287725778667931,""acc_lim_x"":0.8,""inflation_dist"":0.5543728397972557,""max_vel_theta"":1.0,""max_vel_x"":1.1967476554942804,""min_obstacle_dist"":0.2995652009858182,""weight_obstacle"":53.534100437297575,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7287725778667931,""acc_lim_x"":0.8,""inflation_dist"":0.5543728397972557,""max_vel_theta"":0.9972897129119004,""max_vel_x"":1.1967476554942804,""min_obstacle_dist"":0.2995652009858182,""weight_obstacle"":53.534100437297575,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7287725778667931,""acc_lim_x"":0.8,""inflation_dist"":0.5543728397972557,""max_vel_theta"":0.9972897129119004,""max_vel_x"":1.1967476554942804,""min_obstacle_dist"":0.2995652009858182,""weight_obstacle"":53.534100437297575,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7287725778667931,""acc_lim_x"":0.8,""inflation_dist"":0.5543728397972557,""max_vel_theta"":0.9972897129119004,""max_vel_x"":1.1967476554942804,""min_obstacle_dist"":0.2995652009858182,""weight_obstacle"":53.534100437297575,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,11.708531331024874,1.799136082158056,-0.05,-0.0,-0.001133921165812725,-0.022084616159132216,-0.0,-0.01738621380823768,10.0,0.0,0.0,1.0,0.0,0.0,0.0,46.00000000000115,48.00000000000004,true,
t11_reset_retry_acceptance,t11_reset_retry_acceptance-episode-000003,0,1,11.594,10.998,11.0,11.034,11.044,11.544,0,0.5,true,,2.4670778838350964,2.0192962114023465,0.042786859186614214,0.15663583519211738,30.0,0.0,38.0378231831668,0.788688665372317,-0.1730521919285687,"[0.0,0.0,0.0,0.0,0.0]","[0.3816293478012085,-0.6522708535194397,-0.8838756680488586,-0.6724159717559814,-0.5273141264915466]","[0.3816293478012085,-0.6522708535194397,-0.8838756680488586,-0.6724159717559814,-0.5273141264915466]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7848235065018069,""acc_lim_x"":0.7990197866375268,""inflation_dist"":0.5581831441134025,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":52.847323798603576,""weight_optimaltime"":0.934772914648056,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7848235065018069,""acc_lim_x"":0.7990197866375268,""inflation_dist"":0.5581831441134025,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":52.847323798603576,""weight_optimaltime"":0.934772914648056,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7848235065018069,""acc_lim_x"":0.7990197866375268,""inflation_dist"":0.5581831441134025,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":52.847323798603576,""weight_optimaltime"":0.934772914648056,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7848235065018069,""acc_lim_x"":0.7990197866375268,""inflation_dist"":0.5581831441134025,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":52.847323798603576,""weight_optimaltime"":0.934772914648056,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,1.9389532112018926,2.2389083621637496,-0.05,-0.0,-0.00016582051018265899,-0.22467204789365383,-0.0,-0.025117282558020405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.000000000000696,44.00000000000048,true,
t11_reset_retry_acceptance,t11_reset_retry_acceptance-episode-000003,1,2,12.196,11.578,11.598,11.628,11.646,12.146,0,0.5,true,,1.9419317716290103,1.3957122008429486,0.03042610299434858,0.023530114336114488,30.0,0.0,25.93565793599267,1.1567086547037995,0.45188544764609523,"[0.3816293478012085,-0.6522708535194397,-0.8838756680488586,-0.6724159717559814,-0.5273141264915466]","[-0.2773677110671997,0.12493264675140381,0.8265422582626343,-0.3015044927597046,0.2683529853820801]","[0.10426163673400879,-0.5273382067680359,-0.057333409786224365,-0.973920464515686,-0.25896114110946655]","{""acc_lim_theta"":0.7848235065018069,""acc_lim_x"":0.7990197866375268,""inflation_dist"":0.5581831441134025,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":52.847323798603576,""weight_optimaltime"":0.934772914648056,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7793728520481362,""acc_lim_x"":0.8,""inflation_dist"":0.5505308071844869,""max_vel_theta"":1.0,""max_vel_x"":1.186218407710661,""min_obstacle_dist"":0.275123393263844,""weight_obstacle"":51.39830545580186,""weight_optimaltime"":0.9472661793231965,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7793728520481362,""acc_lim_x"":0.8,""inflation_dist"":0.5505308071844869,""max_vel_theta"":0.9885153397588842,""max_vel_x"":1.186218407710661,""min_obstacle_dist"":0.275123393263844,""weight_obstacle"":51.39830545580186,""weight_optimaltime"":0.9472661793231965,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7793728520481362,""acc_lim_x"":0.8,""inflation_dist"":0.5505308071844869,""max_vel_theta"":0.9885153397588842,""max_vel_x"":1.186218407710661,""min_obstacle_dist"":0.275123393263844,""weight_obstacle"":51.39830545580186,""weight_optimaltime"":0.9472661793231965,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7793728520481362,""acc_lim_x"":0.8,""inflation_dist"":0.5505308071844869,""max_vel_theta"":0.9885153397588842,""max_vel_x"":1.186218407710661,""min_obstacle_dist"":0.275123393263844,""weight_obstacle"":51.39830545580186,""weight_optimaltime"":0.9472661793231965,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,false,NORMAL,,false,,2.585145927877304,2.731097853930309,-0.05,-0.0,-0.0016297043495531547,-0.07048821174710998,-0.0,-0.023834009956341603,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.99999999999936,48.00000000000004,true,
