run_id,episode_id,step_id,config_seq,t_observation,t_decision,t_request,t_ack,t_active,t_window_end,planner_cycle_count,valid_feedback_duration,state_valid,invalid_reason,goal_distance_start,goal_distance_end,path_error_mean,path_heading_error_mean,d_obs_min,obstacle_density_mean,ttc_min,linear_velocity_mean,angular_velocity_mean,eta_before_json,action_raw_json,eta_after_json,theta_previous_json,theta_candidate_json,theta_projected_json,theta_safe_json,theta_applied_json,projection_modified,projection_reason,safety_modified,safety_mode,safety_reason,fallback_active,fallback_reason,reward_total,reward_progress,reward_time,reward_near_obstacle,reward_path_error,reward_smoothness,reward_planner_failure,reward_parameter_adjustment,reward_terminal,cost_collision,cost_near_collision,cost_parameter_violation,cost_planner_failure,cost_emergency_or_fallback,inference_latency,parameter_write_latency,parameter_activation_latency,transition_stored,transition_drop_reason
t12p_directional_seed102,t12p_directional_seed102-episode-000001,0,1,2.876,2.278,2.2800000000000002,2.304,2.326,2.826,0,0.5,true,,5.191820721651336,4.798309158163534,0.11817637179260168,0.3929430369443629,1.2491486632120616,1.0,1.7048595166344038,0.7326988828252724,-0.6105492291820925,"[0.0,0.0,0.0,0.0,0.0]","[0.11717045307159424,0.15301930904388428,0.04642891883850098,-0.15043675899505615,-0.17484045028686523]","[0.11717045307159424,0.15301930904388428,0.04642891883850098,-0.15043675899505615,-0.17484045028686523]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7972154197898357,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2547831579422439,""weight_obstacle"":50.94408124123778,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7972154197898357,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2547831579422439,""weight_obstacle"":50.94408124123778,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7972154197898357,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2547831579422439,""weight_obstacle"":50.94408124123778,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7972154197898357,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2547831579422439,""weight_obstacle"":50.94408124123778,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,1.7701909059543495,1.9675578174390074,-0.05,-0.0,-0.0022680961037987017,-0.14060124466894502,-0.0,-0.0044975707119142075,0.0,0.0,0.0,0.0,0.0,0.0,1.906781006255187,23.999999999999577,45.999999999999815,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,1,2,3.472,2.858,2.878,2.896,2.922,3.422,0,0.5,true,,4.731217586504104,4.302655142799502,0.0051748929197732736,0.6221847918590994,0.6875435394194319,1.0,0.5998931808066621,1.14610994326508,-0.2139881429107237,"[0.11717045307159424,0.15301930904388428,0.04642891883850098,-0.15043675899505615,-0.17484045028686523]","[0.34839415550231934,0.35431647300720215,-0.05580681562423706,-0.1708027720451355,0.1001654863357544]","[0.4655646085739136,0.5073357820510864,-0.009377896785736084,-0.32123953104019165,-0.07467496395111084]","{""acc_lim_theta"":0.7972154197898357,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2547831579422439,""weight_obstacle"":50.94408124123778,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7752662620034255,""acc_lim_x"":0.8,""inflation_dist"":0.5505166735902702,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.26146464120904306,""weight_obstacle"":50.403220379155286,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7752662620034255,""acc_lim_x"":0.8,""inflation_dist"":0.5505166735902702,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.26146464120904306,""weight_obstacle"":50.403220379155286,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7752662620034255,""acc_lim_x"":0.8,""inflation_dist"":0.5505166735902702,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.26146464120904306,""weight_obstacle"":50.94408124123778,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7752662620034255,""acc_lim_x"":0.8,""inflation_dist"":0.5505166735902702,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.26146464120904306,""weight_obstacle"":50.94408124123778,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",false,,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter,false,,1.9986960150142707,2.1428122185230114,-0.05,-0.0,-0.005083350241534934,-0.08072534948809261,-0.0,-0.008307503779113695,0.0,0.0,0.0,0.0,0.0,0.0,1.1555840028449893,17.999999999999794,44.00000000000004,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,2,3,4.074,3.458,3.474,3.492,3.524,4.024,0,0.5,true,,4.216348331492833,3.814484929852814,0.021527712750000462,0.6307267117472636,0.4317557698880318,1.0,0.37368042658329764,1.1554144642676074,0.03733256261008397,"[0.4655646085739136,0.5073357820510864,-0.009377896785736084,-0.32123953104019165,-0.07467496395111084]","[0.5064069032669067,0.46345198154449463,-0.04691600799560547,-0.3193480968475342,-0.1368512511253357]","[0.9719715118408203,0.970787763595581,-0.05629390478134155,-0.6405876278877258,-0.21152621507644653]","{""acc_lim_theta"":0.7752662620034255,""acc_lim_x"":0.8,""inflation_dist"":0.5505166735902702,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.26146464120904306,""weight_obstacle"":50.94408124123778,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7510010966649744,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.27090582275021075,""weight_obstacle"":51.68303323327035,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7510010966649744,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.27090582275021075,""weight_obstacle"":51.68303323327035,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7510010966649744,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.27090582275021075,""weight_obstacle"":51.68303323327035,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7510010966649744,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.27090582275021075,""weight_obstacle"":51.68303323327035,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",false,,false,WARNING,margin:warning|safety_mode:WARNING:conservative_filter,false,,1.9293936223127024,2.0093170082000955,-0.05,-0.01712590447694294,-8.000383624318655e-05,-0.0012727067109719146,-0.0,-0.011444770863235091,0.0,0.0,0.0,0.0,0.0,0.0,1.1608149943640456,17.999999999999794,49.99999999999982,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,3,4,4.624,4.058,4.074,4.096,4.122,4.622,0,0.4500000000000002,true,,3.7382759654464564,3.396877507585544,0.0824810072865532,0.44711078078243816,0.35483535177038916,1.0,0.3181462457377746,1.176351759963725,0.5194105419600544,"[0.9719715118408203,0.970787763595581,-0.05629390478134155,-0.6405876278877258,-0.21152621507644653]","[0.29804039001464844,0.07347440719604492,0.19524908065795898,-0.3971289396286011,-0.29391783475875854]","[1.0,1.0,0.13895517587661743,-1.0,-0.5054440498352051]","{""acc_lim_theta"":0.7510010966649744,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.27090582275021075,""weight_obstacle"":51.68303323327035,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7384903524048398,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.27785588277255596,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7384903524048398,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.27785588277255596,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7384903524048398,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.27785588277255596,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7384903524048398,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.27785588277255596,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",false,,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter,false,,1.5278023994794894,1.7069922893045608,-0.04500000000000002,-0.12348044944936709,-0.0007190493081714074,-0.0009085606592141798,-0.0,-0.009081830408318817,0.0,0.0,0.0,0.0,0.0,0.0,0.7834720017854124,22.00000000000024,48.00000000000004,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,4,5,5.224,4.622,4.642,4.662,4.7219999999999995,5.2219999999999995,0,0.4500000000000002,true,,3.2667230204886506,2.8705306914712465,0.014215092764928655,0.0570696404675286,0.35483535177038916,1.0,0.44721375825296616,1.1700242898550517,0.7049055138505446,"[1.0,1.0,0.13895517587661743,-1.0,-0.5054440498352051]","[0.23550128936767578,-0.12169581651687622,0.24297833442687988,-0.5220015048980713,0.06589031219482422]","[1.0,0.8783041834831238,0.3819335103034973,-1.0,-0.43955373764038086]","{""acc_lim_theta"":0.7384903524048398,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.27785588277255596,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7132540045310014,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.28158262623930785,""weight_obstacle"":52.914307267312964,""weight_optimaltime"":0.9878304183483124,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7132540045310014,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.28158262623930785,""weight_obstacle"":52.914307267312964,""weight_optimaltime"":0.9878304183483124,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7132540045310014,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.28158262623930785,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":0.9878304183483124,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7132540045310014,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.28158262623930785,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":0.9878304183483124,""weight_viapoint"":1.0}",false,,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter,false,,1.8570066372219822,1.9809616450870204,-0.04500000000000002,-0.05711030415960919,-0.011456303266624439,-0.00015469975330695206,-0.0,-0.010233700685497883,0.0,0.0,0.0,0.0,0.0,0.0,16.72722800867632,19.999999999999574,79.99999999999918,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,5,6,5.872,5.222,5.224,5.244,5.322,5.822,0,0.5,true,,2.7128001661976966,2.1971799039221547,0.12534408832969965,0.4439600827448452,0.35483535177038916,1.0,0.469884637118961,0.9486035447910933,0.6831716172880687,"[1.0,0.8783041834831238,0.3819335103034973,-1.0,-0.43955373764038086]","[0.16935420036315918,0.054556846618652344,0.307148814201355,-0.17886722087860107,0.20547950267791748]","[1.0,0.9328610301017761,0.6890823245048523,-1.0,-0.23407423496246338]","{""acc_lim_theta"":0.7132540045310014,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.28158262623930785,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":0.9878304183483124,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6948628670744468,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.1953736185860422,""min_obstacle_dist"":0.291106439015522,""weight_obstacle"":52.16057129832847,""weight_optimaltime"":0.9932861030101776,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6948628670744468,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9961446821550352,""max_vel_x"":1.1953736185860422,""min_obstacle_dist"":0.291106439015522,""weight_obstacle"":52.16057129832847,""weight_optimaltime"":0.9932861030101776,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6948628670744468,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9961446821550352,""max_vel_x"":1.1953736185860422,""min_obstacle_dist"":0.291106439015522,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":0.9932861030101776,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6948628670744468,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9961446821550352,""max_vel_x"":1.1953736185860422,""min_obstacle_dist"":0.291106439015522,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":0.9932861030101776,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter,false,,2.448510224605988,2.5781013113777096,-0.05,-0.03378521199491779,-0.008753280322232673,-0.026012020909588138,-0.0,-0.011040573544983294,0.0,0.0,0.0,1.0,0.0,0.0,0.7858899916755036,19.999999999999574,97.99999999999986,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,6,7,6.4719999999999995,5.858,5.874,5.892,5.922,6.422,0,0.5,true,,2.1035848147115566,1.7120614455675105,0.051343177250757085,0.7499987181566379,0.35483535177038916,1.0,0.7715681292022981,0.5219863696542482,0.35707765964876953,"[1.0,0.9328610301017761,0.6890823245048523,-1.0,-0.23407423496246338]","[-0.15851175785064697,0.4127093553543091,0.28987717628479004,0.010295271873474121,0.17315971851348877]","[0.841488242149353,1.0,0.9789595007896423,-0.9897047281265259,-0.06091451644897461]","{""acc_lim_theta"":0.6948628670744468,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9961446821550352,""max_vel_x"":1.1953736185860422,""min_obstacle_dist"":0.291106439015522,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":0.9932861030101776,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6957825440658911,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9961446821550352,""max_vel_x"":1.1821102132489165,""min_obstacle_dist"":0.30843711500116044,""weight_obstacle"":52.33508756101499,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6957825440658911,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9850918443740971,""max_vel_x"":1.1821102132489165,""min_obstacle_dist"":0.30843711500116044,""weight_obstacle"":52.33508756101499,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6957825440658911,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9850918443740971,""max_vel_x"":1.1821102132489165,""min_obstacle_dist"":0.30843711500116044,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6957825440658911,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9850918443740971,""max_vel_x"":1.1821102132489165,""min_obstacle_dist"":0.30843711500116044,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter,false,,1.7319318005006916,1.9576168457202303,-0.05,-0.09516075241045938,-0.0027969342977572607,-0.06480125435886577,-0.0,-0.012926104152456151,0.0,0.0,0.0,1.0,0.0,0.0,1.0814239940373227,18.000000000000682,48.00000000000004,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,7,8,7.072,6.458,6.4719999999999995,6.49,6.522,7.022,0,0.5,true,,1.6603729254425155,1.2811222310487511,0.13435290601538508,0.8562571458496363,0.35483535177038916,1.0,0.5237754693496814,0.9442773807527834,-0.14858521263412422,"[0.841488242149353,1.0,0.9789595007896423,-0.9897047281265259,-0.06091451644897461]","[0.20699667930603027,0.512275218963623,0.07320535182952881,0.00041985511779785156,0.4559807777404785]","[1.0,1.0,1.0,-0.989284873008728,0.3950662612915039]","{""acc_lim_theta"":0.6957825440658911,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9850918443740971,""max_vel_x"":1.1821102132489165,""min_obstacle_dist"":0.30843711500116044,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6720736151143452,""acc_lim_x"":0.8,""inflation_dist"":0.5502732802069965,""max_vel_theta"":0.9850918443740971,""max_vel_x"":1.1594700040416694,""min_obstacle_dist"":0.3222377297554508,""weight_obstacle"":50.80794635195771,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6720736151143452,""acc_lim_x"":0.8,""inflation_dist"":0.5502732802069965,""max_vel_theta"":0.9662250033680579,""max_vel_x"":1.1594700040416694,""min_obstacle_dist"":0.3222377297554508,""weight_obstacle"":50.80794635195771,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6720736151143452,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9662250033680579,""max_vel_x"":1.1594700040416694,""min_obstacle_dist"":0.3222377297554508,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6720736151143452,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9662250033680579,""max_vel_x"":1.1594700040416694,""min_obstacle_dist"":0.3222377297554508,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter,false,,1.6647603576086945,1.8962534719688218,-0.05,-0.07516435706454008,-0.003755144098372155,-0.08357939865519663,-0.0,-0.018994214542018314,0.0,0.0,0.0,1.0,0.0,0.0,0.8272420091088861,18.000000000000682,50.00000000000071,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,8,9,7.672,7.058,7.072,7.094,7.122,7.622,0,0.5,true,,1.191718218676082,0.7496788747213903,0.13410093615605234,0.6216184888140803,0.35483535177038916,1.0,0.61300312728113,1.0743141576321729,-0.7039064761428067,"[1.0,1.0,1.0,-0.989284873008728,0.3950662612915039]","[0.10328078269958496,0.3397639989852905,0.15800833702087402,0.07508242130279541,0.22951555252075195]","[1.0,1.0,1.0,-0.9142024517059326,0.6245818138122559]","{""acc_lim_theta"":0.6720736151143452,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9662250033680579,""max_vel_x"":1.1594700040416694,""min_obstacle_dist"":0.3222377297554508,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6621033733343062,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9662250033680579,""max_vel_x"":1.1463199706312066,""min_obstacle_dist"":0.3343358054509885,""weight_obstacle"":52.03078449136906,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6621033733343062,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9552666421926722,""max_vel_x"":1.1463199706312066,""min_obstacle_dist"":0.3343358054509885,""weight_obstacle"":52.03078449136906,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6621033733343062,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9552666421926722,""max_vel_x"":1.1463199706312066,""min_obstacle_dist"":0.3343358054509885,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6621033733343062,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9552666421926722,""max_vel_x"":1.1463199706312066,""min_obstacle_dist"":0.3343358054509885,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter,false,,2.1211954025665762,2.2101967197734584,-0.05,-0.010943478330356646,-0.005658940195860292,-0.010683763487286266,-0.0,-0.011715135193379106,0.0,0.0,0.0,1.0,0.0,0.0,0.8865999989211559,22.00000000000024,49.99999999999982,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,9,10,9.322,7.658,7.672,7.692,7.72,8.219999999999999,0,0.45000000000000107,true,,0.6466716083959964,0.3100806329044292,0.01826494347080438,0.018363274218249043,0.35483535177038916,0.7192982456140351,28.708381271328882,0.0,0.0,"[1.0,1.0,1.0,-0.9142024517059326,0.6245818138122559]","[0.20212388038635254,0.3503795862197876,0.09379851818084717,-0.0019332170486450195,-0.03942310810089111]","[1.0,1.0,1.0,-0.9161356687545776,0.5851587057113647]","{""acc_lim_theta"":0.6621033733343062,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9552666421926722,""max_vel_x"":1.1463199706312066,""min_obstacle_dist"":0.3343358054509885,""weight_obstacle"":53.2700934004439,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6551387516975361,""acc_lim_x"":0.8,""inflation_dist"":0.5500826234731414,""max_vel_theta"":0.9552666421926722,""max_vel_x"":1.1524324746109427,""min_obstacle_dist"":0.34495148782859264,""weight_obstacle"":53.48296528889005,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6551387516975361,""acc_lim_x"":0.8,""inflation_dist"":0.5500826234731414,""max_vel_theta"":0.9552666421926722,""max_vel_x"":1.1524324746109427,""min_obstacle_dist"":0.34495148782859264,""weight_obstacle"":53.48296528889005,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6551387516975361,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9552666421926722,""max_vel_x"":1.1463199706312066,""min_obstacle_dist"":0.34495148782859264,""weight_obstacle"":53.48296528889005,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6551387516975361,""acc_lim_x"":0.8,""inflation_dist"":0.5509510338385856,""max_vel_theta"":0.9552666421926722,""max_vel_x"":1.1463199706312066,""min_obstacle_dist"":0.34495148782859264,""weight_obstacle"":53.48296528889005,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",false,,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter,false,,11.511475179121772,1.6829548774578358,-0.04500000000000011,-0.0,-0.007406176710247527,-0.11266034948868844,-0.0,-0.0064131721371264916,10.0,0.0,0.0,0.0,0.0,0.0,0.8326420065714046,20.000000000000462,48.00000000000004,true,
