run_id,episode_id,step_id,config_seq,t_observation,t_decision,t_request,t_ack,t_active,t_window_end,planner_cycle_count,valid_feedback_duration,state_valid,invalid_reason,goal_distance_start,goal_distance_end,path_error_mean,path_heading_error_mean,d_obs_min,obstacle_density_mean,ttc_min,linear_velocity_mean,angular_velocity_mean,eta_before_json,action_raw_json,eta_after_json,theta_previous_json,theta_candidate_json,theta_projected_json,theta_safe_json,theta_applied_json,projection_modified,projection_reason,safety_modified,safety_mode,safety_reason,fallback_active,fallback_reason,reward_total,reward_progress,reward_time,reward_near_obstacle,reward_path_error,reward_smoothness,reward_planner_failure,reward_parameter_adjustment,reward_terminal,cost_collision,cost_near_collision,cost_parameter_violation,cost_planner_failure,cost_emergency_or_fallback,inference_latency,parameter_write_latency,parameter_activation_latency,transition_stored,transition_drop_reason
t12p_directional_seed102,t12p_directional_seed102-episode-000001,0,1,2.94,2.312,2.314,2.338,2.438,2.938,0,0.4500000000000002,true,,5.1399561981418715,4.776298191985485,0.12001932051186069,0.4086414588252499,1.1904462809861687,1.0,1.5479812472747856,0.7690314615128215,-0.6130929033712157,"[0.0,0.0,0.0,0.0,0.0]","[0.12131130695343018,0.14772462844848633,0.04375815391540527,-0.14971232414245605,-0.17608284950256348]","[0.12131130695343018,0.14772462844848633,0.04375815391540527,-0.14971232414245605,-0.17608284950256348]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7971069695750206,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25458902019283286,""weight_obstacle"":50.95078979061377,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7971069695750206,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25458902019283286,""weight_obstacle"":50.95078979061377,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7971069695750206,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25458902019283286,""weight_obstacle"":50.95078979061377,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7971069695750206,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25458902019283286,""weight_obstacle"":50.95078979061377,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",false,,false,NORMAL,,false,,1.665668824052996,1.8182900307819327,-0.04500000000000002,-0.0,-0.0027274687824083445,-0.10043329268192286,-0.0,-0.004460445264605546,0.0,0.0,0.0,0.0,0.0,0.0,1.0356160055380315,24.00000000000002,124.00000000000011,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,1,2,3.5380000000000003,2.9379999999999997,2.942,2.964,3.036,3.536,0,0.4500000000000002,true,,4.679538703985979,4.236054030668343,0.01465224145723074,0.629314004921098,0.6326191643637513,1.0,0.5540510750301662,1.1418065822348733,-0.23033375670363881,"[0.12131130695343018,0.14772462844848633,0.04375815391540527,-0.14971232414245605,-0.17608284950256348]","[0.3030555248260498,0.21982073783874512,-0.06493651866912842,-0.20362383127212524,0.20068562030792236]","[0.42436683177948,0.36754536628723145,-0.021178364753723145,-0.3533361554145813,0.024602770805358887]","{""acc_lim_theta"":0.7971069695750206,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25458902019283286,""weight_obstacle"":50.95078979061377,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7727913233773334,""acc_lim_x"":0.8,""inflation_dist"":0.5506011986863097,""max_vel_theta"":1.0,""max_vel_x"":1.1987248208299994,""min_obstacle_dist"":0.2579186816347636,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7727913233773334,""acc_lim_x"":0.8,""inflation_dist"":0.5506011986863097,""max_vel_theta"":0.9989373506916662,""max_vel_x"":1.1987248208299994,""min_obstacle_dist"":0.2579186816347636,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7727913233773334,""acc_lim_x"":0.8,""inflation_dist"":0.5506011986863097,""max_vel_theta"":0.9989373506916662,""max_vel_x"":1.1987248208299994,""min_obstacle_dist"":0.2579186816347636,""weight_obstacle"":50.95078979061377,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7727913233773334,""acc_lim_x"":0.8,""inflation_dist"":0.5506011986863097,""max_vel_theta"":0.9989373506916662,""max_vel_x"":1.1987248208299994,""min_obstacle_dist"":0.2579186816347636,""weight_obstacle"":50.95078979061377,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",true,max_vel_theta:ackermann_turning_radius,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter,false,,2.1435937831030683,2.2174233665881804,-0.04500000000000002,-0.0,-0.0036315855832674093,-0.017190390999085946,-0.0,-0.00800760690275896,0.0,0.0,0.0,1.0,0.0,0.0,1.7950070032384247,21.999999999999797,93.99999999999986,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,2,3,4.138,3.536,3.54,3.56,3.636,4.136,0,0.4500000000000002,true,,4.101308206182579,3.770436261981053,0.07348131858484276,0.6622278606171687,0.4119803512953567,1.0,0.3567332211209235,1.154869596952132,0.0066836255545099175,"[0.42436683177948,0.36754536628723145,-0.021178364753723145,-0.3533361554145813,0.024602770805358887]","[0.5164345502853394,0.5592429637908936,0.049791693687438965,-0.20553869009017944,-0.27849864959716797]","[0.9408013820648193,0.926788330078125,0.02861332893371582,-0.5588748455047607,-0.2538958787918091]","{""acc_lim_theta"":0.7727913233773334,""acc_lim_x"":0.8,""inflation_dist"":0.5506011986863097,""max_vel_theta"":0.9989373506916662,""max_vel_x"":1.1987248208299994,""min_obstacle_dist"":0.2579186816347636,""weight_obstacle"":50.95078979061377,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7557939970276377,""acc_lim_x"":0.8,""inflation_dist"":0.5501402146137487,""max_vel_theta"":0.9989373506916662,""max_vel_x"":1.2,""min_obstacle_dist"":0.27217407656502013,""weight_obstacle"":52.454591401530195,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7557939970276377,""acc_lim_x"":0.8,""inflation_dist"":0.5501402146137487,""max_vel_theta"":0.9989373506916662,""max_vel_x"":1.2,""min_obstacle_dist"":0.27217407656502013,""weight_obstacle"":52.454591401530195,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7557939970276377,""acc_lim_x"":0.8,""inflation_dist"":0.5506011986863097,""max_vel_theta"":0.9989373506916662,""max_vel_x"":1.1987248208299994,""min_obstacle_dist"":0.27217407656502013,""weight_obstacle"":52.454591401530195,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7557939970276377,""acc_lim_x"":0.8,""inflation_dist"":0.5506011986863097,""max_vel_theta"":0.9989373506916662,""max_vel_x"":1.1987248208299994,""min_obstacle_dist"":0.27217407656502013,""weight_obstacle"":52.454591401530195,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}",false,,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter,false,,1.517836829695087,1.65435972100763,-0.04500000000000002,-0.03041020567594279,-0.0009416954484371901,-0.04721189740680365,-0.0,-0.01295909278135937,0.0,0.0,0.0,0.0,0.0,0.0,0.9444519964745268,20.000000000000018,96.00000000000009,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,3,4,4.786,4.136,4.144,4.166,4.236,4.736,0,0.5,true,,3.682932359222023,3.308128201694852,0.08577654489747562,0.4048737606590465,0.36285924163758476,1.0,0.3664386123736283,1.0679550205396657,0.6084623241061817,"[0.9408013820648193,0.926788330078125,0.02861332893371582,-0.5588748455047607,-0.2538958787918091]","[0.4757641553878784,0.24858605861663818,0.17207157611846924,-0.47894811630249023,-0.45022714138031006]","[1.0,1.0,0.20068490505218506,-1.0,-0.7041230201721191]","{""acc_lim_theta"":0.7557939970276377,""acc_lim_x"":0.8,""inflation_dist"":0.5506011986863097,""max_vel_theta"":0.9989373506916662,""max_vel_x"":1.1987248208299994,""min_obstacle_dist"":0.27217407656502013,""weight_obstacle"":52.454591401530195,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7391755433639049,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9989373506916662,""max_vel_x"":1.2,""min_obstacle_dist"":0.2825447623249663,""weight_obstacle"":54.885670695685924,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.7391755433639049,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":0.9989373506916662,""max_vel_x"":1.2,""min_obstacle_dist"":0.2825447623249663,""weight_obstacle"":54.885670695685924,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}","{""acc_lim_theta"":0.6557939970276377,""acc_lim_x"":0.7000000000000001,""inflation_dist"":0.55,""max_vel_theta"":0.8989373506916662,""max_vel_x"":1.0987248208299993,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9,""weight_viapoint"":1.5}","{""acc_lim_theta"":0.6557939970276377,""acc_lim_x"":0.7000000000000001,""inflation_dist"":0.55,""max_vel_theta"":0.8989373506916662,""max_vel_x"":1.0987248208299993,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9,""weight_viapoint"":1.5}",false,,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter|warning:corridor_feasibility_profile,false,,1.5355941426220376,1.874020787635855,-0.05,-0.1365760098208153,-0.0014178644495895076,-0.013148852927779488,-0.0,-0.13728391781563312,0.0,0.0,0.0,0.0,0.0,0.0,6.401129008736461,22.00000000000024,91.99999999999963,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,4,5,5.386,4.752,4.788,4.8100000000000005,4.836,5.336,0,0.5,true,,3.2321600506041386,2.866301012559219,0.08308575165610446,0.02637170829645755,0.36285924163758476,1.0,0.571496158634673,0.9373641777065874,0.7148923802855425,"[1.0,1.0,0.20068490505218506,-1.0,-0.7041230201721191]","[0.010373711585998535,-0.21557873487472534,0.04544031620025635,-0.5133339762687683,0.10037839412689209]","[1.0,0.7844212651252747,0.2461252212524414,-1.0,-0.603744626045227]","{""acc_lim_theta"":0.6557939970276377,""acc_lim_x"":0.7000000000000001,""inflation_dist"":0.55,""max_vel_theta"":0.8989373506916662,""max_vel_x"":1.0987248208299993,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9,""weight_viapoint"":1.5}","{""acc_lim_theta"":0.6387983517750346,""acc_lim_x"":0.713216738232426,""inflation_dist"":0.55,""max_vel_theta"":0.8989373506916662,""max_vel_x"":1.1049960690123235,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.8784421265125275,""weight_viapoint"":1.5}","{""acc_lim_theta"":0.6387983517750346,""acc_lim_x"":0.713216738232426,""inflation_dist"":0.55,""max_vel_theta"":0.8989373506916662,""max_vel_x"":1.1049960690123235,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.8784421265125275,""weight_viapoint"":1.5}","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6000000000000001,""inflation_dist"":0.55,""max_vel_theta"":0.7989373506916663,""max_vel_x"":0.9987248208299994,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.8,""weight_viapoint"":2.0}","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6000000000000001,""inflation_dist"":0.55,""max_vel_theta"":0.7989373506916663,""max_vel_x"":0.9987248208299994,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.8,""weight_viapoint"":2.0}",false,,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter|warning:corridor_feasibility_profile,false,,1.5975852594608615,1.829295190224598,-0.05,-0.04814922948398843,-0.011866518743856878,-0.009412349945648322,-0.0,-0.11228183259024274,0.0,0.0,0.0,0.0,0.0,0.0,1.1846970010083169,22.00000000000024,48.00000000000004,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,5,6,5.986,5.372,5.386,5.404,5.436,5.936,0,0.5,true,,2.769028412941232,2.3753949509218004,0.1145769023234943,0.34708406540751446,0.36285924163758476,1.0,0.5766601689779842,0.7703083638766498,0.6418887606104937,"[1.0,0.7844212651252747,0.2461252212524414,-1.0,-0.603744626045227]","[-0.02489149570465088,0.14580607414245605,0.3776402473449707,-0.2079424262046814,0.12663888931274414]","[0.9751085042953491,0.9302273392677307,0.6237654685974121,-1.0,-0.4771057367324829]","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6000000000000001,""inflation_dist"":0.55,""max_vel_theta"":0.7989373506916663,""max_vel_x"":0.9987248208299994,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.8,""weight_viapoint"":2.0}","{""acc_lim_theta"":0.5914188870296394,""acc_lim_x"":0.6171498538945812,""inflation_dist"":0.55,""max_vel_theta"":0.7989373506916663,""max_vel_x"":0.9957252151072935,""min_obstacle_dist"":0.2635277870458387,""weight_obstacle"":50.0,""weight_optimaltime"":0.8145806074142456,""weight_viapoint"":2.0}","{""acc_lim_theta"":0.5914188870296394,""acc_lim_x"":0.6171498538945812,""inflation_dist"":0.55,""max_vel_theta"":0.7989373506916663,""max_vel_x"":0.9957252151072935,""min_obstacle_dist"":0.2635277870458387,""weight_obstacle"":50.0,""weight_optimaltime"":0.8145806074142456,""weight_viapoint"":2.0}","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.6989373506916663,""max_vel_x"":0.8987248208299994,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7000000000000001,""weight_viapoint"":2.5}","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.6989373506916663,""max_vel_x"":0.8987248208299994,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7000000000000001,""weight_viapoint"":2.5}",false,,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter|warning:corridor_feasibility_profile,false,,1.791855934309428,1.9681673100971575,-0.05,-0.026617615036608155,-0.0093578274301439,-0.01700259998764426,-0.0,-0.07333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.9683289972599596,17.999999999999794,49.99999999999982,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,6,7,6.586,5.9719999999999995,5.9879999999999995,6.006,6.036,6.536,0,0.5,true,,2.3003839431607123,1.919698629991164,0.024689181633030292,0.6422970783801458,0.36285924163758476,1.0,0.5105454064913246,0.7371373199071046,0.39056107790502537,"[0.9751085042953491,0.9302273392677307,0.6237654685974121,-1.0,-0.4771057367324829]","[-0.1794789433479309,0.2844655513763428,0.6422388553619385,0.05809128284454346,0.04925179481506348]","[0.7956295609474182,1.0,1.0,-0.9419087171554565,-0.42785394191741943]","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.6989373506916663,""max_vel_x"":0.8987248208299994,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7000000000000001,""weight_viapoint"":2.5}","{""acc_lim_theta"":0.6071573524213052,""acc_lim_x"":0.6125165227647345,""inflation_dist"":0.55,""max_vel_theta"":0.6989373506916663,""max_vel_x"":0.8911612562227829,""min_obstacle_dist"":0.2738491450232157,""weight_obstacle"":50.0,""weight_optimaltime"":0.7284465551376343,""weight_viapoint"":2.5}","{""acc_lim_theta"":0.6071573524213052,""acc_lim_x"":0.6125165227647345,""inflation_dist"":0.55,""max_vel_theta"":0.6989373506916663,""max_vel_x"":0.8911612562227829,""min_obstacle_dist"":0.2738491450232157,""weight_obstacle"":50.0,""weight_optimaltime"":0.7284465551376343,""weight_viapoint"":2.5}","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7,""weight_viapoint"":3.0}","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7,""weight_viapoint"":3.0}",false,,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter|warning:corridor_feasibility_profile,false,,1.6887814767986502,1.9034265658477412,-0.05,-0.11878366214437956,-0.0023227889070852833,-0.0006303643876260317,-0.0,-0.04290827360999984,0.0,0.0,0.0,0.0,0.0,0.0,1.091803002054803,18.000000000000682,48.00000000000004,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,7,8,7.186,6.572,6.588,6.604,6.636,7.136,0,0.5,true,,1.8460754756094901,1.4873811324538884,0.0861625445246062,0.7971252260870223,0.3381092170364358,1.0,0.5327966767348078,0.7482787207553677,0.11595052137874032,"[0.7956295609474182,1.0,1.0,-0.9419087171554565,-0.42785394191741943]","[-0.008108973503112793,0.6131765842437744,0.4877588748931885,0.07719194889068604,-0.09952116012573242]","[0.7875205874443054,1.0,1.0,-0.8647167682647705,-0.5273751020431519]","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7,""weight_viapoint"":3.0}","{""acc_lim_theta"":0.6056526154664876,""acc_lim_x"":0.6231150683571174,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.803840858900083,""min_obstacle_dist"":0.27728447390620525,""weight_obstacle"":50.537381711307475,""weight_optimaltime"":0.7613176584243774,""weight_viapoint"":3.0}","{""acc_lim_theta"":0.6056526154664876,""acc_lim_x"":0.6231150683571174,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.803840858900083,""min_obstacle_dist"":0.27728447390620525,""weight_obstacle"":50.537381711307475,""weight_optimaltime"":0.7613176584243774,""weight_viapoint"":3.0}","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7,""weight_viapoint"":3.5}","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7,""weight_viapoint"":3.5}",false,,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter|warning:corridor_feasibility_profile,false,,1.5595605587661217,1.793471715778009,-0.05,-0.15690185500811446,-0.0013873498183177343,-0.008955285518788459,-0.0,-0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.1687670048559085,16.000000000000014,48.00000000000004,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,8,9,7.786,7.176,7.188,7.206,7.236,7.736,0,0.5,true,,1.4147941708630911,1.0495595991583937,0.1424871180669897,0.7722296977275622,0.3381092170364358,1.0,0.64649362405167,0.7605821929700916,-0.2650208621467062,"[0.7875205874443054,1.0,1.0,-0.8647167682647705,-0.5273751020431519]","[0.06065702438354492,0.2581433057785034,0.5208133459091187,-0.07062184810638428,-0.14594465494155884]","[0.8481776118278503,1.0,1.0,-0.9353386163711548,-0.6733197569847107]","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7,""weight_viapoint"":3.5}","{""acc_lim_theta"":0.6006033359312924,""acc_lim_x"":0.6189538903306783,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8112531901328115,""min_obstacle_dist"":0.26997428562007386,""weight_obstacle"":50.788053398187785,""weight_optimaltime"":0.7258143305778503,""weight_viapoint"":3.5}","{""acc_lim_theta"":0.6006033359312924,""acc_lim_x"":0.6189538903306783,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8112531901328115,""min_obstacle_dist"":0.26997428562007386,""weight_obstacle"":50.788053398187785,""weight_optimaltime"":0.7258143305778503,""weight_viapoint"":3.5}","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7,""weight_viapoint"":4.0}","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7,""weight_viapoint"":4.0}",false,,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter|warning:corridor_feasibility_profile,false,,1.6933291634765013,1.826172858523487,-0.05,-0.06122507039681913,-0.004745409750461368,-0.00020654823303863925,-0.0,-0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8417409990215674,18.000000000000682,48.00000000000004,true,
t12p_directional_seed102,t12p_directional_seed102-episode-000001,9,10,8.384,7.772,7.788,7.788,7.834,8.334,0,0.5,true,,0.9776782809435367,0.6120938040749765,0.07287377610080882,0.502241273697388,0.3381092170364358,1.0,0.9892195748076327,0.7401084941930448,-0.6167235698494185,"[0.8481776118278503,1.0,1.0,-0.9353386163711548,-0.6733197569847107]","[-0.0294649600982666,0.4282839298248291,0.6177763938903809,-0.2746809720993042,-0.37788963317871094]","[0.8187126517295837,1.0,1.0,-1.0,-1.0]","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7,""weight_viapoint"":4.0}","{""acc_lim_theta"":0.6068002118254794,""acc_lim_x"":0.6318406770964216,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8277828631479974,""min_obstacle_dist"":0.2765124789018705,""weight_obstacle"":52.04048041146603,""weight_optimaltime"":0.7428283929824828,""weight_viapoint"":4.0}","{""acc_lim_theta"":0.6068002118254794,""acc_lim_x"":0.6318406770964216,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8277828631479974,""min_obstacle_dist"":0.2765124789018705,""weight_obstacle"":52.04048041146603,""weight_optimaltime"":0.7428283929824828,""weight_viapoint"":4.0}","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7,""weight_viapoint"":4.0}","{""acc_lim_theta"":0.6,""acc_lim_x"":0.6,""inflation_dist"":0.55,""max_vel_theta"":0.65,""max_vel_x"":0.8,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.7,""weight_viapoint"":4.0}",false,,true,WARNING,margin:warning|safety_mode:WARNING:conservative_filter|warning:corridor_feasibility_profile,false,,1.757890362970029,1.8279223843428012,-0.05,-0.006331099626806955,-0.012964116155306496,-0.0007368055906586045,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.122506000683643,0.0,45.999999999999375,true,
