stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
3.048,0.0,0.0,0.0,0.0,0.0,0.0,0.847812191050382,0.5,false,false,0,single_teb,0,0,NEUTRAL,
3.148,0.0,0.0,0.0,0.0,0.0,0.0,0.8465936312983349,0.5,false,false,0,single_teb,2,0,NEUTRAL,
3.248,0.0,0.0,0.0,0.0,0.0,0.19783067955122652,0.8409167901141495,0.5,false,false,0,single_teb,2,0,NEUTRAL,
3.348,0.00459744896403448,-5.094201777452905e-07,-0.0004078335779000518,0.07226034245635858,-0.008912602278938314,0.18042061199992832,0.8532436080219651,0.49540255103622743,false,false,0,single_teb,2,0,FORWARD,
3.448,0.014337046481899858,-1.114606750874434e-05,-0.002374979791382851,0.11176734983822724,-0.027749160991841205,0.23121952746690808,0.8436113489559243,0.48566295364600237,false,false,0,single_teb,2,0,FORWARD,
3.548,0.028289673854730964,-6.114963786898575e-05,-0.005227267312667481,0.1553988800042608,-0.028374098472969723,0.272351348011423,0.8354024078846446,0.47171033010880137,false,false,0,single_teb,2,0,FORWARD,
3.648,0.04624661965299366,-0.00017391431188267374,-0.007407265513836846,0.1956326864437369,-0.014519178823565324,0.1849295047540605,0.8258990202358678,0.4537534136758895,false,false,0,single_teb,2,0,FORWARD,
3.748,0.06556059565035395,-0.00032072328934692367,-0.007416976783585639,0.19172320397103287,0.00938185579985744,0.18154695174063923,0.7998166567178303,0.4344395227360232,false,false,0,single_teb,2,0,FORWARD,
3.848,0.08452071192961706,-0.0004472364032313784,-0.005086765822636628,0.18821052124274482,0.032506774114185684,0.2606878857257038,0.78546734830654,0.41547952878074823,false,false,0,single_teb,2,0,FORWARD,
3.948,0.10444781614442782,-0.0005130488885045277,-0.00011500652924762008,0.20990315622129588,0.06270729592015878,0.29858111821714123,0.7657975111416295,0.39555251657911916,false,false,0,single_teb,2,0,FORWARD,
4.048,0.12749877065096785,-0.00044105178951169845,0.008592687813714856,0.24229398618097595,0.10388572301966069,0.2767321187152017,0.7460682192796405,0.3725014904577179,false,false,0,single_teb,2,0,FORWARD,
4.148,0.15252607837584453,-0.00010499822563173431,0.02136522648536898,0.25487298179543644,0.14393102797064228,0.2599630136195746,0.7165668687917061,0.3474739374881189,false,false,0,single_teb,4,0,FORWARD,
4.248,0.17812160918502493,0.0006031259472541184,0.03763388263491818,0.25673218504722906,0.17328206333711385,0.21073153164488623,0.7003858385498938,0.321878955874015,false,false,0,single_teb,4,0,FORWARD,
4.348,0.20270106845234798,0.0016992876928165822,0.055273363548417644,0.2399298216544024,0.17775955118251277,0.11548584437191846,0.660620636963496,0.29730378786358985,false,false,0,single_teb,4,0,FORWARD,
4.448,0.22376172381118428,0.0029996640173584814,0.07142064711846328,0.19447496887088808,0.15163633483217728,-0.0766991976212955,0.6480068021792947,0.2762545623442,false,false,0,single_teb,4,0,FORWARD,
