stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
3.402,0.0,0.0,0.0,0.0,0.0,0.0,7.810773943110414,18.0,false,false,0,single_teb,0,0,NEUTRAL,
3.502,0.0,0.0,0.0,0.0,0.0,0.0,7.819768999262758,18.0,false,false,0,single_teb,2,0,NEUTRAL,
3.602,0.00033590407729908146,0.0,0.0,0.016795203864954072,0.0,0.19327206331766197,7.836892221613832,17.9996640959227,false,false,0,single_teb,2,0,FORWARD,
3.702,0.0061323736380602895,0.0,0.0,0.08204318677821137,0.0,0.20233328018506733,7.820645425959535,17.99386762636194,false,false,0,single_teb,2,0,FORWARD,
3.802,0.017198006183356367,0.0,0.0,0.1292735160742495,0.0,0.24022472038309298,7.820807550593324,17.982801993816643,false,false,0,single_teb,2,0,FORWARD,
3.902,0.03275622119765631,0.0,0.0,0.17242163443450614,0.0,0.2703939466339753,7.793517206355043,17.967243778802345,false,false,0,single_teb,2,0,FORWARD,
4.002,0.05227519383360309,0.0,0.0,0.20820735203318497,0.0,0.32665966664961954,7.770191286250062,17.9477248061664,false,false,0,single_teb,2,0,FORWARD,
4.102,0.07588585474711132,0.0,0.0,0.25333243559574264,0.0,0.34804956609900883,7.758798692866273,17.92411414525289,false,false,0,single_teb,2,0,FORWARD,
4.202,0.1034202593140693,0.0,0.0,0.2879291538710663,0.0,0.37570647577090793,7.76186189477057,17.89657974068593,false,false,0,single_teb,2,0,FORWARD,
4.302,0.1343295737707429,0.0,0.0,0.32381673500030345,0.0,0.4197312597805885,7.736153480198527,17.865670426229258,false,false,0,single_teb,2,0,FORWARD,
4.402,0.1689402348981045,0.0,0.0,0.35885081779719147,0.0,0.44713643882174825,7.694678184178019,17.831059765101894,false,false,0,single_teb,2,0,FORWARD,
4.502,0.20687701382573512,0.0,0.0,0.3910983398887022,0.0,0.448636159419144,7.648533698704386,17.793122986174264,false,false,0,single_teb,4,0,FORWARD,
4.602,0.2473239871908444,0.0,0.0,0.41211480989675914,0.0,0.4477866615345719,7.638985511448527,17.752676012809154,false,false,0,single_teb,4,0,FORWARD,
4.702,0.2893665129802794,0.0,0.0,0.42524721253806375,0.0,0.4489693452650837,7.576804038670207,17.71063348701972,false,false,0,single_teb,4,0,FORWARD,
4.802,0.33244252029282984,0.0,0.0,0.433912043688309,0.0,0.4474902096341133,7.5731692545834335,17.66755747970717,false,false,0,single_teb,4,0,FORWARD,
4.902,0.3761492719050462,0.0,0.0,0.4388716532058966,0.0,0.46475,7.492845081609801,17.623850728094954,false,false,0,single_teb,4,0,FORWARD,
5.002,0.4206280094780937,0.0,0.0,0.447832933873164,0.0,0.4590982047993929,7.463993572515562,17.579371990521906,false,false,0,single_teb,4,0,FORWARD,
5.102,0.4656676417513023,0.0,0.0,0.4516748137208775,0.0,0.4559576340060219,7.412811779302672,17.534332358248697,false,false,0,single_teb,4,0,FORWARD,
5.202,0.5109406517553311,0.0,0.0,0.45353911361463334,0.0,0.4594092346008328,7.404337878279771,17.48905934824467,false,false,0,single_teb,4,0,FORWARD,
5.302,0.5564309806935811,0.0,0.0,0.4556832550273064,0.0,0.4578369688437311,7.320890421919907,17.44356901930642,false,false,0,single_teb,4,0,FORWARD,
5.402,0.6020493570250117,0.0,0.0,0.45646992824847143,0.0,0.45467410738673636,7.292361731581773,17.397950642974987,false,false,0,single_teb,4,0,FORWARD,
5.502,0.6476431457827736,0.0,0.0,0.455240459057164,0.0,0.4480742689545666,7.273199553542222,17.352356854217227,false,false,0,single_teb,6,0,FORWARD,
5.602,0.6930015666231533,0.0,0.0,0.452668524139677,0.0,0.4485991678949378,7.23126524302241,17.306998433376847,false,false,0,single_teb,6,0,FORWARD,
5.702,0.738173849995138,0.0,0.0,0.45118213650511585,0.0,0.4629749694743335,7.16990631434199,17.26182615000486,false,false,0,single_teb,6,0,FORWARD,
5.802,0.783560654758287,0.0,0.0,0.45521631792865097,0.0,0.45982982297890085,7.129032309977976,17.216439345241714,false,false,0,single_teb,6,0,FORWARD,
5.902,0.8291895012373448,0.0,0.0,0.4569014633045424,0.0,0.4581729699460457,7.106852005249575,17.170810498762656,false,false,0,single_teb,6,0,FORWARD,
6.002,0.8749036252832847,0.0,0.0,0.45708733713025473,0.0,0.4549674056239141,7.032849262482241,17.125096374716716,false,false,0,single_teb,6,0,FORWARD,
6.102,0.9205513921036166,0.0,0.0,0.45572794627369967,0.0,0.4482348175297694,7.0090116961065085,17.079448607896385,false,false,0,single_teb,6,0,FORWARD,
6.202,0.9659500515695135,0.0,0.0,0.4529909792353502,0.0,0.4566661595584436,6.9617351992193015,17.034049948430486,false,false,0,single_teb,6,0,FORWARD,
6.302,1.0113394869423005,0.0,0.0,0.45457982799840163,0.0,0.4595020774930331,6.920228582281729,16.9886605130577,false,false,0,single_teb,6,0,FORWARD,
6.402,1.056911859437,0.0,0.0,0.45637774647568013,0.0,0.45683571348454133,6.8726240214296785,16.943088140563,false,false,0,single_teb,6,0,FORWARD,
6.502,1.1025602769230618,0.0,0.0,0.45654502514534395,0.0,0.45529198362078793,6.830088716406485,16.89743972307694,false,false,0,single_teb,8,0,FORWARD,
6.602,1.148185659613866,0.0,0.0,0.45608733471086804,0.0,0.4486264036127738,6.778724125940294,16.851814340386134,false,false,0,single_teb,8,0,FORWARD,
6.702,1.1936332673444332,0.0,0.0,0.4539751867897277,0.0,0.4556812199882535,6.759729794580431,16.806366732655565,false,false,0,single_teb,8,0,FORWARD,
6.802,1.2390582271298756,0.0,0.0,0.4539880419656334,0.0,0.44865818604039165,6.697984627801866,16.760941772870126,false,false,0,single_teb,8,0,FORWARD,
6.902,1.284333169138308,0.0,0.0,0.45204123970384724,0.0,0.4478721541894274,6.668652672912827,16.715666830861693,false,false,0,single_teb,8,0,FORWARD,
7.002,1.3294697398812658,0.0,0.0,0.4519850973107432,0.0,0.46475,6.628604550506821,16.670530260118735,false,false,0,single_teb,8,0,FORWARD,
7.102,1.3749648971766546,0.0,0.0,0.45664765137889995,0.0,0.45770271667229584,6.584269185211411,16.625035102823347,false,false,0,single_teb,8,0,FORWARD,
7.202,1.4206664293842117,0.0,0.0,0.457645432179551,0.0,0.46475,6.550988134763526,16.579333570615788,false,false,0,single_teb,8,0,FORWARD,
7.302,1.4665960778748623,0.0,0.0,0.4602404720635298,0.0,0.4588808740872533,6.50733893813877,16.53340392212514,false,false,0,single_teb,8,0,FORWARD,
7.402,1.5125885289587906,0.0,0.0,0.45974386043791354,0.0,0.45127811706800364,6.472678598783301,16.48741147104121,false,false,0,single_teb,8,0,FORWARD,
7.502,1.5583625776264334,0.0,0.0,0.45647166673269685,0.0,0.4492071452729384,6.447413852987726,16.441637422373567,false,false,0,single_teb,10,0,FORWARD,
7.602,1.6038548985091912,0.0,0.0,0.454517036350343,0.0,0.45724903826474567,6.385926655111749,16.39614510149081,false,false,0,single_teb,10,0,FORWARD,
7.702,1.6493580224130568,0.0,0.0,0.45491145826461604,0.0,0.45030445986748435,6.342429836018722,16.350641977586942,false,false,0,single_teb,10,0,FORWARD,
7.802,1.694742104763472,0.0,0.0,0.45322868953214335,0.0,0.44839016702946816,6.332427699788253,16.30525789523653,false,false,0,single_teb,10,0,FORWARD,
7.902,1.7399528623823828,0.0,0.0,0.45147798361646047,0.0,0.4485815396158787,6.248105247243087,16.26004713761762,false,false,0,single_teb,10,0,FORWARD,
8.002,1.7850486114851614,0.0,0.0,0.4511831235476415,0.0,0.45736303247203536,6.214713771565597,16.214951388514837,false,false,0,single_teb,10,0,FORWARD,
8.102,1.8303051938254176,0.0,0.0,0.45317307670998513,0.0,0.4542865686559268,6.186110669595692,16.169694806174583,false,false,0,single_teb,10,0,FORWARD,
8.202,1.8756372516903326,0.0,0.0,0.4530234650892038,0.0,0.4478845633385508,6.142256546895554,16.124362748309668,false,false,0,single_teb,10,0,FORWARD,
8.302,1.9208343557313923,0.0,0.0,0.4518555152584742,0.0,0.45604462858985084,6.094707662088368,16.079165644268606,false,false,0,single_teb,10,0,FORWARD,
8.402,1.9661221504511515,0.0,0.0,0.4536301997729921,0.0,0.45885885175915386,6.0792276205844615,16.033877849548848,false,false,0,single_teb,10,0,FORWARD,
8.502,2.0116066807066018,0.0,0.0,0.45554003592157255,0.0,0.4513170537422208,6.006931001169178,15.988393319293397,false,false,0,single_teb,12,0,FORWARD,
8.602,2.0570625450956537,0.0,0.0,0.45399753432799117,0.0,0.45698581905329794,5.967361704124848,15.942937454904346,false,false,0,single_teb,12,0,FORWARD,
8.702,2.102519852286556,0.0,0.0,0.45449444966486724,0.0,0.4501434583608112,5.962981477989594,15.897480147713445,false,false,0,single_teb,12,0,FORWARD,
8.802,2.1478649043900724,0.0,0.0,0.45274125021021433,0.0,0.44825689747377084,5.8871376669544375,15.852135095609928,false,false,0,single_teb,12,0,FORWARD,
8.902,2.193034816135899,0.0,0.0,0.451103279470966,0.0,0.4484492678525955,5.824150002540726,15.8069651838641,false,false,0,single_teb,12,0,FORWARD,
9.002,2.238082147328368,0.0,0.0,0.45006789823813564,0.0,0.4476901425513495,5.817387974800248,15.761917852671631,false,false,0,single_teb,12,0,FORWARD,
9.102,2.2830336797444133,0.0,0.0,0.44919939068109505,0.0,0.4475688749998263,5.7900275404602155,15.716966320255587,false,false,0,single_teb,12,0,FORWARD,
9.202,2.3279455872979735,0.0,0.0,0.45009685014036077,0.0,0.46475,5.7428239996582136,15.672054412702026,false,false,0,single_teb,12,0,FORWARD,
9.302,2.3732804040034443,0.0,0.0,0.4546792401719532,0.0,0.45589064090050735,5.69188968493043,15.626719595996555,false,false,0,single_teb,12,0,FORWARD,
9.402,2.418776480140893,0.0,0.0,0.4551217207401632,0.0,0.4484442006381246,5.644348158204741,15.581223519859106,false,false,0,single_teb,12,0,FORWARD,
9.502,2.4641349846806766,0.0,0.0,0.45275833798636167,0.0,0.4493150035726245,5.612881674134917,15.535865015319324,false,false,0,single_teb,14,0,FORWARD,
9.602,2.509343713837961,0.0,0.0,0.4521464175069005,0.0,0.45674664341656485,5.58371292800984,15.49065628616204,false,false,0,single_teb,14,0,FORWARD,
9.702,2.554665261676744,0.0,0.0,0.4538267124963482,0.0,0.44954927973914116,5.526849620056959,15.445334738323256,false,false,0,single_teb,14,0,FORWARD,
9.802,2.599948528329271,0.0,0.0,0.4522643220897086,0.0,0.44774546174654895,5.473408292249875,15.400051471670729,false,false,0,single_teb,14,0,FORWARD,
9.902,2.6450885738390824,0.0,0.0,0.4515451724332674,0.0,0.45846390975856544,5.458839486555295,15.354911426160918,false,false,0,single_teb,14,0,FORWARD,
10.002,2.6904011261740806,0.0,0.0,0.45393475480257695,0.0,0.45688069299711037,5.410222123579221,15.30959887382592,false,false,0,single_teb,14,0,FORWARD,
10.102,2.735849378654144,0.0,0.0,0.4543265697925209,0.0,0.44900687729577066,5.368382604078472,15.264150621345856,false,false,0,single_teb,14,0,FORWARD,
10.202,2.781158409636357,0.0,0.0,0.4523834798610214,0.0,0.4570729809796532,5.342856080488384,15.218841590363644,false,false,0,single_teb,14,0,FORWARD,
10.302,2.826505738405044,0.0,0.0,0.4540963838329964,0.0,0.4555335700727217,5.292112892375432,15.173494261594957,false,false,0,single_teb,14,0,FORWARD,
10.402,2.8719361126077154,0.0,0.0,0.4539881655773933,0.0,0.44824731843649906,5.258441990123234,15.128063887392285,false,false,0,single_teb,14,0,FORWARD,
10.502,2.9172015158239746,0.0,0.0,0.4518912431923938,0.0,0.4491070282277708,5.209408928169756,15.082798484176026,false,false,0,single_teb,16,0,FORWARD,
10.602,2.9623259369012156,0.0,0.0,0.4508742708639756,0.0,0.45948804353781,5.161293973109116,15.037674063098784,false,false,0,single_teb,16,0,FORWARD,
10.702,3.007613542143722,0.0,0.0,0.45402056831725474,0.0,0.45786152852846695,5.146972645899643,14.992386457856277,false,false,0,single_teb,16,0,FORWARD,
10.802,3.0530994121461474,0.0,0.0,0.45515112597588653,0.0,0.4547268050742636,5.09694575228392,14.946900587853852,false,false,0,single_teb,16,0,FORWARD,
10.902,3.0985931893850096,0.0,0.0,0.4544224153719664,0.0,0.44812466053026095,5.06799969047129,14.90140681061499,false,false,0,single_teb,16,0,FORWARD,
11.002,3.143889075428559,0.0,0.0,0.4521220748858489,0.0,0.45645530132720363,5.031433432994484,14.856110924571441,false,false,0,single_teb,16,0,FORWARD,
11.102,3.1892019841211208,0.0,0.0,0.45370484469336075,0.0,0.4593073438086003,4.993802240155761,14.810798015878879,false,false,0,single_teb,16,0,FORWARD,
11.202,3.2346892568420156,0.0,0.0,0.4550807347379996,0.0,0.4515915282530282,4.99474447038037,14.765310743157984,false,false,0,single_teb,16,0,FORWARD,
11.302,3.280116243555473,0.0,0.0,0.45380625468224217,0.0,0.44819949848517204,4.938042593809415,14.719883756444528,false,false,0,single_teb,16,0,FORWARD,
11.402,3.325366571863582,0.0,0.0,0.45175831083557155,0.0,0.45784819305865865,4.91309924206381,14.674633428136417,false,false,0,single_teb,16,0,FORWARD,
11.502,3.370683927624015,0.0,0.0,0.45398272302460824,0.0,0.45068797619731243,4.853553811638055,14.629316072375985,false,false,0,single_teb,18,0,FORWARD,
11.602,3.4160020407473572,0.0,0.0,0.4525996956220131,0.0,0.44862148761318077,4.8409014144822935,14.583997959252642,false,false,0,single_teb,18,0,FORWARD,
11.702,3.461190460907957,0.0,0.0,0.4521916720200728,0.0,0.4606477190946834,4.803717411615799,14.538809539092043,false,false,0,single_teb,18,0,FORWARD,
11.802,3.506600239771637,0.0,0.0,0.45498530505986007,0.0,0.4572523746951488,4.7822201620125275,14.493399760228364,false,false,0,single_teb,18,0,FORWARD,
11.902,3.552152093415297,0.0,0.0,0.45584528291640575,0.0,0.45761946498270495,4.733460451457232,14.447847906584704,false,false,0,single_teb,18,0,FORWARD,
12.002,3.5977902452463533,0.0,0.0,0.45711296539692137,0.0,0.46475,4.707696074029648,14.402209754753647,false,false,0,single_teb,18,0,FORWARD,
12.102,3.643668674517601,0.0,0.0,0.45938516084631587,0.0,0.4587967270123499,4.689605349084579,14.3563313254824,false,false,0,single_teb,18,0,FORWARD,
12.202,3.6895803576323254,0.0,0.0,0.4585123187931071,0.0,0.45122579459897494,4.6310362708817445,14.310419642367675,false,false,0,single_teb,18,0,FORWARD,
12.302,3.735258684363274,0.0,0.0,0.4556722501418441,0.0,0.44917092460469404,4.596062802377034,14.264741315636726,false,false,0,single_teb,18,0,FORWARD,
12.402,3.7807018992506336,0.0,0.0,0.4546513631873464,0.0,0.46475,4.581288956704427,14.219298100749366,false,false,0,single_teb,18,0,FORWARD,
12.502,3.826401720947416,0.0,0.0,0.4583400274333578,0.0,0.46475,4.553928113776198,14.173598279052584,false,false,0,single_teb,20,0,FORWARD,
12.602,3.8723846870471914,0.0,0.0,0.46068135696754403,0.0,0.46475,4.5182108728471535,14.127615312952809,false,false,0,single_teb,20,0,FORWARD,
12.702,3.918538758054653,0.0,0.0,0.4617366262559993,0.0,0.4597918712652135,4.500765308577134,14.081461241945346,false,false,0,single_teb,20,0,FORWARD,
12.802,3.96466646789358,0.0,0.0,0.4609883772113288,0.0,0.45935572414373127,4.448964929978488,14.03533353210642,false,false,0,single_teb,20,0,FORWARD,
12.902,4.010713804840683,0.0,0.0,0.45971407655661467,0.0,0.45155414144234274,4.443338329819858,13.989286195159316,false,false,0,single_teb,20,0,FORWARD,
13.002,4.056495581213166,0.0,0.0,0.45673354943556077,0.0,0.44813352762072445,4.396223003892124,13.943504418786834,false,false,0,single_teb,20,0,FORWARD,
13.102,4.101969077561124,0.0,0.0,0.45359227467028196,0.0,0.4576742980547152,4.357685603800365,13.898030922438876,false,false,0,single_teb,20,0,FORWARD,
13.202,4.147423168445757,0.0,0.0,0.4550832891496496,0.0,0.4505631246946967,4.340800952898551,13.852576831554243,false,false,0,single_teb,20,0,FORWARD,
13.302,4.192823078716251,0.0,0.0,0.4532635812161672,0.0,0.4486222976766605,4.309785079943229,13.807176921283748,false,false,0,single_teb,20,0,FORWARD,
13.402,4.2380419187237415,0.0,0.0,0.4515853956229698,0.0,0.4488191491629381,4.287625481631441,13.761958081276259,false,false,0,single_teb,20,0,FORWARD,
13.502,4.283134791869086,0.0,0.0,0.4505059490024005,0.0,0.44802469459978433,4.251931653375117,13.716865208130914,false,false,0,single_teb,22,0,FORWARD,
13.602,4.328127724122544,0.0,0.0,0.44959963713378076,0.0,0.46475,4.2296371320433295,13.671872275877455,false,false,0,single_teb,22,0,FORWARD,
13.702,4.3734244007197125,0.0,0.0,0.45436495616126166,0.0,0.45590577557710454,4.1884206818284,13.626575599280287,false,false,0,single_teb,22,0,FORWARD,
13.802,4.418883760452187,0.0,0.0,0.4542805879905031,0.0,0.4484583794575023,4.15080557112049,13.581116239547814,false,false,0,single_teb,22,0,FORWARD,
13.902,4.464178029890068,0.0,0.0,0.452229685408987,0.0,0.44932994195702997,4.126868345778693,13.535821970109932,false,false,0,single_teb,22,0,FORWARD,
14.002,4.509346855666197,0.0,0.0,0.45183277872477895,0.0,0.4569509943394559,4.120563128035773,13.490653144333802,false,false,0,single_teb,22,0,FORWARD,
14.102,4.554644601450133,0.0,0.0,0.45347848142236463,0.0,0.45437565589139767,4.071794319781087,13.445355398549868,false,false,0,single_teb,22,0,FORWARD,
14.202,4.600003223754618,0.0,0.0,0.45330240879560424,0.0,0.448578395377823,4.0138882472533215,13.399996776245382,false,false,0,single_teb,22,0,FORWARD,
14.302,4.64523593513912,0.0,0.0,0.45218956521945325,0.0,0.45562870069209854,3.8990622544700986,13.35476406486088,false,false,0,single_teb,22,0,FORWARD,
14.402,4.690540830068258,0.0,0.0,0.4537465192959012,0.0,0.45908975497347726,3.80717478041004,13.309459169931742,false,false,0,single_teb,22,0,FORWARD,
14.502,4.736039655122227,0.0,0.0,0.4556982086939387,0.0,0.4574571905466927,3.6876182499366497,13.263960344877773,false,false,0,single_teb,24,0,FORWARD,
14.602,4.78164459770937,0.0,0.0,0.45605291013249316,0.0,0.45414541903731825,3.6277555512131654,13.21835540229063,false,false,0,single_teb,24,0,FORWARD,
14.702,4.827205559940714,0.0,0.0,0.45535617310423004,0.0,0.448012975422064,3.4914054731077826,13.172794440059285,false,false,0,single_teb,24,0,FORWARD,
14.802,4.872586974922433,0.0,0.0,0.4534963973199184,0.0,0.45747711439215144,3.410823037173433,13.127413025077567,false,false,0,single_teb,24,0,FORWARD,
14.902,4.9180169036750705,0.0,0.0,0.45433940289810293,0.0,0.45044592416060136,3.2818383693566813,13.08198309632493,false,false,0,single_teb,24,0,FORWARD,
15.002,4.963356999553795,0.0,0.0,0.45274912483775,0.0,0.44851113175817686,3.215277948084423,13.036643000446205,false,false,0,single_teb,24,0,FORWARD,
15.102,5.008547921487311,0.0,0.0,0.4519260151015222,0.0,0.456852682591644,3.096617794434665,12.991452078512689,false,false,0,single_teb,24,0,FORWARD,
15.202,5.053842433559332,0.0,0.0,0.45309645710317753,0.0,0.4496133800155674,3.0094798568888885,12.946157566440668,false,false,0,single_teb,24,0,FORWARD,
15.302,5.099067986934116,0.0,0.0,0.4516668149843878,0.0,0.44780207729904054,2.901462293463698,12.900932013065884,false,false,0,single_teb,24,0,FORWARD,
15.402,5.144158314917138,0.0,0.0,0.45092818365227866,0.0,0.45554686604647526,2.8190893164303783,12.855841685082861,false,false,0,single_teb,24,0,FORWARD,
15.502,5.189365192708606,0.0,0.0,0.45295144122994363,0.0,0.45941595555100256,2.6817538631211244,12.810634807291393,false,false,0,single_teb,26,0,FORWARD,
15.602,5.2347967540397775,0.0,0.0,0.4546220098234253,0.0,0.45146786866591887,2.6285400641891647,12.765203245960222,false,false,0,single_teb,26,0,FORWARD,
15.702,5.280185654949674,0.0,0.0,0.45346991692906663,0.0,0.4481041662351961,2.5643659006142125,12.719814345050326,false,false,0,single_teb,26,0,FORWARD,
15.802,5.325407628382201,0.0,0.0,0.4514939084906071,0.0,0.4479189503823815,2.415381146284391,12.674592371617798,false,false,0,single_teb,26,0,FORWARD,
15.902,5.370473939662137,0.0,0.0,0.45018810648985813,0.0,0.4592391974981393,2.349525621198241,12.629526060337863,false,false,0,single_teb,26,0,FORWARD,
16.002,5.415703091444727,0.0,0.0,0.45349414040404035,0.0,0.4560186031660958,2.2236902610272065,12.584296908555274,false,false,0,single_teb,26,0,FORWARD,
16.102,5.461111172264485,0.0,0.0,0.4544162347127606,0.0,0.45412606976695197,2.1485419924120523,12.538888827735516,false,false,0,single_teb,26,0,FORWARD,
16.202,5.50654603201586,-3.233738660821895e-05,-0.002513821376592154,0.4543102480255566,-0.03903483399753287,0.46156834086422166,2.024815152601437,12.49345396802599,false,false,0,single_teb,26,0,FORWARD,
16.302,5.552145420111782,-0.00019726180140778912,-0.004793347347224902,0.4569613650074713,-0.013800235375373096,0.43578350306329316,1.9954065010078867,12.447854581451226,false,false,0,single_teb,26,0,FORWARD,
16.402,5.597380466064276,-0.000478910125171261,-0.009326421623210535,0.4508247077230887,-0.06147637601319755,0.45418232455104635,1.887549334985707,12.402619543181952,false,false,0,single_teb,26,0,FORWARD,
