stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
3.232,0.0,0.0,0.0,0.0,0.0,0.0,7.802428339167543,18.0,false,false,0,single_teb,0,0,NEUTRAL,
3.332,0.0,0.0,0.0,0.0,0.0,0.0,7.801858995600648,18.0,false,false,0,single_teb,2,0,NEUTRAL,
3.432,0.00033590407729908146,0.0,0.0,0.016795203864954072,0.0,0.19327206331766197,7.83464250390143,17.9996640959227,false,false,0,single_teb,2,0,FORWARD,
3.532,0.006116625372952517,0.0,0.0,0.08125577352282276,0.0,0.20233328018506733,7.830388162775941,17.993883374627046,false,false,0,single_teb,2,0,FORWARD,
3.632,0.01712094620874908,0.0,0.0,0.12873024986563225,0.0,0.2397245282433398,7.812800501032777,17.98287905379125,false,false,0,single_teb,2,0,FORWARD,
3.732,0.032573401930909573,0.0,0.0,0.16927241746301297,0.0,0.2700207707792927,7.781146143122621,17.96742659806909,false,false,0,single_teb,2,0,FORWARD,
3.832,0.05184196615710023,0.0,0.0,0.20607212178118706,0.0,0.3246405331780229,7.787244890376039,17.9481580338429,false,false,0,single_teb,2,0,FORWARD,
3.932,0.07520462671596506,0.0,0.0,0.24938084432855723,0.0,0.3465986563335339,7.769854639216371,17.924795373284034,false,false,0,single_teb,2,0,FORWARD,
4.032,0.10244518531355093,0.0,0.0,0.28705092239102553,0.0,0.37145446427961404,7.761300918247843,17.897554814686448,false,false,0,single_teb,2,0,FORWARD,
4.132,0.1331117578498615,0.0,0.0,0.31788046235537526,0.0,0.4191753593607231,7.724137183811808,17.86688824215014,false,false,0,single_teb,2,0,FORWARD,
4.232,0.1672538278649458,0.0,0.0,0.35487979917862394,0.0,0.44239599569045124,7.697196506780699,17.832746172135053,false,false,0,single_teb,2,0,FORWARD,
4.332,0.20477562403392152,0.0,0.0,0.38684627851726,0.0,0.4487523420506321,7.634913322117472,17.79522437596608,false,false,0,single_teb,4,0,FORWARD,
4.432,0.24489767691209477,0.0,0.0,0.40939684208130567,0.0,0.4480450072046525,7.613958236363078,17.755102323087904,false,false,0,single_teb,4,0,FORWARD,
4.532,0.28673551791218505,0.0,0.0,0.4235136092756467,0.0,0.44819851687805495,7.588243030828551,17.713264482087816,false,false,0,single_teb,4,0,FORWARD,
4.632,0.3296605391248173,0.0,0.0,0.43253010702463063,0.0,0.4560756988223626,7.57625293260106,17.670339460875184,false,false,0,single_teb,4,0,FORWARD,
4.732,0.3734607331961764,0.0,0.0,0.4411304542028405,0.0,0.45493964540412096,7.516673588079527,17.626539266803825,false,false,0,single_teb,4,0,FORWARD,
4.832,0.41788257550611063,0.0,0.0,0.4455684877388987,0.0,0.4479665028448781,7.4701514475765975,17.58211742449389,false,false,0,single_teb,4,0,FORWARD,
4.932,0.46252432198036614,0.0,0.0,0.4479028692050028,0.0,0.46475,7.414057277959898,17.537475678019632,false,false,0,single_teb,4,0,FORWARD,
5.032,0.5077061246403657,0.0,0.0,0.45405651252976487,0.0,0.46475,7.384948248915757,17.492293875359636,false,false,0,single_teb,4,0,FORWARD,
5.132,0.5533602851917907,0.0,0.0,0.4579624540571602,0.0,0.46475,7.351472373061265,17.44663971480821,false,false,0,single_teb,4,0,FORWARD,
5.232,0.5993142684996774,0.0,0.0,0.4604416973948492,0.0,0.4621906350730279,7.297508711867417,17.40068573150032,false,false,0,single_teb,4,0,FORWARD,
5.332,0.6453990823486395,0.0,0.0,0.461080520634231,0.0,0.45858789573142145,7.267233367018784,17.35460091765136,false,false,0,single_teb,6,0,FORWARD,
5.432,0.6914497769267026,0.0,0.0,0.4601985257375414,0.0,0.4589155187028804,7.222951587169138,17.308550223073297,false,false,0,single_teb,6,0,FORWARD,
