stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
2.824,0.0,0.0,0.0,0.0,0.0,0.0,0.4911417886346551,10.0,false,false,0,single_teb,0,0,NEUTRAL,
2.924,0.0,0.0,0.0,0.0,0.0,0.0,0.4881636910870777,10.0,false,false,0,single_teb,2,0,NEUTRAL,
3.024,0.0,0.0,0.0,0.0,0.0,0.24630233874302923,0.4951267900228782,10.0,false,false,0,single_teb,2,0,NEUTRAL,
3.124,0.003924591550802764,-2.7533390211980327e-07,-0.00028583265482995396,0.07508676341536857,-0.007403268935043268,0.22849706924873806,0.49022340456348,9.9960754084492,false,false,0,single_teb,2,0,FORWARD,
3.224,0.014998411521238481,-1.0865408832850093e-05,-0.002256140512048872,0.13112196109553168,-0.02925102064064833,0.31783048346742976,0.4897852088471083,9.985001588484673,false,false,0,single_teb,2,0,FORWARD,
3.324,0.03179682371774221,-7.992697983273809e-05,-0.007352095047218036,0.1939233755270753,-0.06796961407888968,0.36732530071388864,0.4953497113215352,9.96820317660269,false,false,0,single_teb,2,0,FORWARD,
3.424,0.05521748869340277,-0.00033134983070161014,-0.015924466984201916,0.2572607836834601,-0.0961817442746353,0.4012740471041671,0.4885555041079523,9.944782516826713,false,false,0,single_teb,2,0,FORWARD,
3.524,0.08403627529724601,-0.0009157294576919108,-0.026816757708494017,0.30781282478192584,-0.11649251743578948,0.4675518672740821,0.4863857557554482,9.915963766986108,false,false,0,single_teb,2,0,FORWARD,
3.624,0.11851233348755924,-0.0020068710038491444,-0.03847564906501096,0.3661596794776613,-0.11605421534703148,0.48731134867177356,0.4929316188355116,9.881487870304184,false,false,0,single_teb,2,0,FORWARD,
3.724,0.1577629191802416,-0.003696040773800313,-0.04913340958523715,0.40921835095943715,-0.09807435458519728,0.5934959621151774,0.4787466456670998,9.842237774804104,false,false,0,single_teb,2,0,FORWARD,
3.824,0.20212970698153826,-0.006036750142042233,-0.05706640280791782,0.47011390307837325,-0.0644379826655779,0.637985883377589,0.48164150499041075,9.79787215272612,false,false,0,single_teb,2,0,FORWARD,
3.924,0.2526293075622765,-0.009018851155843331,-0.060704969721097714,0.52874389842258,-0.01572753085560587,0.7315722556433941,0.495278887965226,9.747374864827453,false,false,0,single_teb,4,0,FORWARD,
4.024,0.3101112179737938,-0.012512487479292358,-0.05999899777284815,0.6028297105215142,0.020819579702222812,0.8080542717468607,0.49766458094513866,9.689896860667826,false,false,0,single_teb,4,0,FORWARD,
4.124,0.3744932643386024,-0.016302475639752956,-0.056836641697910376,0.673170680564911,0.03611167017057142,0.8285333114285558,0.4913510398807615,9.625520541195417,false,false,0,single_teb,4,0,FORWARD,
4.224,0.44516344799339874,-0.02020646156347047,-0.052536649665607296,0.7286819036937501,0.04757609929749528,0.8257080071831141,0.5005109500260972,9.554857918182265,false,false,0,single_teb,4,0,FORWARD,
4.324,0.5201900421136321,-0.02401002723705454,-0.047907240313858415,0.764122005710546,0.04556424764324443,0.8322061595939921,0.5131157243900181,9.479840363584687,false,false,0,single_teb,4,0,FORWARD,
4.424,0.5981018463144722,-0.02759762896099896,-0.043141744514581,0.7889906675714344,0.04884229420493728,0.8225237012750125,0.5137046347545497,9.401938657606717,false,false,0,single_teb,4,0,FORWARD,
4.524,0.6777116868745332,-0.030899844865672786,-0.03922392100690062,0.8012390635457997,0.03379093991559645,0.8254629624447011,0.5089363688491285,9.322339523609317,false,false,0,single_teb,4,0,FORWARD,
4.624,0.7583181702577503,-0.03398138676027183,-0.03726824554337452,0.8099096181579317,0.008710243634185164,0.8149326571104853,0.5188263010865086,9.241744303800782,false,false,0,single_teb,4,0,FORWARD,
4.724,0.8393693771378112,-0.03700789471921951,-0.03782246274894527,0.8117443513535438,-0.013426263743555631,0.8166678725465855,0.5242881382160068,9.160705376377523,false,false,0,single_teb,4,0,FORWARD,
4.824,0.9205965009809618,-0.040174398899391776,-0.041297496435855674,0.8135427343359376,-0.04655149196543666,0.8172687956941563,0.5165980648370408,9.07949238010177,false,false,0,single_teb,4,0,FORWARD,
