stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
2.758,0.0,0.0,0.0,0.0,0.0,0.0,2.3961376996279924,13.0,false,false,0,single_teb,0,0,NEUTRAL,
2.858,0.0,0.0,0.0,0.0,0.0,0.0,2.396570617488927,13.0,false,false,0,single_teb,2,0,NEUTRAL,
2.958,0.0,0.0,0.0,0.0,0.0,0.29265865567685184,2.3959907859572853,13.0,false,false,0,single_teb,2,0,NEUTRAL,
3.058,0.0028001992449598594,4.948629856596775e-08,8.266570563204128e-05,0.06866371754012146,0.0025604123947956074,0.2841008475354597,2.373161012462682,12.99719980075504,false,false,0,single_teb,2,0,FORWARD,
3.158,0.014673181201606465,3.4741478132042946e-06,0.000630682974494092,0.14735505513544675,0.007383535797463435,0.34321040995397506,2.3848092408419816,12.985326818798857,false,false,0,single_teb,2,0,FORWARD,
3.258,0.03352840931215884,2.2183684883643834e-05,0.001477545220000404,0.2153232219552942,0.008508943641428615,0.39460945339798353,2.3627720696389387,12.966471590706817,false,false,0,single_teb,2,0,FORWARD,
3.358,0.058851692850078574,6.869986932419526e-05,0.002341364817719537,0.27770506468374556,0.00878280403688566,0.44750001619375834,2.354295238995668,12.941148307332272,false,false,0,single_teb,2,0,FORWARD,
3.458,0.09018161945538752,0.0001542282018693712,0.003325495896571074,0.3365299895457978,0.010802226935184223,0.49199531484614667,2.323252998059959,12.90981838146586,false,false,0,single_teb,2,0,FORWARD,
3.558,0.12744724634318236,0.000297842029082678,0.00469776818033775,0.3933158109956173,0.015461616940631135,0.5430894526106922,2.2961865288674543,12.872552757102515,false,false,0,single_teb,2,0,FORWARD,
3.658,0.1698855668826632,0.0005297670355830548,0.006796829727648341,0.44493619807000373,0.025462178417600803,0.5842347977050282,2.2575309140370345,12.830114444054617,false,false,0,single_teb,2,0,FORWARD,
3.758,0.21731427918863913,0.0009089710758820943,0.00990828694957111,0.49333141558633337,0.03456345888669503,0.6330625362952343,2.215443307689733,12.782685753129625,false,false,0,single_teb,2,0,FORWARD,
3.858,0.26989126758095183,0.0015053413260745748,0.013453746825961656,0.5443701051219544,0.03593906410934453,0.6807720454369727,2.151448207606581,12.730108821422705,false,false,0,single_teb,4,0,FORWARD,
3.958,0.3274919247730413,0.002351916060669629,0.01627497578276644,0.5941927663049119,0.023658430291863517,0.732773998720987,2.125292834938265,12.672508293475353,false,false,0,single_teb,4,0,FORWARD,
4.058,0.39012326461214925,0.003381907536034761,0.015847411149091682,0.6448114435248766,-0.020593524316780194,0.7663230726305466,2.065217719762132,12.609877188893408,false,false,0,single_teb,4,0,FORWARD,
4.158,0.457176124315288,0.004351365474869908,0.01179322505963326,0.6871686003128951,-0.052549853307290624,0.8010499967538991,1.9877564511974815,12.542824630474108,false,false,0,single_teb,4,0,FORWARD,
4.258,0.5282826814196936,0.00500561176381572,0.004793377518381212,0.7266675599955683,-0.08138723179170668,0.8838155806202932,1.9553959938890708,12.47171832309907,false,false,0,single_teb,4,0,FORWARD,
4.358,0.6039965611338887,0.0051380420078918,-0.001687253782789375,0.7790683459751463,-0.045145903696925976,0.8935086763197756,1.850116451807833,12.396004503704255,false,false,0,single_teb,4,0,FORWARD,
4.458,0.6845625105751119,0.004894028740858823,-0.00450095831334548,0.8208692308544827,-0.018402747182485104,0.9527627319475893,1.8137697751419815,12.315438461843302,false,false,0,single_teb,4,0,FORWARD,
4.558,0.7692805711924933,0.004461890992853091,-0.006024172688424637,0.8654657334564573,-0.016005610819151642,0.9417640061712726,1.6990489564617637,12.230720242679116,false,false,0,single_teb,4,0,FORWARD,
4.658,0.8576787250402592,0.00388484397013169,-0.0069313537453836475,0.8939991194083071,-0.002502113931603498,0.9353564564813741,1.6406402805662479,12.142321896422967,false,false,0,single_teb,4,0,FORWARD,
4.758,0.9480845698339823,0.0032854344016814236,-0.005519446118194579,0.9094925125692084,0.02668528311888688,0.9322608411412339,1.5230427357561362,12.051915877981928,false,false,0,single_teb,4,0,FORWARD,
4.858,1.0395622246013696,0.0029470470020651683,-0.00019870923592886044,0.9178089537981707,0.06796199476621645,0.9186014119145701,1.468603632769617,11.960438138474215,false,false,0,single_teb,6,0,FORWARD,
4.958,1.131360836819568,0.003229337791150037,0.008558253526099976,0.9180984098876066,0.09841094700026459,0.9351398176486191,1.3441010299897092,11.868639602515652,false,false,0,single_teb,6,0,FORWARD,
5.058,1.2234373274236343,0.00444414813728467,0.021296515692110145,0.9233239716118832,0.14954818041084744,0.8944004465855595,1.2624742941780647,11.776563511125461,false,false,0,single_teb,6,0,FORWARD,
5.158,1.3150602608494566,0.007019142896634686,0.03918924945878356,0.9127592612838978,0.1950415056722865,0.9133130541563107,1.1525024249665219,11.6849418473498,false,false,0,single_teb,6,0,FORWARD,
