stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
3.714,0.0,0.0,0.0,0.0,0.0,0.0,2.3454997795586254,13.0,false,false,0,single_teb,0,0,NEUTRAL,
3.814,0.0,0.0,0.0,0.0,0.0,0.0,2.3362200516228344,13.0,false,false,0,single_teb,2,0,NEUTRAL,
3.914,0.0,0.0,0.0,0.0,0.0,0.22032253457101128,2.3488482778588002,13.0,false,false,0,single_teb,2,0,NEUTRAL,
4.014,0.003510628300067888,7.859575140055863e-08,8.670217889990404e-05,0.06716666237452075,0.002162291788142704,0.2329118024575358,2.3492839592461254,12.996489371699932,false,false,0,single_teb,2,0,FORWARD,
4.114,0.014079097545066172,1.6367539988339613e-06,0.00016591683914786966,0.12770732578448749,-0.0004904664483298235,0.282008669699358,2.3368728416924145,12.985920902455037,false,false,0,single_teb,2,0,FORWARD,
4.214,0.030435687194757245,3.1871658034806665e-06,-5.8627602579133915e-05,0.18406798722516027,-0.0034275270045778117,0.3204271887078397,2.322627733134543,12.969564312805634,false,false,0,single_teb,2,0,FORWARD,
4.314,0.05173072153348691,-1.910824490007951e-06,-0.0005206576138973554,0.23155427041877727,-0.005209768632947442,0.36894190527750265,2.3036844233506075,12.948269278466654,false,false,0,single_teb,2,0,FORWARD,
4.414,0.07807893633104886,-2.0113730240136438e-05,-0.0008784863104418891,0.2817369699206003,-0.0025197154256058588,0.4041062273145963,2.2955886667290395,12.921921063684605,false,false,0,single_teb,2,0,FORWARD,
4.514,0.10883951311275405,-4.807556405889591e-05,-0.0008333702038165004,0.3243098139718888,0.0028034751780681333,0.4531920441475798,2.269711956524965,12.891160486976892,false,false,0,single_teb,2,0,FORWARD,
4.614,0.14426562375958243,-6.324912345938599e-05,0.00046850869727370527,0.3713857989008246,0.019178208815329518,0.4862929543873971,2.224752614878928,12.855734376396008,false,false,0,single_teb,2,0,FORWARD,
4.714,0.183832695872789,-2.233548570799592e-06,0.003504274477899657,0.411357654454836,0.03827236187654018,0.5279826695814069,2.206564625330782,12.816167304127404,false,false,0,single_teb,2,0,FORWARD,
4.814,0.22737348810486738,0.00023680401116231404,0.009018795614364085,0.45143815325620273,0.06767025900048677,0.5536988126109704,2.1497179965012423,12.7726265140903,false,false,0,single_teb,4,0,FORWARD,
4.914,0.27486190619943074,0.0008130803259320911,0.01672481021914705,0.4952173735864537,0.07301084744319226,0.6455358624078328,2.1148661000191877,12.725138119776695,false,false,0,single_teb,4,0,FORWARD,
5.014,0.32786754571625454,0.0018088896224503963,0.020576278063860656,0.5501232431128359,0.014191718048713237,0.6685693198592566,2.0560535734215444,12.672132583389153,false,false,0,single_teb,4,0,FORWARD,
5.114,0.3854522539026637,0.0029822728469288537,0.01934508378979478,0.5919958874688467,-0.02646599195215609,0.6830148150766698,2.0233382783611775,12.614548098624885,false,false,0,single_teb,4,0,FORWARD,
5.214,0.4466519376481807,0.004062959776322044,0.014317197178653896,0.6243691705221154,-0.06662334177371146,0.6652710731678589,1.9429609639332748,12.553348719851382,false,false,0,single_teb,4,0,FORWARD,
5.314,0.5100353469160257,0.004762052335007294,0.005496077884364939,0.6393091459546556,-0.10036500709166117,0.6639807522137772,1.9022724492238021,12.489965560898458,false,false,0,single_teb,4,0,FORWARD,
5.414,0.5745392315493906,0.004821756674683731,-0.0064669280296278595,0.6483207852073576,-0.1304109720778947,0.6654231975946121,1.8105689853438818,12.425461704002899,false,false,0,single_teb,4,0,FORWARD,
5.514,0.6397635239499796,0.0040372092847873655,-0.0206918594537211,0.6545676736006862,-0.1488542741001148,0.6996544985350052,1.767567569545812,12.360237135384429,false,false,0,single_teb,4,0,FORWARD,
5.614,0.7059940460353971,0.0022760362680870577,-0.03490838690819612,0.6689684210994713,-0.13374154361325444,0.6866230571585062,1.7239906640292377,12.294006164650243,false,false,0,single_teb,4,0,FORWARD,
5.714,0.7732477033300027,-0.00039692446623350894,-0.04636328201345949,0.6754170166887005,-0.10391580807181136,0.6600287843029756,1.6394216388472997,12.226752303112795,false,false,0,single_teb,4,0,FORWARD,
5.814,0.8403483184052742,-0.003741314338851937,-0.05423752816988564,0.6697962558213114,-0.06493734866532938,0.667059719753733,1.5959900242745588,12.159652257163543,false,false,0,single_teb,6,0,FORWARD,
5.914,0.9071581847132428,-0.0075080323567440635,-0.0589159206459108,0.6687966988575686,-0.03677650342033649,0.6856697239793833,1.4934180038933422,12.09284414602693,false,false,0,single_teb,6,0,FORWARD,
6.014,0.974173549762481,-0.011527943933993924,-0.06069171980687065,0.6738356164305876,-0.004244842877568675,0.637400792635198,1.4595908743798445,12.025831975573404,false,false,0,single_teb,6,0,FORWARD,
6.114,1.040941867624595,-0.015551641661449562,-0.0584132461887283,0.663443108142534,0.04197207617041867,0.6845634019129985,1.3797835806839818,11.95906824410216,false,false,0,single_teb,6,0,FORWARD,
6.214,1.1073281699717084,-0.019272229111942082,-0.05136596399546511,0.6683086065121263,0.08938857709027755,0.6742285663974162,1.3387986046731184,11.89268744546679,false,false,0,single_teb,6,0,FORWARD,
6.314,1.1742228843154903,-0.02240549233431506,-0.03894963810044835,0.6704709522595571,0.1434935899627553,0.6330949979047333,1.2431329113900373,11.825798340743605,false,false,0,single_teb,6,0,FORWARD,
6.414,1.240366474961989,-0.024528668192771108,-0.020552842020456184,0.6568188773263895,0.2061181604191879,0.6480935436028223,1.1863209779160293,11.759659106401054,false,false,0,single_teb,6,0,FORWARD,
6.514,1.3057302199431484,-0.02529519660566579,0.002067922623507777,0.6527258058934557,0.23638063056448685,0.6366919971246966,1.1028881679174005,11.694297137311086,false,false,0,single_teb,6,0,FORWARD,
6.614,1.3706230239386017,-0.024471375493344234,0.029913362775198894,0.6468692394845521,0.3017953778561723,0.5372537899130361,1.0468454016873276,11.629402723251332,false,false,0,single_teb,6,0,FORWARD,
6.714,1.4334290452223069,-0.021789927537919234,0.06330184151034442,0.6128375222772735,0.3538585923455709,0.5451358662083534,0.9495617472641544,11.566591479465725,false,false,0,single_teb,6,0,FORWARD,
6.814,1.4928968691328794,-0.017138699707839006,0.10140495913506375,0.5876324363395036,0.39841244970353645,0.6028891297881035,0.918380932810586,11.507115894064837,false,false,0,single_teb,8,0,FORWARD,
6.914,1.5511805829207435,-0.01022959260119136,0.14354525155214787,0.589716420007711,0.4361539889732409,0.6045680121415599,0.8740695319225553,11.448823987181207,false,false,0,single_teb,8,0,FORWARD,
7.014,1.6097205455552863,-0.000691237573752018,0.18891818271890704,0.5951411657349589,0.46359777638264643,0.5920696124668147,0.769610818355051,11.39027947541915,false,false,0,single_teb,8,0,FORWARD,
7.114,1.6678807159827795,0.011564663783714759,0.2361000841184262,0.5940192391888208,0.4763625665269791,0.6364485152752735,0.6665535385757551,11.332125185005829,false,false,0,single_teb,8,0,FORWARD,
7.214,1.7259889647680713,0.02674383653992799,0.2847829269692061,0.6068362895227659,0.49471253087911177,0.5743335998750025,0.629222203506975,11.274042755610083,false,false,0,single_teb,8,0,FORWARD,
7.314,1.78315647692118,0.04470434392430097,0.3339338869407458,0.5949642407079513,0.48960020075783645,0.5418303400728894,0.6193921415391704,11.216932606537357,false,false,0,single_teb,8,0,FORWARD,
7.414,1.8380434755698911,0.06492659567401267,0.38112623233574094,0.5775198028602487,0.45688455648353726,0.5065020432816401,0.6288566874207461,11.16214535454962,false,false,0,single_teb,8,0,FORWARD,
7.514,1.8897497287855793,0.0866840976605291,0.4234695434282468,0.5515796016777279,0.40518811855667647,0.504865986261719,0.6279205481271887,11.110588428243004,false,false,0,single_teb,8,0,FORWARD,
7.614,1.9387066381098104,0.10966224298758667,0.4610704021592276,0.5346156493565357,0.3565323816327375,0.6151696625705599,0.6221422995059619,11.06183694715001,false,false,0,single_teb,8,0,FORWARD,
7.714,1.9872022264713205,0.13458603294614163,0.4937029971826352,0.5573759263218777,0.3032508537460796,0.6524419285903723,0.6287016235280353,11.013620122416718,false,false,0,single_teb,8,0,FORWARD,
