stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
3.652,0.0,0.0,0.0,0.0,0.0,0.0,0.46594315499247063,10.0,false,false,0,single_teb,0,0,NEUTRAL,
3.752,0.0,0.0,0.0,0.0,0.0,0.0,0.4656186164843465,10.0,false,false,0,single_teb,2,0,NEUTRAL,
3.852,0.00034159828149018547,0.0,-8.09768911250241e-06,0.017079914074509272,-0.00040488445562512047,0.1965483873260391,0.4622049262304543,9.99965840171851,false,false,0,single_teb,2,0,FORWARD,
3.952,0.0062203135215224935,-9.860859630025875e-07,-0.0005141555470136981,0.08263321130168332,-0.00907832480642587,0.1983871710201359,0.47213462025016645,9.993779686478526,false,false,0,single_teb,2,0,FORWARD,
4.052,0.017173670284767472,-1.2500285855982316e-05,-0.0019176340580755956,0.12491391715028768,-0.01712071283535965,0.253471919594468,0.46194728409118435,9.982826329723057,false,false,0,single_teb,2,0,FORWARD,
4.152,0.032652600676124216,-5.503273783760914e-05,-0.003979184781117951,0.17187147349693302,-0.02255647023459329,0.2758940779785641,0.46197081155792036,9.9673473994758,false,false,0,single_teb,2,0,FORWARD,
4.252,0.05232478215715096,-0.0001514628716771357,-0.006188615066726169,0.2132601656682524,-0.02227771063456374,0.3149395453522789,0.4719757805751675,9.947675218995933,false,false,0,single_teb,2,0,FORWARD,
4.352,0.0760131470471474,-0.0003208123994429523,-0.008560829975987538,0.2503999400115707,-0.024506265358119055,0.3400099691182984,0.46075123388279293,9.923986858138298,false,false,0,single_teb,2,0,FORWARD,
4.452,0.10313439294752179,-0.0005778906609858522,-0.010708849865509034,0.2831312201419596,-0.01961442907230938,0.4212666894012433,0.47209547103598054,9.896865623924365,false,false,0,single_teb,2,0,FORWARD,
4.552,0.13465564983500083,-0.0009361311454098781,-0.01212722285113747,0.3335870763149702,-0.010758705872991506,0.44238963820976607,0.4635696937818764,9.86534439458015,false,false,0,single_teb,2,0,FORWARD,
4.652,0.17054013621549016,-0.0013777914413467874,-0.0122878141632518,0.373328689701135,0.003859434108168724,0.47748290354331263,0.4706904010715574,9.829459960346746,false,false,0,single_teb,2,0,FORWARD,
4.752,0.2102905930102087,-0.00185662015833771,-0.011601294071311899,0.4113724308315885,0.008632358093194306,0.5045363590968032,0.45697247288420184,9.789709583043964,false,false,0,single_teb,4,0,FORWARD,
4.852,0.2535902905944361,-0.0023316857306333707,-0.0097519976189435,0.44540182089533153,0.024236562391328795,0.5366907818666661,0.4752061569029962,9.746409988316385,false,false,0,single_teb,4,0,FORWARD,
4.952,0.30024980508209204,-0.002780615786604479,-0.010364380173829233,0.47874635369094204,-0.024175320359942944,0.5395118441720745,0.4715491860275784,9.6997505934758,false,false,0,single_teb,4,0,FORWARD,
5.052,0.34953715988374895,-0.003363571829834635,-0.014593924250078895,0.5011442129385033,-0.05579099386788817,0.5418414213666364,0.47202858618550686,9.65046342628581,false,false,0,single_teb,4,0,FORWARD,
5.152,0.4005887378628952,-0.004254869212051465,-0.022418754026446528,0.5159731984423489,-0.09296716888579892,0.5414245872547956,0.46467061883734473,9.599412205106972,false,false,0,single_teb,4,0,FORWARD,
5.252,0.4527586365726277,-0.005649531604917411,-0.03375365865638197,0.5252696638629265,-0.12479777727715359,0.5370782726249967,0.4709568931621012,9.547243034968046,false,false,0,single_teb,4,0,FORWARD,
5.352,0.5055193008545595,-0.00771311603027659,-0.047431327068926256,0.5295829185866935,-0.14345649031248786,0.5425854235888629,0.4786962797422646,9.494483832131381,false,false,0,single_teb,4,0,FORWARD,
5.452,0.5587040618280835,-0.01054356263733357,-0.06174110070189079,0.5343322601265327,-0.14291158818803495,0.53393974662553,0.4703477948074856,9.4413018254293,false,false,0,single_teb,4,0,FORWARD,
5.552,0.6120069368738631,-0.014134590059163904,-0.07536628941670982,0.5341888892395421,-0.13257916073496173,0.5353932768757801,0.4768316339822435,9.38800370366036,false,false,0,single_teb,4,0,FORWARD,
5.652,0.6652772145731067,-0.018419263031982654,-0.08708686381456372,0.5344160094164597,-0.10559513369040759,0.5329444791990362,0.47381876669651896,9.334740957842303,false,false,0,single_teb,4,0,FORWARD,
5.752,0.7184645489568663,-0.023260749381495655,-0.09576589296548248,0.5338785130196061,-0.07643807623712592,0.5305040761742864,0.4863544968854869,9.281564598247014,false,false,0,single_teb,6,0,FORWARD,
5.852,0.7715353517339533,-0.028495484468644815,-0.10133205856366209,0.5328515625294515,-0.03895679788400611,0.5311736988079467,0.4741106578970182,9.228508642079241,false,false,0,single_teb,6,0,FORWARD,
5.952,0.824503259320671,-0.03393182232659691,-0.10306180053775257,0.5322387000180046,-0.0053532580763476145,0.5348624388759751,0.4979640596640269,9.175559481948955,false,false,0,single_teb,6,0,FORWARD,
6.052,0.8774798717249506,-0.03939825351661424,-0.10186870794105837,0.5329742286684827,0.023164449423858834,0.5385198580799055,0.4954343752803892,9.122605204280385,false,false,0,single_teb,6,0,FORWARD,
6.152,0.9306376094457671,-0.04474803813173575,-0.09729383530762097,0.5349998451265291,0.05827460254405984,0.5425092903700833,0.505038579636303,9.069472782809164,false,false,0,single_teb,6,0,FORWARD,
6.252,0.9840731691633026,-0.049805636522620544,-0.08937053174974811,0.5377427719879617,0.09088130036375414,0.5411204822560473,0.5079745459306033,9.016064397531247,false,false,0,single_teb,6,0,FORWARD,
6.352,1.0377306494254717,-0.05438474586870951,-0.07816042314089214,0.5389765265362647,0.12388280765902375,0.5386245687467657,0.5172286893646205,8.962434357518653,false,false,0,single_teb,6,0,FORWARD,
6.452,1.0914776094025125,-0.058295392015476226,-0.06374630330437148,0.5388479691736905,0.1553758074680499,0.5476387125129287,0.5225633615516126,8.908713124604867,false,false,0,single_teb,6,0,FORWARD,
6.552,1.1454075952756162,-0.06137760397664984,-0.046589124928392685,0.5412830845163223,0.1809548907868502,0.5449769981129476,0.5229479353802157,8.854805128520484,false,false,0,single_teb,6,0,FORWARD,
6.652,1.1995794520699081,-0.06349939119928462,-0.027787504576557178,0.5426323366247509,0.19193524059809725,0.5379217376141577,0.5220599228860454,8.800649634720886,false,false,0,single_teb,6,0,FORWARD,
6.752,1.253773045764262,-0.06458625428165929,-0.008436414634736858,0.5413379170765188,0.19351260624091512,0.5445957560017618,0.5321775864930772,8.746465418627222,false,false,0,single_teb,8,0,FORWARD,
6.852,1.3079817755176328,-0.06463775286900895,0.010007254549891193,0.5425278869888688,0.17943452412965863,0.5347953421712862,0.5315990163844523,8.692258558845888,false,false,0,single_teb,8,0,FORWARD,
6.952,1.3620470181723867,-0.0637484949103795,0.02537285810156434,0.5397034699780939,0.13954144679391278,0.5303739744405945,0.530917707732155,8.638188212053954,false,false,0,single_teb,8,0,FORWARD,
7.052,1.4157753606498207,-0.06211367434002664,0.0374579337808968,0.5362957450285862,0.11059670357663703,0.5367727810328808,0.5330865197613941,8.584449357260297,false,false,0,single_teb,8,0,FORWARD,
7.152,1.4693703114195036,-0.059903917388088944,0.04613773144565648,0.5364699889078093,0.0736960531514828,0.541048819420386,0.5273678074764125,8.530840015086993,false,false,0,single_teb,8,0,FORWARD,
7.252,1.52305123913898,-0.05730251515288784,0.051065076750651174,0.5376713320594554,0.03240357484959105,0.5356271765910449,0.5268470945963273,8.477142435544305,false,false,0,single_teb,8,0,FORWARD,
7.352,1.5766992058730305,-0.054528740985518125,0.05182132084313719,0.536924676512821,-0.006137435595215783,0.5386622033658122,0.5219098887687166,8.423477289809329,false,false,0,single_teb,8,0,FORWARD,
7.452,1.6303243140019865,-0.05178700774161463,0.04923773937105522,0.5366003623532201,-0.04235645958791104,0.5297365713200134,0.5227748931695411,8.36983589940431,false,false,0,single_teb,8,0,FORWARD,
7.552,1.6837827592875494,-0.0492832117096712,0.04234443061409742,0.5349238740194965,-0.08482272477305763,0.539294815337409,0.5159253702565056,8.316363269463368,false,false,0,single_teb,8,0,FORWARD,
7.652,1.737336432115543,-0.047225572679458,0.031847948802492934,0.5364926040398935,-0.1189970860436637,0.5389747245749117,0.5018973495026259,8.262798526574397,false,false,0,single_teb,8,0,FORWARD,
7.752,1.791038282377463,-0.045802623580505186,0.01785321129730174,0.5381072580604035,-0.15140278475700777,0.5471223841985184,0.5135466084881646,8.209089496510511,false,false,0,single_teb,10,0,FORWARD,
7.852,1.8450544029260372,-0.04518359356802653,0.0015447575597695939,0.5414001553173163,-0.1695905629232637,0.5473389540001082,0.5149628503989062,8.155070769059195,false,false,0,single_teb,10,0,FORWARD,
7.952,1.8993312926698562,-0.04544241443428967,-0.013737829946330207,0.5435693821913856,-0.14358614456607563,0.5457889704852649,0.5149879982252358,8.10079616574491,false,false,0,single_teb,10,0,FORWARD,
8.052,1.9537298084502326,-0.04646803050386755,-0.025870138498178877,0.5443801169600861,-0.10906892715967316,0.5428864528392009,0.49768647081449163,8.046404369237308,false,false,0,single_teb,10,0,FORWARD,
8.152,2.0081300392033588,-0.04808689566299988,-0.03492562694514098,0.5440098697165495,-0.07835865633850968,0.5359717488710207,0.5065632164018004,7.992014628353618,false,false,0,single_teb,10,0,FORWARD,
8.252,2.062356288237243,-0.05012698639165286,-0.04104761838020902,0.5414915369568821,-0.050239649890240025,0.5416969697895226,0.5023415403308957,7.937801988564061,false,false,0,single_teb,10,0,FORWARD,
8.352,2.116458986671218,-0.05242366341355811,-0.043784275009248357,0.5414424284775557,-0.012839488800736319,0.5402683548903806,0.5238583874078416,7.8837153138176355,false,false,0,single_teb,10,0,FORWARD,
8.452,2.1705241532826123,-0.05479069950632785,-0.04314540557792861,0.5410135821546764,0.017003206415517443,0.544571925053484,0.5108414765430156,7.829667557124208,false,false,0,single_teb,10,0,FORWARD,
8.552,2.224630625603533,-0.05706320269821118,-0.03944312995915784,0.5421326356564156,0.05308241387501746,0.5454843420933438,0.5144751566450445,7.775578764143844,false,false,0,single_teb,10,0,FORWARD,
8.652,2.278885085609358,-0.0590559258609236,-0.03199295052180198,0.5433568919522289,0.08637880740320117,0.5440941127104496,0.5310671365766069,7.721340759453949,false,false,0,single_teb,10,0,FORWARD,
