stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
3.916,0.0,0.0,0.0,0.0,0.0,0.0,0.48580258391096576,10.0,false,false,0,single_teb,0,0,NEUTRAL,
4.016,0.0,0.0,0.0,0.0,0.0,0.0,0.48480369105536025,10.0,false,false,0,single_teb,2,0,NEUTRAL,
4.116,0.0,0.0,0.0,0.0,0.0,0.19135334752495695,0.49182754148773394,10.0,false,false,0,single_teb,2,0,NEUTRAL,
4.216,0.004446920235215291,-4.1495066616078626e-07,-0.0003248076620029279,0.06989440896473055,-0.006744951223372817,0.1967424102369392,0.49057926927871487,9.995553079764793,false,false,0,single_teb,2,0,FORWARD,
4.316,0.01438421775374436,-8.356853401308121e-06,-0.001607603897416962,0.11622736415968518,-0.016807835039906543,0.24617047894010358,0.49095724166586335,9.985615782249752,false,false,0,single_teb,2,0,FORWARD,
4.416,0.028665610851324234,-4.378234428381133e-05,-0.003814762489322625,0.1607050250707282,-0.025227823560494647,0.2705052738695479,0.4899285497427268,9.971334389244797,false,false,0,single_teb,2,0,FORWARD,
4.516,0.047287565777870376,-0.00013525478345258838,-0.00648810195887159,0.2008110571482331,-0.02743818037758052,0.30793548674263915,0.4887751239340154,9.95271243514117,false,false,0,single_teb,2,0,FORWARD,
4.616,0.06958408539587949,-0.0003042526830616916,-0.009000249426560187,0.23767864398269695,-0.02259629448115979,0.3312940469365111,0.4948899118075901,9.930415919265037,false,false,0,single_teb,2,0,FORWARD,
4.716,0.0955262708628715,-0.0005572305808412287,-0.010638293092942874,0.2718729413079557,-0.012570980676728136,0.41889635044076623,0.4918364936830119,9.904473744812163,false,false,0,single_teb,2,0,FORWARD,
4.816,0.12548847834407784,-0.0008901367857668361,-0.011821437534263703,0.320283401249886,-0.012686412126893143,0.4388449519519048,0.4817326258989,9.874511561776563,false,false,0,single_teb,2,0,FORWARD,
4.916,0.1601237794145992,-0.0013142768206299026,-0.012607183483878678,0.36238457250082884,-0.0029763990698672854,0.4716518542716625,0.4779317611716688,9.83987630835701,false,false,0,single_teb,2,0,FORWARD,
5.016,0.1987085216251188,-0.0017999424174933224,-0.01237443846983251,0.40279955856206495,0.007045129422943908,0.5002529034957407,0.49062814655527476,9.801291643648646,false,false,0,single_teb,4,0,FORWARD,
5.116,0.2412502599591792,-0.002301962800157202,-0.010654582417797463,0.4383957163187873,0.023132565842912744,0.5337614455063208,0.4947688880571733,9.758750011542439,false,false,0,single_teb,4,0,FORWARD,
5.216,0.28705895836371775,-0.0027625932444429557,-0.010235095928746937,0.47120517650374916,-0.016692586517381296,0.535717508580453,0.4835645454923955,9.712941434510142,false,false,0,single_teb,4,0,FORWARD,
5.316,0.3356611314707424,-0.003324754644594073,-0.01418778099133825,0.49465102104194747,-0.05210848762949948,0.537867086080373,0.4982764683262429,9.664339440425241,false,false,0,single_teb,4,0,FORWARD,
5.416,0.38612329154293773,-0.004174684064201481,-0.021365082586000374,0.5104362757171924,-0.08290408610665698,0.5394915985201139,0.4862420894973993,9.61387761485449,false,false,0,single_teb,4,0,FORWARD,
5.516,0.43782538819073874,-0.00548275022475148,-0.03177754276755215,0.5210491269730335,-0.11606443367280947,0.541268788065153,0.49783011535843436,9.562176183656083,false,false,0,single_teb,4,0,FORWARD,
5.616,0.49036432907589933,-0.0074152216314198145,-0.044559481551238476,0.528434632791355,-0.13440344872854756,0.5410226320725781,0.4973019176836246,9.50963856196564,false,false,0,single_teb,4,0,FORWARD,
5.716,0.543435042311215,-0.010076311064553055,-0.05850011778367714,0.5330474401576415,-0.14151791481979506,0.5398228433106815,0.4991030321522576,9.45657032602371,false,false,0,single_teb,4,0,FORWARD,
5.816,0.5967816006217319,-0.013491458342544598,-0.07177661674304457,0.535219673678042,-0.126248043259041,0.5363409446636788,0.4864508192913485,9.403228077945052,false,false,0,single_teb,4,0,FORWARD,
5.916,0.650172589266566,-0.01758557289160665,-0.08335944864531313,0.535629233133594,-0.11008269194147681,0.5380395523539361,0.49749531688913706,9.34984394858418,false,false,0,single_teb,4,0,FORWARD,
6.016,0.7035867788231354,-0.022264528247211205,-0.09299329226004888,0.5365096349635132,-0.08875721328386481,0.5318007504343693,0.5102255351866313,9.29643988245447,false,false,0,single_teb,6,0,FORWARD,
6.116,0.7569263950165885,-0.027407549863265965,-0.10015591461159241,0.5351665214235679,-0.05902195004080901,0.5317648504530778,0.5049310662620783,9.243114239309744,false,false,0,single_teb,6,0,FORWARD,
6.216,0.8100869596370844,-0.03284150709460703,-0.10375782671767415,0.5339240149032999,-0.023352652561080916,0.5332384902108069,0.5104726361977847,9.189971722155656,false,false,0,single_teb,6,0,FORWARD,
6.316,0.8631744435095857,-0.038388266970959505,-0.10402340431219562,0.5336736176992151,0.008768695475162173,0.5324286365559655,0.5119262077682734,9.136906200064518,false,false,0,single_teb,6,0,FORWARD,
6.416,0.9162446000728974,-0.043882209572703945,-0.10121340872407396,0.533986635519369,0.04240358587851589,0.5412637391948186,0.5247588138553049,9.083861393373514,false,false,0,single_teb,6,0,FORWARD,
6.516,0.9695507106626324,-0.0491696025250775,-0.09467728714089478,0.5366446964676066,0.07811487051576795,0.5351015646634623,0.5324435214969064,9.030583149337934,false,false,0,single_teb,6,0,FORWARD,
6.616,1.0230016577845067,-0.05405163518877778,-0.08509477600025993,0.5364532882350662,0.10711701858416882,0.5433041490903987,0.5312159162799165,8.97716106658482,false,false,0,single_teb,6,0,FORWARD,
6.716,1.076633106067828,-0.058359609787392984,-0.07207480605214936,0.5389556582044268,0.14305075189065733,0.5366486064498528,0.5339192132922556,8.923557730399867,false,false,0,single_teb,6,0,FORWARD,
6.816,1.1304061743761173,-0.06190830207737643,-0.056064132009630625,0.5385150209738719,0.17077331168839996,0.5426764176054055,0.5478999434200025,8.869809877861611,false,false,0,single_teb,6,0,FORWARD,
6.916,1.1842894286266503,-0.064539946321403,-0.037471533432337424,0.5400350276097158,0.19435013492569334,0.5404090401986056,0.5457313936130953,8.815946817154412,false,false,0,single_teb,6,0,FORWARD,
7.016,1.2382938053391286,-0.06613394805478245,-0.017439044312530617,0.5403086074094425,0.202653203299296,0.5339729688803425,0.548899622434625,8.761955782851452,false,false,0,single_teb,8,0,FORWARD,
7.116,1.292174177062421,-0.06664121329659278,0.002561439942001173,0.5379944293920034,0.19853567025520202,0.5358290232879401,0.5539923346547624,8.708080822657088,false,false,0,single_teb,8,0,FORWARD,
7.216,1.3459200922699608,-0.066118110542012,0.01970857740070596,0.5372034854039847,0.15664102351815,0.5451678716885746,0.5544836176116719,8.654332478817672,false,false,0,single_teb,8,0,FORWARD,
7.316,1.3997394752756014,-0.06474898312272297,0.033304631593164685,0.5395484490861432,0.12270464900532001,0.545570875447266,0.5408971691426938,8.600504259864547,false,false,0,single_teb,8,0,FORWARD,
7.416,1.4537959953717945,-0.06272014532354901,0.04309835286743872,0.5417482221054754,0.08427899685819973,0.5397004937712703,0.5570389081538487,8.54643415146648,false,false,0,single_teb,8,0,FORWARD,
7.516,1.5079088648209324,-0.06023247644753207,0.04950427793406916,0.5413548766577044,0.05084492414293413,0.5398483752569112,0.5436298475666863,8.492304740140094,false,false,0,single_teb,8,0,FORWARD,
7.616,1.5619393301134676,-0.05748142704271918,0.05224157205849612,0.5408046065611791,0.014433300822050105,0.5368068641613899,0.5433224528363567,8.438256453980339,false,false,0,single_teb,8,0,FORWARD,
7.716,1.6158752056658214,-0.05465705624860545,0.05176800916318272,0.539528106966349,-0.017279263512960625,0.5434845132899171,0.539350038908663,8.384302950202057,false,false,0,single_teb,8,0,FORWARD,
7.816,1.6698022107205879,-0.05192936033628113,0.04793379464080777,0.5405698579553301,-0.05276564053168055,0.5434419222690782,0.5463219917325517,8.330359648117271,false,false,0,single_teb,8,0,FORWARD,
7.916,1.7238706401673032,-0.04948587176963983,0.04032298146937669,0.5416189184516036,-0.08905172272663789,0.542702698318118,0.5395116264344768,8.276277305177103,false,false,0,single_teb,8,0,FORWARD,
8.016,1.7780221078572744,-0.047528751479601575,0.02917484149372829,0.5420147837667271,-0.12392132618719938,0.542884712452816,0.5256051159663448,8.222115265617537,false,false,0,single_teb,10,0,FORWARD,
8.116,1.8322282551059703,-0.046248937671776354,0.014619886763722913,0.5423325370338745,-0.15755500248735477,0.5435172868396619,0.5299622490687536,8.167902683120376,false,false,0,single_teb,10,0,FORWARD,
8.216,1.8864820342456088,-0.045801329818244634,-0.0010205993158803731,0.5427270707473395,-0.15108238441022123,0.5421667219263832,0.533866506644795,8.113647240448183,false,false,0,single_teb,10,0,FORWARD,
8.316,1.9407375052790483,-0.04615936282061262,-0.014388184946948076,0.5423911124398465,-0.12054478968750412,0.5406559696521263,0.530078254092405,8.059394682331407,false,false,0,single_teb,10,0,FORWARD,
8.416,1.9949266844501286,-0.047167772886465516,-0.024319115749071033,0.5417573279715537,-0.08762778045135564,0.5459786278497316,0.5276094605703591,8.005212276144068,false,false,0,single_teb,10,0,FORWARD,
8.516,2.0491803856651347,-0.0486422322996383,-0.030768750288277854,0.5432992150817839,-0.051729815820117285,0.5458438000099903,0.5276079279223725,7.950968406832914,false,false,0,single_teb,10,0,FORWARD,
8.616,2.1035411766093706,-0.050394713583743304,-0.033782376644109983,0.5442286592849712,-0.018210578526036546,0.5431015840966577,0.54194465092587,7.896619629731504,false,false,0,single_teb,10,0,FORWARD,
8.716,2.157906581055088,-0.05223885269432285,-0.03347604874134329,0.5438169797655642,0.014806040434569873,0.5355741302380669,0.537289021797069,7.842267407401377,false,false,0,single_teb,10,0,FORWARD,
8.816,2.2120683272367594,-0.05399220623859412,-0.030147523392344854,0.5408061670290141,0.04345844976732378,0.5391236823555917,0.5260695187221104,7.788118829214367,false,false,0,single_teb,10,0,FORWARD,
8.916,2.2660627425506887,-0.05550172580379781,-0.023981006475104507,0.5399771970490087,0.07436092962544148,0.5405906581344339,0.5403955768914842,7.7341364058135005,false,false,0,single_teb,10,0,FORWARD,
9.016,2.320052353791874,-0.056615571597720155,-0.015203128007390695,0.5401126556886761,0.09526908052452084,0.5461185396753604,0.5359354583392674,7.680156324674979,false,false,0,single_teb,12,0,FORWARD,
9.116,2.374175170466278,-0.05722567815518074,-0.005529656004797973,0.5410878281498365,0.08810599062790901,0.5320958897855969,0.5444333058635041,7.6260395428409185,false,false,0,single_teb,12,0,FORWARD,
9.216,2.428074684077522,-0.05737870084624383,0.00035386139279933247,0.5378034005422461,0.042777831336066066,0.5349026165586112,0.5422418432178586,7.572142715587083,false,false,0,single_teb,12,0,FORWARD,
9.316,2.481767023859703,-0.0572937766646906,0.0029106852928263835,0.5365743024224143,0.0158563370163321,0.5455688415899328,0.5427718903084425,7.51845128070721,false,false,0,single_teb,12,0,FORWARD,
9.416,2.535633306753296,-0.05715981010335971,0.0005698615208146384,0.539859680008724,-0.04842189472233806,0.5326815680465156,0.5367716754131199,7.464585546106481,false,false,0,single_teb,12,0,FORWARD,
9.516,2.589546424169029,-0.05726160848738142,-0.005821096191180474,0.5380162652266296,-0.06842571517795949,0.5433128166251935,0.5409150534108387,7.410674806746859,false,false,0,single_teb,12,0,FORWARD,
9.616,2.643468566190596,-0.057768384209366926,-0.01562620082788297,0.5399509025577358,-0.11452531024889606,0.5480522164446001,0.5405577700512362,7.356758248225912,false,false,0,single_teb,12,0,FORWARD,
9.716,2.6976405576828455,-0.05886416496522058,-0.027125260165708494,0.5429100174793406,-0.1152554764470342,0.5471172418749335,0.5418692795405918,7.302596689857353,false,false,0,single_teb,12,0,FORWARD,
9.816,2.7520086389548233,-0.06058574135141256,-0.03824611450450439,0.5445032428135574,-0.10748890643067015,0.5458278742090763,0.5413490837193975,7.248244573815139,false,false,0,single_teb,12,0,FORWARD,
9.916,2.8064405663158234,-0.06289469844137303,-0.04845623608732671,0.5449870824206688,-0.09912746156850907,0.5441122922967069,0.5336219947712374,7.193834378760651,false,false,0,single_teb,12,0,FORWARD,
10.016,2.8608458827449335,-0.06571260274286762,-0.05599652630187775,0.5446675534473148,-0.062342221624189155,0.5401397780606998,0.5422976296322298,7.139456537866115,false,false,0,single_teb,14,0,FORWARD,
10.116,2.915116363269812,-0.06885691389949276,-0.06005755157216798,0.5430137219953658,-0.028648979860135412,0.5348751114992069,0.5513939001434565,7.085218233801902,false,false,0,single_teb,14,0,FORWARD,
10.216,2.969166147112412,-0.0721610405033261,-0.06264978790749522,0.5403590093757983,-0.027722734980253672,0.5427990169951593,0.5517916284641324,7.031204155951997,false,false,0,single_teb,14,0,FORWARD,
10.316,3.0231495886002637,-0.07559570620170034,-0.06464445701447441,0.541250255296659,-0.015648691645094293,0.5476646572362307,0.5496347248093931,6.977259947418098,false,false,0,single_teb,14,0,FORWARD,
10.416,3.0773098504079544,-0.07910897524910461,-0.06446649571784462,0.5435932027194634,0.011433340566772247,0.5382057762730988,0.559427487475938,6.923142143364074,false,false,0,single_teb,14,0,FORWARD,
10.516,3.131434730413428,-0.0825492249246234,-0.061438792759210666,0.5416253720429686,0.04066491545968421,0.5437771185827043,0.5683257883168706,6.869061306838549,false,false,0,single_teb,14,0,FORWARD,
10.616,3.1855111733870785,-0.08576159050332831,-0.05547799941289508,0.5420747757763407,0.07289633690058789,0.5420945032959177,0.5639039379397676,6.815028467911048,false,false,0,single_teb,14,0,FORWARD,
10.716,3.2396457726860444,-0.08857687670519611,-0.04605509973731823,0.5420819815207868,0.10604543295998166,0.5402659118259006,0.5674039109419665,6.76093448732115,false,false,0,single_teb,14,0,FORWARD,
10.816,3.2937654013589714,-0.09080950413361454,-0.0333858543145816,0.5414186374005786,0.13812809997675335,0.5480528802094067,0.5721695917646734,6.70684939879009,false,false,0,single_teb,14,0,FORWARD,
10.916,3.3480406186517504,-0.09229444030363394,-0.017793011653877606,0.5438418846865508,0.16583543853714855,0.5461037069719947,0.5676180492328518,6.652599632836621,false,false,0,single_teb,14,0,FORWARD,
11.016,3.4024877199254533,-0.09288786017056191,-0.0003361621109621428,0.5447857906950281,0.1788359676561287,0.5463777227662222,0.5793314544330174,6.598166142217207,false,false,0,single_teb,16,0,FORWARD,
11.116,3.457001395162954,-0.09252204518094347,0.017165241095402607,0.5453672655041562,0.17290612181610537,0.5361445942166749,0.5752675068621638,6.543652731597543,false,false,0,single_teb,16,0,FORWARD,
11.216,3.5113085340258587,-0.09125535958042973,0.03180032041850503,0.5419985595627541,0.13181703957027383,0.535437926522959,0.5803985088399273,6.489333130704403,false,false,0,single_teb,16,0,FORWARD,
11.316,3.565319411017053,-0.089277169461354,0.04336165628035143,0.5396021992446198,0.10670940297953486,0.5408986933553226,0.5730129411001442,6.435299891630612,false,false,0,single_teb,16,0,FORWARD,
11.416,3.61925002671736,-0.086741639944837,0.05173740112216102,0.540075761326318,0.07111413261198196,0.5475180270077367,0.5706847831338616,6.381339540695726,false,false,0,single_teb,16,0,FORWARD,
11.516,3.6733030061550496,-0.08381580022383753,0.05688879449680742,0.5423942924800931,0.03845116856059087,0.5462214387943692,0.5735552995732647,6.327252163482494,false,false,0,single_teb,16,0,FORWARD,
11.616,3.727540697524031,-0.08067833350969293,0.05845584330295908,0.5437922096480851,0.003076098450803423,0.5444980373414634,0.5657816077728895,6.2729781359985015,false,false,0,single_teb,16,0,FORWARD,
11.716,3.7818571543460866,-0.07751988164352452,0.05686404873353335,0.544154129188547,-0.02843274636958073,0.5438454244374563,0.5622417292838533,6.218626036433369,false,false,0,single_teb,16,0,FORWARD,
11.816,3.8361871724007246,-0.0745166148469634,0.05207239610839238,0.544080793305845,-0.06090536933515457,0.5403516939108967,0.5584009590753922,6.164263240612428,false,false,0,single_teb,16,0,FORWARD,
11.916,3.8904683847559385,-0.07184718066481312,0.04407628112768998,0.5429297366665475,-0.09238789876438012,0.5406991538923476,0.5612846220188022,6.109954056704206,false,false,0,single_teb,16,0,FORWARD,
12.016,3.944675135925133,-0.06968857786957125,0.03284164595109767,0.5425570270599616,-0.12147256966671291,0.5457859742487066,0.5470632129147754,6.055725861312481,false,false,0,single_teb,18,0,FORWARD,
12.116,3.998984493433025,-0.06817676136308638,0.020161648698838134,0.5437364438731753,-0.12975268322672326,0.5376961899227631,0.5508041312475441,6.001402767757488,false,false,0,single_teb,18,0,FORWARD,
