stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
4.732,0.0,0.0,0.0,0.0,0.0,0.0,0.8853794522526169,0.5,false,false,0,anchor_static_dense,0,0,NEUTRAL,
4.832,0.0,0.0,0.0,0.0,0.0,0.0,0.8824125822077415,0.5,false,false,0,anchor_static_dense,2,0,NEUTRAL,
4.932,0.0,0.0,0.0,0.0,0.0,0.1987217692111787,0.874848804681662,0.5,false,false,0,anchor_static_dense,2,0,NEUTRAL,
5.032,0.004618157274597124,5.140196806233603e-07,0.0004096705846023106,0.072585825056598,0.008952747355283622,0.20833834682101682,0.8834355844112176,0.4953818427256695,false,false,0,anchor_static_dense,2,0,FORWARD,
5.132,0.015031526770335757,1.2414449746686402e-05,0.0025199006845982846,0.12217127729415697,0.030332207457019967,0.23656496378040404,0.8785520489254827,0.4849684733885597,false,false,0,anchor_static_dense,2,0,FORWARD,
5.232,0.02970073544832699,7.528250638029389e-05,0.007327401078382541,0.16225002523978788,0.061085063372337885,0.20899942002092903,0.8549681149368229,0.47029927057704474,false,false,0,anchor_static_dense,2,0,FORWARD,
5.332,0.04721255802841043,0.00025633844837062345,0.015329698720186054,0.18099104243530384,0.09227463677469167,0.24851818639873646,0.8472802420702482,0.4527875145325627,false,false,0,anchor_static_dense,2,0,FORWARD,
5.432,0.06658839137650341,0.000638313105061181,0.026779568250080005,0.2032690186043629,0.12961918028450126,0.3451122905398232,0.8161800093891526,0.4334120786655894,false,false,0,anchor_static_dense,2,0,FORWARD,
5.532,0.08949332085435577,0.0013936559723874292,0.042616524399158306,0.24924419080118917,0.17913520854771664,0.3308662139983235,0.8219037152720515,0.4105090448457308,false,false,0,anchor_static_dense,2,0,FORWARD,
5.632,0.11627988209506727,0.0027492066492498207,0.06273057228296128,0.2790577432875138,0.21395818411096,0.3329765946952288,0.7870205143921727,0.38372996628120626,false,false,0,anchor_static_dense,2,0,FORWARD,
5.732,0.14536292009749505,0.004841627676327403,0.08561776599490246,0.2987523360393226,0.2374498427842649,0.31107066507477044,0.7632669975164217,0.3546701281477365,false,false,0,anchor_static_dense,2,0,FORWARD,
5.832,0.17554601109575638,0.007728271818288241,0.11003608283319402,0.3045750556662294,0.24704421131866822,0.3326168633893368,0.7286213013536704,0.32454601692390617,false,false,0,anchor_static_dense,4,0,FORWARD,
5.932,0.20642999874245516,0.011457967833873539,0.13545845091771924,0.3148177067745597,0.2583178420492525,0.2217579225419656,0.7037795634509296,0.2937935170578768,false,false,0,anchor_static_dense,4,0,FORWARD,
6.032,0.235440298996451,0.01569737936207481,0.15961685020887126,0.28082635673311773,0.23195081866249873,0.13761375369356144,0.6778482968704971,0.2650249858294952,false,false,0,anchor_static_dense,4,0,FORWARD,
6.132,0.2604518182669419,0.019939431818689134,0.18062047572189957,0.23359894816960125,0.19367196657737745,-0.06173542867107181,0.6336830281154339,0.24037660516960957,false,false,0,anchor_static_dense,4,0,FORWARD,
6.232,0.27807319012062043,0.02325765100673036,0.1939266826030292,0.14827375982938917,0.10030876960895203,-0.05529087745262032,0.5894436492154037,0.22314216829991848,false,false,0,anchor_static_dense,4,0,FORWARD,
6.332,0.28923518017455985,0.02548254521137586,0.20070565964185189,0.09411475533691788,0.05028863508573039,-0.09491528772046856,0.5779422713777921,0.21229971593598532,false,false,0,anchor_static_dense,4,0,FORWARD,
6.432,0.29631245941470397,0.026932637786089925,0.20401422064338698,0.05973806277199603,0.02388680373441195,-0.18928687886271786,0.5721503688356778,0.20546041265363835,false,false,0,anchor_static_dense,4,0,FORWARD,
6.532,0.30080229815479775,0.027864556593629554,0.20551261841272064,0.037917924038326514,0.010271003064000873,-0.14834935999312102,0.5629464945482883,0.20113716199292878,false,false,0,anchor_static_dense,4,0,FORWARD,
6.632,0.30365150050190715,0.028459260284559425,0.20609460809180183,0.024067887317737,0.003501417968043216,-0.17894949982145678,0.5581591732999172,0.19840025894916788,false,false,0,anchor_static_dense,4,0,FORWARD,
6.732,0.305459843559115,0.028837455758222347,0.20623457509897775,0.015276764607518605,0.00033569393611793596,-0.1874552052804337,0.5540027368697751,0.19666588754192083,false,false,0,anchor_static_dense,4,0,FORWARD,
6.832,0.30660765137904694,0.029077574155661468,0.20617892795189335,0.009696718859969996,-0.0009817934478867029,-0.18743277966315294,0.55154796123771,0.19556611624692619,false,false,0,anchor_static_dense,6,0,NEUTRAL,
6.932,0.3073362202414391,0.029229921799465527,0.20605143884963042,0.006154860604648047,-0.0013896537362379391,-0.19741738445943263,0.5510183882276419,0.194868469381935,false,false,0,anchor_static_dense,6,0,NEUTRAL,
7.032,0.3077986824940886,0.029326559909806968,0.20591095972711007,0.003906714179270918,-0.0013801571760908681,-0.19646496141736633,0.539027744752858,0.19442580478720325,false,false,0,anchor_static_dense,6,0,NEUTRAL,
7.132,0.30809223253708523,0.029387859383659228,0.20578279818742903,0.0024797337679736443,-0.0012040531151532188,-0.2,0.5471912440248935,0.19414488788467726,false,false,0,anchor_static_dense,6,0,NEUTRAL,
7.232,0.3082785641395363,0.029426745881240186,0.20567583116578295,0.0015739773318088823,-0.000973218519995743,-0.2,0.5336134755127506,0.19396660109811942,false,false,0,anchor_static_dense,6,0,NEUTRAL,
7.332,0.30839683800835216,0.029451416984082962,0.2055946166848243,0.0009990607350855495,-0.0007064864244464684,-0.19748789517544776,0.5417719395737244,0.1938534437340951,false,false,0,anchor_static_dense,6,0,NEUTRAL,
7.432,0.30847191186649914,0.029467071231601274,0.20553792712403227,0.0006341402332920472,-0.00048188986914189636,-0.19633041757014238,0.5452379930648434,0.1937816214996725,false,false,0,anchor_static_dense,6,0,NEUTRAL,
7.532,0.3085195644690847,0.02947700519902066,0.2055000205707689,0.00040251190078574887,-0.0003183222066010638,-0.2,0.5434843080276444,0.19373603440406253,false,false,0,anchor_static_dense,6,0,NEUTRAL,
7.632,0.30854981151784916,0.02948330965954123,0.20547524758425292,0.0002554889624855922,-0.00020664327667540774,-0.2,0.5449249488553476,0.19370709903958472,false,false,0,anchor_static_dense,6,0,NEUTRAL,
7.732,0.3085690105064895,0.02948731092133382,0.20545926127577957,0.0001621681491268728,-0.00013284928111809532,-0.2,0.5435882313314233,0.19368873287787275,false,false,0,anchor_static_dense,6,0,NEUTRAL,
7.832,0.3085811968385996,0.029489850500868033,0.20544901821712466,0.0001029340302429648,-8.49407362691994e-05,-0.2,0.5484764354461624,0.19367707527300826,false,false,0,anchor_static_dense,8,0,NEUTRAL,
7.932,0.3085889319615398,0.029491462396650008,0.20544248150794595,6.533597774351012e-05,-5.414005616309e-05,-0.2,0.5490573215511255,0.19366967579339067,false,false,0,anchor_static_dense,8,0,NEUTRAL,
8.032,0.3085938417314962,0.029492485498151276,0.2054383196250825,4.1471124540877567e-05,-3.444675527003634e-05,-0.2,0.5433564598709211,0.19366497908492952,false,false,0,anchor_static_dense,8,0,NEUTRAL,
8.132,0.30859695814360705,0.02949313488684427,0.20543567326136422,2.6323233080503068e-05,-2.189453108475327e-05,-0.2,0.5458501174289389,0.19366199791733457,false,false,0,anchor_static_dense,8,0,NEUTRAL,
8.232,0.30859893624480267,0.029493547073023003,0.20543399181789976,1.6708314700448877e-05,-1.3908158253111036e-05,-0.19705655873175845,0.5562487137456225,0.19366010566342706,false,false,0,anchor_static_dense,8,0,NEUTRAL,
8.332,0.3086001918180479,0.029493808700797656,0.20543292392514584,1.0605375839490187e-05,-8.831985986504845e-06,-0.1905047271759348,0.543594725381561,0.193658904581657,false,false,0,anchor_static_dense,8,0,NEUTRAL,
8.432,0.30860098877626485,0.029493974764747112,0.20543224586911918,6.731618281873785e-06,-5.607429710655994e-06,-0.19202141843348453,0.546014393729869,0.19365814221159677,false,false,0,anchor_static_dense,8,0,NEUTRAL,
8.532,0.3086014946347306,0.02949408017129059,0.205431815400094,4.272803281909499e-06,-3.5597667114969198e-06,-0.2,0.548742991346976,0.19365765830766823,false,false,0,anchor_static_dense,8,0,NEUTRAL,
8.632,0.3086018157215462,0.029494147076544422,0.20543154213579912,2.7121038539955184e-06,-2.2597054569702327e-06,-0.2,0.543742750946008,0.19365735115626723,false,false,0,anchor_static_dense,8,0,NEUTRAL,
8.732,0.3086020195270517,0.029494189543698052,0.20543136867409978,1.7214710880792515e-06,-1.4343872318339841e-06,-0.2,0.5486114388123936,0.19365715619610518,false,false,0,anchor_static_dense,8,0,NEUTRAL,
8.832,0.30860214888983234,0.0294942164991279,0.2054312585676724,1.0926803937566546e-06,-9.104832652094342e-07,-0.2,0.5491665419527499,0.1936570324477976,false,false,0,anchor_static_dense,10,0,NEUTRAL,
8.932,0.30667635646737434,0.029091918039054445,0.207070601110646,-0.04773992266062527,0.039780248669226484,-0.1996354734002152,0.5489261224381405,0.1955003090634917,false,false,0,anchor_static_dense,10,0,REVERSE,
9.032,0.29855454114069524,0.027362377294682782,0.21399007022630714,-0.10322183547080603,0.086012457467377,-0.2,0.5487186479595118,0.20329528422039805,false,false,0,anchor_static_dense,10,0,REVERSE,
9.132,0.28628136108118335,0.02464137528213322,0.22446544269682017,-0.13857137441512601,0.11546905089944547,-0.2,0.5591358431983493,0.21513450210764995,false,false,0,anchor_static_dense,10,0,REVERSE,
9.232,0.27139772107088095,0.02116340763606214,0.23720193248954397,-0.16100901417583371,0.13416634169832808,-0.2,0.5690809266799881,0.22957981565102117,false,false,0,anchor_static_dense,10,0,REVERSE,
9.332,0.2548899521132974,0.017073432763953452,0.25137364166190906,-0.17525100128701737,0.14603422489435985,-0.19999999999999998,0.5710665686193261,0.24570396350357657,false,false,0,anchor_static_dense,10,0,REVERSE,
9.432,0.23738620028237165,0.01246563386648257,0.2664563381649154,-0.18429090918456378,0.15356720770033905,-0.2,0.5984103989164237,0.2629094898055675,false,false,0,anchor_static_dense,10,0,REVERSE,
9.532,0.21928681836571137,0.007403429687404737,0.28211727151701654,-0.19002886795100235,0.15834866439549827,-0.2,0.6004058432142142,0.2808107923751889,false,false,0,anchor_static_dense,10,0,REVERSE,
9.632,0.2008474868158277,0.0019304358756427101,0.2981452325922701,-0.19367095935043854,0.16138362630331973,-0.2,0.617911864532976,0.2991587416858754,false,false,0,anchor_static_dense,10,0,REVERSE,
9.732,0.18223209130746548,-0.00392295417804674,0.31440615928005067,-0.1959827274027699,0.163310024920858,-0.2,0.6308894466916922,0.31779212287957986,false,false,0,anchor_static_dense,10,0,REVERSE,
9.832,0.16354631356222188,-0.010135338311074372,0.3308149575469764,-0.19745009077772724,0.16453277876752379,-0.2,0.6440224802631529,0.3366063103987366,false,false,0,anchor_static_dense,12,0,REVERSE,
