stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
5.89,0.0,0.0,0.0,0.0,0.0,0.0,7.8087750417432265,18.0,false,false,0,anchor_balanced,0,0,NEUTRAL,
5.99,0.0,0.0,0.0,0.0,0.0,0.0,7.8194609624585585,18.0,false,false,0,anchor_balanced,2,0,NEUTRAL,
6.09,0.0,0.0,0.0,0.0,0.0,0.3007852706047664,7.8288250905713515,18.0,false,false,0,anchor_balanced,2,0,NEUTRAL,
6.19,0.006806628377673017,0.0,0.0,0.10833974634208389,0.0,0.2824719417423956,7.8242617589673475,17.993193371622326,false,false,0,anchor_balanced,2,0,FORWARD,
6.29,0.02182109938173636,0.0,0.0,0.17305015819826441,0.0,0.3568101939958559,7.7934294683179335,17.978178900618264,false,false,0,anchor_balanced,2,0,FORWARD,
6.39,0.043396572122754516,0.0,0.0,0.2401710069293547,0.0,0.42808085353154696,7.789730165644594,17.956603427877244,false,false,0,anchor_balanced,2,0,FORWARD,
6.49,0.071780568487534,0.0,0.0,0.30880763041565384,0.0,0.48138516244649027,7.761540506525941,17.928219431512467,false,false,0,anchor_balanced,2,0,FORWARD,
6.59,0.1062825122940418,0.0,0.0,0.36862393723072195,0.0,0.5274117412797977,7.755206201716371,17.89371748770596,false,false,0,anchor_balanced,2,0,FORWARD,
6.6899999999999995,0.14683502543757995,0.0,0.0,0.42662333916629624,0.0,0.577719609187177,7.731218215611125,17.85316497456242,false,false,0,anchor_balanced,2,0,FORWARD,
6.79,0.19300873281077363,0.0,0.0,0.4818133038388893,0.0,0.6069572839274384,7.675867911961222,17.806991267189225,false,false,0,anchor_balanced,2,0,FORWARD,
6.89,0.2438847341164197,0.0,0.0,0.525757667040679,0.0,0.6807519025507126,7.645593520786906,17.75611526588358,false,false,0,anchor_balanced,2,0,FORWARD,
6.99,0.30006246031568334,0.0,0.0,0.5823714165466873,0.0,0.7128385721449066,7.587911152166441,17.699937539684317,false,false,0,anchor_balanced,4,0,FORWARD,
7.09,0.36133156898752383,0.0,0.0,0.6300263170111684,0.0,0.8424511465207232,7.537212871831969,17.638668431012476,false,false,0,anchor_balanced,4,0,FORWARD,
