stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
5.786,0.0,0.0,0.0,0.0,0.0,0.0,7.818239419710914,18.0,false,false,0,anchor_balanced,0,0,NEUTRAL,
5.886,0.0,0.0,0.0,0.0,0.0,0.0,7.801222055208961,18.0,false,false,0,anchor_balanced,2,0,NEUTRAL,
5.986,0.0004430707865094101,0.0,-1.0907288592948635e-05,0.022153539325470505,-0.0005453644296474318,0.25493350897377504,7.819053857577125,17.99955692921349,false,false,0,anchor_balanced,2,0,FORWARD,
6.086,0.008079051682985958,-1.9782874676303383e-06,-0.0008447476504110766,0.10772862820669787,-0.0159597482003251,0.26125166885986234,7.821224420321266,17.99192094831712,false,false,0,anchor_balanced,2,0,FORWARD,
6.186,0.022500318988670432,-3.084306210887193e-05,-0.00412130448452458,0.16783843164631884,-0.04592061068239136,0.30766664103121644,7.810320108187477,17.977499681037788,false,false,0,anchor_balanced,2,0,FORWARD,
6.286,0.04259219937808855,-0.00016635545823551643,-0.011220845971812147,0.22186350911332123,-0.08934033979257193,0.3416246306447057,7.798548693312394,17.95740780139246,false,false,0,anchor_balanced,2,0,FORWARD,
6.386,0.06755847168310211,-0.000560492552802579,-0.02332427507806289,0.26560788523560286,-0.14271017443759096,0.36182359814171217,7.778308535320098,17.932441537076212,false,false,0,anchor_balanced,2,0,FORWARD,
6.486,0.09641153391810464,-0.0014295618065787083,-0.040911230870838394,0.304237441471033,-0.19727863827728748,0.40193279393729764,7.740641896237652,17.903588523155562,false,false,0,anchor_balanced,2,0,FORWARD,
6.586,0.12906447121467463,-0.003057050055714915,-0.06356606786889965,0.3399219957657522,-0.24370667424297945,0.4440302871392153,7.709585271277771,17.870935790258905,false,false,0,anchor_balanced,2,0,FORWARD,
6.686,0.16551916168226755,-0.005771980404739163,-0.09078821401748298,0.3852034677168046,-0.29213325000433865,0.5275120411377452,7.653573595803666,17.834481772344272,false,false,0,anchor_balanced,2,0,FORWARD,
6.786,0.20720318272173177,-0.01010792502338452,-0.1231075648233654,0.4413397611754784,-0.34367123303413866,0.5753392974467967,7.655394998110122,17.792799688387884,false,false,0,anchor_balanced,2,0,FORWARD,
6.886,0.2540198398385407,-0.016608078834839834,-0.1604037177105618,0.4912991858997746,-0.39101360808184554,0.5870111341075839,7.575969887821281,17.74598793173056,false,false,0,anchor_balanced,4,0,FORWARD,
6.986,0.3041600281470464,-0.0255646744694291,-0.20112438372628427,0.5054131929197785,-0.3932359390831902,0.34712328876821197,7.533189638801757,17.695858438120755,false,false,0,anchor_balanced,4,0,FORWARD,
