stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
4.604,0.0,0.0,0.0,0.0,0.0,0.0,7.815695970309059,18.0,false,false,0,anchor_balanced,0,0,NEUTRAL,
4.704,0.0,0.0,0.0,0.0,0.0,0.0,7.8278036066424725,18.0,false,false,0,anchor_balanced,2,0,NEUTRAL,
4.804,0.00040906750898513403,0.0,-1.0070213406869931e-05,0.0204533754492567,-0.0005035106703434965,0.23536874614171074,7.825227945101539,17.999590932491014,false,false,0,anchor_balanced,2,0,FORWARD,
4.904,0.007482923054279904,-1.6978875657239938e-06,-0.0007834577956108077,0.10065577468935852,-0.014911921238508263,0.2549505107247931,7.823467462313453,17.9925170769458,false,false,0,anchor_balanced,2,0,FORWARD,
5.004,0.021209625102086446,-2.7574283938663936e-05,-0.0039049937666162608,0.16078651096019653,-0.0439912045194875,0.29836270339746074,7.798814027560035,17.978790374919058,false,false,0,anchor_balanced,2,0,FORWARD,
5.104,0.040556465309476195,-0.00015199934898120292,-0.010743073775427879,0.21461033108247748,-0.08641961888429216,0.3394706072978898,7.7942600199115155,17.959443535333744,false,false,0,anchor_balanced,2,0,FORWARD,
5.204,0.06494432664346501,-0.0005227874117607584,-0.022570473754819124,0.2616224515479587,-0.14056881505637892,0.35564115304713306,7.773331309062773,17.935055680975875,false,false,0,anchor_balanced,2,0,FORWARD,
5.304,0.09336145545200206,-0.0013542496835595805,-0.03987874772822778,0.30008588142909826,-0.19442837011553366,0.40307333095040243,7.749427914623254,17.90663859575784,false,false,0,anchor_balanced,2,0,FORWARD,
5.404,0.12572438165663005,-0.0029310847429193077,-0.06232519043708022,0.33770344604545677,-0.2420995263123052,0.4382654700789732,7.731267056861267,17.87427585866801,false,false,0,anchor_balanced,2,0,FORWARD,
5.504,0.16191607489682455,-0.005578379069527192,-0.08935550598090211,0.38353868270796465,-0.29128430213278783,0.543025731106925,7.687029641752441,17.838084797346863,false,false,0,anchor_balanced,2,0,FORWARD,
5.604,0.20379145467951817,-0.009878129460287922,-0.12197306812745771,0.44364575149624624,-0.3475234967497257,0.5643407325452472,7.6674102479908885,17.796211286843594,false,false,0,anchor_balanced,2,0,FORWARD,
