stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
5.96,0.0,0.0,0.0,0.0,0.0,0.0,2.456315025830385,13.0,false,false,0,anchor_balanced,0,0,NEUTRAL,
6.06,0.0,0.0,0.0,0.0,0.0,0.0,2.448758825802919,13.0,false,false,0,anchor_balanced,2,0,NEUTRAL,
6.16,0.0,0.0,0.0,0.0,0.0,0.2846224843152977,2.4452007072930004,13.0,false,false,0,anchor_balanced,2,0,NEUTRAL,
6.26,0.004483722418660158,5.832740520153779e-09,5.040683415109863e-06,0.08621048622416166,0.00012607756003109473,0.278233168266718,2.46089642942042,12.99551627758134,false,false,0,anchor_balanced,2,0,FORWARD,
6.36,0.017567246178941075,2.3585386273079739e-07,4.1432564086221634e-05,0.15634937871171745,0.0005307239826423408,0.358534278649208,2.4454481104843966,12.982432753821058,false,false,0,anchor_balanced,2,0,FORWARD,
6.46,0.037314200693473076,2.04839033677227e-07,-0.00021465675242947447,0.22534936921411997,-0.005812507740341598,0.3898623358726342,2.422171141481843,12.962685799306527,false,false,0,anchor_balanced,2,0,FORWARD,
6.5600000000000005,0.06367230179626193,-1.3358556655194571e-05,-0.0009938422427950243,0.28543996454656695,-0.008990697352817384,0.4590067660699197,2.4183523911003735,12.936327698210636,false,false,0,anchor_balanced,2,0,FORWARD,
6.66,0.09574471960694304,-5.8427184180943224e-05,-0.002017141889822925,0.3446607532029163,-0.010882836256710568,0.4995824395782394,2.3715050476555493,12.904255280525328,false,false,0,anchor_balanced,2,0,FORWARD,
6.76,0.13381096979430152,-0.000144902145961904,-0.002423051464228135,0.40124800315217735,0.0001426039001665728,0.5761210150211468,2.35232304050934,12.866189031021658,false,false,0,anchor_balanced,2,0,FORWARD,
6.86,0.17744045596043959,-0.00024145676019466137,-0.001626334503038335,0.4604992409781208,0.013613790706885915,0.6181749877472973,2.302290465212312,12.82255954631295,false,false,0,anchor_balanced,2,0,FORWARD,
6.96,0.22715463152750778,-0.0002764390956375233,0.0010237536054495179,0.5180924488892954,0.03417128041400819,0.6581758527568254,2.2815072039597384,12.772845371463937,false,false,0,anchor_balanced,2,0,FORWARD,
7.06,0.2822190861885691,-0.00013014566804757914,0.005291951463116716,0.5692598146329843,0.04765464326002812,0.7061860383696361,2.2051021905184953,12.717780914477345,false,false,0,anchor_balanced,4,0,FORWARD,
7.16,0.34232545075115706,0.0003118015974851998,0.010493687178133008,0.619273977456018,0.05453361564865337,0.7417572884486188,2.1484677655384994,12.657674553089208,false,false,0,anchor_balanced,4,0,FORWARD,
7.26,0.4070948099083553,0.0010710265426676626,0.012483262193237275,0.6640126702492265,-0.00015986010685841717,0.7905372557630418,2.0659314019143293,12.592905235637046,false,false,0,anchor_balanced,4,0,FORWARD,
7.36,0.47607518904215546,0.0018909119303072365,0.010441769475331078,0.7072808171091632,-0.03133007543314249,0.8816377824768257,2.0485412424126332,12.523924953706542,false,false,0,anchor_balanced,4,0,FORWARD,
7.46,0.5508524106067622,0.0025285638056888153,0.00504937490748823,0.7709670666620609,-0.06713375039294552,0.8841699213499955,1.9314903587111913,12.449147846183305,false,false,0,anchor_balanced,4,0,FORWARD,
7.5600000000000005,0.6305795234949031,0.0026803868173983472,-0.003192411896288156,0.8123159467515589,-0.0911712973521703,0.8477530691337193,1.8922075574913686,12.36942076691779,false,false,0,anchor_balanced,4,0,FORWARD,
7.66,0.712898125472131,0.0020797030289311305,-0.014106523959494792,0.8274596883200253,-0.12207407547110366,0.886123579743027,1.785427266887731,12.287102050532132,false,false,0,anchor_balanced,4,0,FORWARD,
7.76,0.7969927794596947,0.0005309549753059811,-0.02420362671558811,0.8488874713800894,-0.08914497385422374,0.8858691364321901,1.715326482585973,12.203007232091275,false,false,0,anchor_balanced,4,0,FORWARD,
7.86,0.8827091249563808,-0.0017989107370610662,-0.03098136660426111,0.8623955267905707,-0.05586883467238963,0.8653342154028343,1.618233285611839,12.11729100857511,false,false,0,anchor_balanced,4,0,FORWARD,
7.96,0.9689709365318018,-0.004615867716518894,-0.03454772028761105,0.8634689227167055,-0.024500774106647926,0.8586102415274499,1.5669779151687109,12.031029948938338,false,false,0,anchor_balanced,4,0,FORWARD,
8.06,1.0551527431961714,-0.007615088775891669,-0.03438374553846733,0.8616942234262905,0.016055692150234276,0.8863121035165957,1.4945089191207372,11.94484968419239,false,false,0,anchor_balanced,6,0,FORWARD,
8.16,1.1418473204017414,-0.01046666328117818,-0.02974174288321167,0.8706862384661741,0.06332695719243198,0.8384286405439243,1.3831106990584814,11.858157298826137,false,false,0,anchor_balanced,6,0,FORWARD,
8.26,1.2284853494304484,-0.012765644592692355,-0.020751658117792022,0.8617962334751407,0.10751238713225618,0.7609140669858943,1.3333937495955908,11.771521572432999,false,false,0,anchor_balanced,6,0,FORWARD,
8.36,1.31287576613235,-0.014093461049462665,-0.00701109218843832,0.8296301144136017,0.15755384446995108,0.8576771517492056,1.1997901807424127,11.687132731491538,false,false,0,anchor_balanced,6,0,FORWARD,
8.46,1.3964894041294564,-0.014072199403969123,0.012097292865810747,0.8398746757089198,0.2098484688327315,0.7170508616621073,1.1469102689041457,11.603519128922745,false,false,0,anchor_balanced,6,0,FORWARD,
