stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.504738506675669,13.0,false,false,0,anchor_balanced,0,0,NEUTRAL,
4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.501520238584251,13.0,false,false,0,anchor_balanced,2,0,NEUTRAL,
5.0,0.0,0.0,0.0,0.0,0.0,0.3009723086744251,2.492574677014467,13.0,false,false,0,anchor_balanced,2,0,NEUTRAL,
5.1,0.006808468249572038,2.3591658035187003e-07,0.00012056926201723368,0.10838439225698439,0.0025218644117643704,0.2780826625717969,2.504261002087709,12.993191531750428,false,false,0,anchor_balanced,2,0,FORWARD,
5.2,0.02159057805592174,4.107232117353141e-06,0.00047919185839038954,0.1703689901718129,0.004214934748527248,0.3527270779607357,2.501504883313295,12.978409421944727,false,false,0,anchor_balanced,2,0,FORWARD,
5.3,0.04286534867598832,1.8438777858899236e-05,0.0009503339717758572,0.23697775835279733,0.004940659142541633,0.4072849087995815,2.48198192768485,12.957134651337132,false,false,0,anchor_balanced,2,0,FORWARD,
5.4,0.0705209298766224,4.7897531637015294e-05,0.0011204478676122291,0.29918475800506594,-0.00042101881439275744,0.4716040853965896,2.4566484314858625,12.929479070212095,false,false,0,anchor_balanced,2,0,FORWARD,
5.5,0.10452583869543018,8.140429584976692e-05,0.0006847600409791955,0.36614041362338634,-0.0061686425143672044,0.5173714896976759,2.437679134076805,12.895474161561506,false,false,0,anchor_balanced,2,0,FORWARD,
5.6,0.14473660452796597,9.795312512432503e-05,6.602014645099044e-05,0.4254907356156269,-0.00395452129529138,0.5646804823837887,2.416237436002464,12.855263395845222,false,false,0,anchor_balanced,2,0,FORWARD,
5.7,0.19060314952467025,0.0001042073290229253,0.0005836805186562018,0.4804715827586316,0.013911166584817605,0.6123207115612537,2.3362004131087746,12.809396850899205,false,false,0,anchor_balanced,2,0,FORWARD,
