stamp_s,x_m,y_m,yaw_rad,linear_velocity_mps,angular_velocity_radps,commanded_speed_mps,clearance_m,goal_distance_m,collision,goal_reached,contact_count,topology_id,global_replan_count,recovery_count,gear,predicted_ttc_s
2.484,0.0,0.0,0.0,0.0,0.0,0.0,11.438198722099402,35.0,false,false,0,fixed_teb,0,0,NEUTRAL,
2.584,0.0,0.0,0.0,0.0,0.0,0.0,11.4502312309495,35.0,false,false,0,fixed_teb,2,0,NEUTRAL,
2.684,0.00048,0.0,0.0,0.024,0.0,0.35630545212985093,11.433308280204871,34.99952,false,false,0,fixed_teb,2,0,FORWARD,
2.784,0.010024814293516236,0.0,0.0,0.1426203573379059,0.0,0.40618541678164866,11.438099539970496,34.989975185706484,false,false,0,fixed_teb,2,0,FORWARD,
2.884,0.030804312464259024,0.0,0.0,0.25194718673809396,0.0,0.48746345814065545,11.43072668383036,34.96919568753574,false,false,0,fixed_teb,2,0,FORWARD,
2.984,0.061472267399146234,0.0,0.0,0.3379727034284261,0.0,0.5699241981305135,11.392642653678992,34.93852773260085,false,false,0,fixed_teb,2,0,FORWARD,
3.084,0.10083007186873487,0.0,0.0,0.43120317830917754,0.0,0.6678196114154474,11.375754035209754,34.899169928131265,false,false,0,fixed_teb,2,0,FORWARD,
3.184,0.1494491929625088,0.0,0.0,0.517630544003151,0.0,0.7235858736822134,11.34398237535868,34.85055080703749,false,false,0,fixed_teb,2,0,FORWARD,
3.284,0.20609783846855675,0.0,0.0,0.5978250658134406,0.0,0.7807387101717819,11.282889998649695,34.79390216153144,false,false,0,fixed_teb,2,0,FORWARD,
3.384,0.270310948999818,0.0,0.0,0.6736275877760205,0.0,0.8842013489292198,11.212294257377723,34.72968905100018,false,false,0,fixed_teb,2,0,FORWARD,
3.484,0.3426555234126294,0.0,0.0,0.754953822234382,0.0,0.9349648097266499,11.17080179521952,34.65734447658737,false,false,0,fixed_teb,2,0,FORWARD,
3.584,0.4224307698550353,0.0,0.0,0.8255319103267237,0.0,0.9905076170355959,11.063228286003211,34.57756923014497,false,false,0,fixed_teb,4,0,FORWARD,
3.684,0.5089370662884488,0.0,0.0,0.8917506965384179,0.0,1.0590831971371544,11.026486585183108,34.491062933711554,false,false,0,fixed_teb,4,0,FORWARD,
3.784,0.6020761021031357,0.0,0.0,0.9566348582305322,0.0,1.1023941789395755,10.967245290322268,34.39792389789687,false,false,0,fixed_teb,4,0,FORWARD,
3.884,0.7014640817577468,0.0,0.0,1.0209460553112089,0.0,1.1689855771011737,10.851213643593752,34.29853591824225,false,false,0,fixed_teb,4,0,FORWARD,
3.984,0.807023384599961,0.0,0.0,1.0762375302938443,0.0,1.183002138149261,10.757176587624514,34.19297661540004,false,false,0,fixed_teb,4,0,FORWARD,
4.084,0.9171035740555439,0.0,0.0,1.1139997695995274,0.0,1.1687904710653965,10.668633039601175,34.082896425944455,false,false,0,fixed_teb,4,0,FORWARD,
4.184,1.029837037295062,0.0,0.0,1.1359891613884225,0.0,1.1806784629616494,10.497171934254496,33.97016296270494,false,false,0,fixed_teb,4,0,FORWARD,
4.284,1.1444567331229327,0.0,0.0,1.1514240876389565,0.0,1.1704545803339597,10.417903478749125,33.85554326687707,false,false,0,fixed_teb,4,0,FORWARD,
4.384,1.26003521404704,0.0,0.0,1.158066063096522,0.0,1.1668967782403727,10.357859752213614,33.73996478595296,false,false,0,fixed_teb,4,0,FORWARD,
4.484,1.3760554586408789,0.0,0.0,1.1615680340534098,0.0,1.1685595582237922,10.201354167496817,33.62394454135912,false,false,0,fixed_teb,4,0,FORWARD,
4.584,1.4923812028258339,0.0,0.0,1.1643339889707807,0.0,1.1698360062635085,10.110996387040274,33.50761879717417,false,false,0,fixed_teb,6,0,FORWARD,
4.684,1.6089364123108414,0.0,0.0,1.1660410499079856,0.0,1.1663535195358588,9.966723769434934,33.39106358768916,false,false,0,fixed_teb,6,0,FORWARD,
4.784,1.7255495642356744,0.0,0.0,1.1662444514164587,0.0,1.1673807746455072,9.908967345484738,33.27445043576432,false,false,0,fixed_teb,6,0,FORWARD,
4.884,1.8422018620977727,0.0,0.0,1.1667317763924105,0.0,1.1682123981178358,9.743576523859348,33.157798137902226,false,false,0,fixed_teb,6,0,FORWARD,
4.984,1.9589057749123162,0.0,0.0,1.1670889207927981,0.0,1.1660987697266905,9.67047452648386,33.04109422508768,false,false,0,fixed_teb,6,0,FORWARD,
5.084,2.0756077741692294,0.0,0.0,1.1675331350591744,0.0,1.1753724985319853,9.505977150995578,32.92439222583077,false,false,0,fixed_teb,6,0,FORWARD,
5.184,2.192528125974819,0.0,0.0,1.1696394130890129,0.0,1.1666594699191295,9.45743554532166,32.80747187402518,false,false,0,fixed_teb,6,0,FORWARD,
5.284,2.309424329626063,0.0,0.0,1.1686266570401276,0.0,1.1675306930346931,9.275141653414922,32.69057567037394,false,false,0,fixed_teb,6,0,FORWARD,
5.384,2.426262011469446,0.0,0.0,1.1682506207791106,0.0,1.1678100909224747,9.197825369235234,32.57373798853055,false,false,0,fixed_teb,6,0,FORWARD,
5.484,2.5430861469716723,0.0,0.0,1.1683954498962674,0.0,1.169649152556613,9.135460809070652,32.456913853028325,false,false,0,fixed_teb,6,0,FORWARD,
5.584,2.6599531597026527,0.0,0.0,1.1687700094836793,0.0,1.1686897391722537,8.977750733692234,32.34004684029735,false,false,0,fixed_teb,8,0,FORWARD,
5.684,2.7768277951362896,0.0,0.0,1.168715685268835,0.0,1.1684019992465549,8.805706810225853,32.22317220486371,false,false,0,fixed_teb,8,0,FORWARD,
5.784,2.893681375499844,0.0,0.0,1.1682498155998664,0.0,1.1662889300421226,8.765566658248314,32.106318624500155,false,false,0,fixed_teb,8,0,FORWARD,
5.884,3.0104568102117386,0.0,0.0,1.1674029790392453,0.0,1.1655033735184268,8.598598278639631,31.98954318978826,false,false,0,fixed_teb,8,0,FORWARD,
5.984,3.127156862329585,0.0,0.0,1.1669041093490171,0.0,1.1677472012758587,8.517863072035627,31.872843137670415,false,false,0,fixed_teb,8,0,FORWARD,
6.084,3.243865176353659,0.0,0.0,1.167127570740723,0.0,1.1667749333693798,8.459867533125351,31.75613482364634,false,false,0,fixed_teb,8,0,FORWARD,
6.184,3.360571052263513,0.0,0.0,1.1670644594466582,0.0,1.1675309153774802,8.286034639753769,31.639428947736487,false,false,0,fixed_teb,8,0,FORWARD,
6.284,3.477289547444833,0.0,0.0,1.1672952948827715,0.0,1.1682266181477272,8.224919142774388,31.522710452555167,false,false,0,fixed_teb,8,0,FORWARD,
6.384,3.5940409974497016,0.0,0.0,1.167649333557444,0.0,1.1683861154783999,8.071413817457005,31.405959002550297,false,false,0,fixed_teb,8,0,FORWARD,
6.484,3.710819086382007,0.0,0.0,1.1677201167182703,0.0,1.1661037440525717,8.020816048192184,31.289180913617994,false,false,0,fixed_teb,8,0,FORWARD,
6.584,3.8275528308516593,0.0,0.0,1.1670945240267512,0.0,1.1656987853254863,7.858173569249312,31.17244716914834,false,false,0,fixed_teb,10,0,FORWARD,
6.684,3.9442298194227177,0.0,0.0,1.1665833203312295,0.0,1.1656827762260502,7.776676517956466,31.055770180577284,false,false,0,fixed_teb,10,0,FORWARD,
6.784,4.060867234002019,0.0,0.0,1.1662549129753104,0.0,1.1656888592317822,7.624531119372688,30.939132765997982,false,false,0,fixed_teb,10,0,FORWARD,
6.884,4.17748299689364,0.0,0.0,1.1662194688580698,0.0,1.1676602759439059,7.581907480013649,30.82251700310636,false,false,0,fixed_teb,10,0,FORWARD,
6.984,4.294138427145757,0.0,0.0,1.1667457432138586,0.0,1.1661212393535896,7.395775525820533,30.705861572854243,false,false,0,fixed_teb,10,0,FORWARD,
7.084,4.4107984884266935,0.0,0.0,1.166517634697471,0.0,1.1677808004391277,7.331011026156227,30.589201511573307,false,false,0,fixed_teb,10,0,FORWARD,
7.184,4.527481527229353,0.0,0.0,1.1670420760939006,0.0,1.1681600729859303,7.172425741804826,30.472518472770645,false,false,0,fixed_teb,10,0,FORWARD,
7.284,4.644212107828555,0.0,0.0,1.1674700151681254,0.0,1.1683853398119732,7.114961291057402,30.355787892171445,false,false,0,fixed_teb,10,0,FORWARD,
7.384,4.760980380860926,0.0,0.0,1.1678043499253696,0.0,1.1661029956580582,7.036219263774687,30.239019619139075,false,false,0,fixed_teb,10,0,FORWARD,
7.484,4.8777205745702235,0.0,0.0,1.167147758196906,0.0,1.1656985161890656,6.890380024913782,30.122279425429777,false,false,0,fixed_teb,10,0,FORWARD,
7.584,4.994401594214168,0.0,0.0,1.1666158814599892,0.0,1.165683349539031,6.830704037656109,30.005598405785832,false,false,0,fixed_teb,12,0,FORWARD,
7.684,5.111041510959317,0.0,0.0,1.1662752615110874,0.0,1.165688528820705,6.670378289618835,29.888958489040682,false,false,0,fixed_teb,12,0,FORWARD,
