[rosmaster.main][INFO] 2026-07-21 17:03:16,060: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-21 17:03:16,060: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-21 17:03:16,076: XML-RPC server binding to 127.0.0.1:11311
[xmlrpc][INFO] 2026-07-21 17:03:16,077: Started XML-RPC server [http://127.0.0.1:11311/]
[rosmaster.master][INFO] 2026-07-21 17:03:16,077: Master initialized: port[11311], uri[http://127.0.0.1:11311/]
[xmlrpc][INFO] 2026-07-21 17:03:16,077: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-21 17:03:16,115: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,116: +PARAM [/roslaunch/uris/host_127_0_0_1__39083] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,178: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,178: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,178: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,178: +PARAM [/m2_gazebo/simulation_only] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,178: +PARAM [/gazebo/enable_ros_network] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,178: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,178: +PARAM [/m2_robot_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,178: +PARAM [/v2_scan_transport/input_topic] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,178: +PARAM [/v2_scan_transport/output_topic] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,178: +PARAM [/v2_scan_transport/delay_s] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,179: +PARAM [/v2_scan_transport/jitter_s] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,179: +PARAM [/v2_scan_transport/noise_stddev_m] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,179: +PARAM [/v2_scan_transport/seed] by /roslaunch
[rosmaster.master][INFO] 2026-07-21 17:03:16,179: +PARAM [/move_base/base_global_planner] by /roslaunch
